,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.5922944389390635,0.40665497690041785,0.36772409983666443,0.5230165130487829,0.6713860636957714,0.5490986690232167,0.5396189339853223,0.5584880632152618,0.5433861879083461,0.5750667464884893,0.43276659428922937,0.49658530833834136,0.2585049037802166,0.6036833372232371,0.5010829503419032,0.6501219981674144,0.517689890399485,0.5855761966982624,0.5259663289297747,0.4670123890172242,0.5131419442312684,0.5155101230941295,0.5185359674663228,0.45103572552324567,0.5458903230382386,0.5665274515000527,0.5244207068982467,0.6191837736977792,0.5423447309754998,0.48922125085053836,0.4140573423749563,0.47031984465135834,0.36769427828765877,0.5723302176737051,0.5495795350008321,0.4907668578776012,0.47773727663317533,0.5869432704989477,0.5137140557104343,0.6106973481288057,0.5811035880128739,0.4977453716434823,0.556319959598381,0.5546380285382074,0.4699191522251842,0.466307078187302,0.5097238328615531,0.6514076675462765,0.3874599731459514,0.3063521489922729,0.41503572407364653,0.4362866450603545,0.4195210278503908,0.47983926902431373,0.6170052868685445,0.5539701969184201,0.47114586472182685
A35,0.5922944389390635,0.0,0.3277825276442452,0.6409570930304123,0.3256408135695058,0.44035391717948413,0.34040093345082556,0.461240576558849,0.3762317904823925,0.434927823505426,0.3203168438905105,0.36958394289189433,0.51376548584223,0.5190564131889088,0.35952580206192264,0.4101513509817337,0.44693232935067095,0.5397796719580851,0.36538831843606867,0.4500888914185638,0.48425057314490627,0.4950452545396756,0.3954842570857836,0.43964306088442684,0.6526035540803894,0.3940725012240254,0.4979629723394481,0.3849311558054703,0.342194915073437,0.3605835240765183,0.43068085926110544,0.4936710184088934,0.5530390749172874,0.4954620204640534,0.36404690121231287,0.5365248306226529,0.4811256836403467,0.45756702215323164,0.5842370273112139,0.5186571732115195,0.4136908859287677,0.593947130774555,0.4266250861897076,0.4268040027633009,0.36473577315239214,0.33622033606585167,0.4950848852050561,0.4359593605649634,0.3431046569788757,0.3634626674607945,0.5646395077071331,0.3859396101271312,0.3925307777331911,0.5333447218919434,0.4478116454566995,0.380114509793526,0.32663736051336534,0.3913953460126308
A58,0.40665497690041785,0.3277825276442452,0.0,0.4883587104930368,0.34696840116449823,0.5191933971077917,0.3628572322225255,0.4857893407661916,0.4326089530815934,0.5451466878252202,0.4744409880304121,0.41017673362232887,0.4090767002057345,0.39948363248229335,0.3786844271045182,0.5010115611598054,0.5214824501383833,0.5301571849164799,0.3521684532107041,0.5117410498481898,0.4811484279770888,0.4156004697347703,0.4183658558094675,0.4700282954741094,0.6028988971609466,0.34894463804362286,0.52962034811772,0.38313173305089665,0.4541381517239076,0.4422748205295163,0.4856663407385393,0.4228512072447469,0.5841236274206881,0.4459275456908912,0.3681312072304058,0.554563318338934,0.4565312527415003,0.4801250269566302,0.49061891760809495,0.5061718895835239,0.48611218151198965,0.5618209166231865,0.4778464626604144,0.4818752349889398,0.43195693955364145,0.3316157169661532,0.4368055310230502,0.3822647784839559,0.5711753146137357,0.33578465455830264,0.41404813033355636,0.4266853031238025,0.3904581380167441,0.5267490823138579,0.35446673242183957,0.45268852943750526,0.3605194658333981,0.36597487163994535
A63,0.36772409983666443,0.6409570930304123,0.4883587104930368,0.0,0.5172073234621964,0.6917035332755089,0.4829316118889564,0.4347132811551434,0.6312135713749221,0.49174600820027436,0.6472948442580028,0.464771413061839,0.423300760791099,0.38416450526606594,0.4355772035394332,0.512294748019654,0.6564589007819307,0.5032571367805669,0.44395907986728445,0.42213324604414304,0.5557259123067292,0.44446346235967227,0.5319383461026429,0.5076677274849062,0.44273890068905297,0.6025711623726909,0.44310073352556667,0.4334738042583748,0.6402954593966566,0.550886953933903,0.45174005069509116,0.49483884181633575,0.4483908966419915,0.4848887402613765,0.6157535332293074,0.5215491288671882,0.3895980311432442,0.5526452680864352,0.5755032414510038,0.5579693207369207,0.5471160508560047,0.5591333793147426,0.52049692727158,0.5232742094631921,0.5726140402897444,0.4953918532845122,0.4354545774758368,0.47280502076332176,0.6439887225085756,0.4253999194531455,0.35287985934564137,0.46018451107090363,0.3817515242477181,0.39281205628927696,0.36372728750776173,0.4699006277709338,0.7067842454420225,0.5204728475934811
A89,0.5230165130487829,0.3256408135695058,0.34696840116449823,0.5172073234621964,0.0,0.518133006492674,0.32309526409502687,0.47594758469461274,0.4945696273254502,0.49550539305881725,0.43191283089977495,0.35256903297142406,0.46473649074271783,0.4813656903336452,0.41171459277387656,0.47697646417915107,0.4519392795663735,0.5427081818894219,0.3123040125938602,0.3060019772249707,0.49260657786071116,0.449222766673954,0.3898694665655742,0.4380139576775851,0.555939849969872,0.29908157299783156,0.481179301416371,0.2925609400116499,0.4501610489871335,0.42973929886267703,0.46103409989568755,0.4804916908490199,0.4968987191628429,0.5308418186688435,0.21584099483327734,0.43157279452490793,0.4478301201747442,0.4116083362169024,0.5231681661544711,0.5024006822422697,0.4813880351219014,0.5505292111408118,0.38674303646880104,0.3827756581862988,0.4484549050181267,0.2894938951736593,0.4065084234059233,0.4695368521782801,0.39079395802929684,0.36414254449541517,0.47464807751089233,0.3759522549448132,0.39675337682134026,0.4915577994999033,0.40150428343432953,0.3438125871473765,0.4114507657203115,0.45035813903391153
A94,0.6713860636957714,0.44035391717948413,0.5191933971077917,0.6917035332755089,0.518133006492674,0.0,0.3683038187886133,0.3723128759013018,0.3519960045665731,0.49748909020569543,0.25238389127471716,0.495420647492097,0.5321187956478346,0.5750799496712289,0.5023347817560198,0.6266347628638445,0.5802629085564976,0.5796654441138693,0.6071278154010353,0.5200674717184606,0.6579631814440572,0.5877268744999177,0.40787399852625283,0.5370689338078973,0.7962670772552755,0.5238479740199453,0.3745250569133024,0.5175809962880225,0.4252516998609349,0.28809115406343444,0.4903814013464206,0.5377913814218345,0.6045561789073082,0.644207709558671,0.4784405962684327,0.6206976327046916,0.664400634897669,0.6189067710762552,0.5979483091362141,0.5862017776455682,0.6021847983015395,0.661981667609703,0.5168526315354214,0.6507067986921262,0.40212579361754686,0.4921543396445138,0.492860725736016,0.5415914929625874,0.48732895093354134,0.43427648632678173,0.7394543419546151,0.45249625277212546,0.44163832916291657,0.534083873944091,0.5392916707540418,0.6090002207843975,0.42113014328717513,0.4927318774783961
A36,0.5490986690232167,0.34040093345082556,0.3628572322225255,0.4829316118889564,0.32309526409502687,0.3683038187886133,0.0,0.29930825374050507,0.3298802709048747,0.5118590077150046,0.29941678481150524,0.3511221743669751,0.4525268389898571,0.47658506754351504,0.4251735478105392,0.5311181986377569,0.49849091797674516,0.4284015113800198,0.39460291020633487,0.3946385697187216,0.613156408942309,0.4344902043040516,0.39469191854915453,0.36014603950568513,0.5884213215199325,0.31718556143967525,0.3318783928383249,0.34432420840765565,0.4205742591636745,0.3376420342071287,0.39727122325289654,0.41713257174284823,0.5181991942252515,0.531358828839773,0.3177602206678768,0.524708252787452,0.4223503746846975,0.579426083731447,0.6251141229417474,0.44219467456497963,0.4855887053265574,0.5408496173065332,0.3715887203376349,0.4596899120185942,0.3888843689489905,0.36786855316786615,0.4795021613463959,0.5235362631404359,0.38390188452828067,0.332316848315959,0.5009093203508297,0.4170753315272462,0.3029709732177599,0.47085620625843827,0.3301157165356562,0.45200198227802124,0.45803377210651497,0.3937961434385756
A42,0.5396189339853223,0.461240576558849,0.4857893407661916,0.4347132811551434,0.47594758469461274,0.3723128759013018,0.29930825374050507,0.0,0.520707084507936,0.5091816461268999,0.32054621708681097,0.44615610690446816,0.41709973707454784,0.47096541888780774,0.4759153521280993,0.5736715855021361,0.516003593329109,0.41157545153839104,0.46742580146249013,0.4782320730942873,0.5929685268393401,0.48851452871082524,0.5455557519280487,0.5119301959001956,0.6392374397283856,0.5352974487770954,0.341969930661592,0.45573826483649227,0.4673973494607565,0.4417952779677048,0.3323261349919112,0.46266577171978773,0.6030810390634587,0.4468865972167525,0.484621703538611,0.5664470581499264,0.501635402954014,0.6232363136696996,0.6160490359836148,0.5170929937240064,0.6062522505110901,0.5932886817614246,0.4733591858920444,0.6184705757318233,0.5064889818542768,0.4358263144482555,0.5019374736092889,0.49509708688124976,0.45731772557725525,0.40177783168571446,0.566253074040904,0.4703805367353483,0.32941979252362386,0.49771365662035116,0.3873555458240252,0.44971667986785147,0.5534373968928818,0.4203799642261623
A47,0.5584880632152618,0.3762317904823925,0.4326089530815934,0.6312135713749221,0.4945696273254502,0.3519960045665731,0.3298802709048747,0.520707084507936,0.0,0.465550987934813,0.45257519774714505,0.41221496457272566,0.5035867093561313,0.557948144929016,0.4819688691890095,0.42546377982335737,0.47638825706041643,0.517077308047506,0.5350842667955544,0.5015859644303593,0.5126865744959448,0.49623455633398594,0.38020146196618143,0.3089429434482418,0.6502760192943032,0.47360344190285175,0.4378457541350623,0.46889862012563677,0.4208884718417858,0.28844351050140826,0.4832025304120179,0.467646816545655,0.5764773992585749,0.5668847987105746,0.44705703254173,0.6283790127720896,0.4521759426846892,0.510768003792088,0.6416550641969365,0.4495332903231064,0.33867101663435195,0.44419399410491867,0.4431378128264488,0.5032068888228769,0.3492919701200604,0.45339522367004303,0.5422838384485188,0.5249578598830313,0.42558758370901806,0.3791625583912359,0.7071326965323148,0.49524630128062364,0.4696399442427204,0.5409921723957674,0.5144343008675687,0.5068100428395319,0.41562115443377345,0.42969213649060245
A59,0.5433861879083461,0.434927823505426,0.5451466878252202,0.49174600820027436,0.49550539305881725,0.49748909020569543,0.5118590077150046,0.5091816461268999,0.465550987934813,0.0,0.5429253390876705,0.38552818710522474,0.42699318256360397,0.467638141645197,0.3948615282475004,0.5561074248079908,0.4688750305762569,0.5265387082417954,0.5539176263909014,0.3955007345530859,0.5048842993148035,0.5300498565357032,0.42702731769223634,0.5758899475396757,0.6736250024276365,0.6154958169596545,0.4641845406755898,0.45384766632233076,0.41377544556301127,0.3558965574297088,0.5705711036544873,0.5882076240730143,0.5358662197495042,0.6235695737453315,0.5644271705218618,0.4735111744962818,0.5253019233695392,0.525834940780596,0.48684139151328387,0.5929812846882168,0.5417687253842596,0.5985169302824627,0.5093145062784432,0.567457571305665,0.49923266292670754,0.4671095968844783,0.4647629178279288,0.48748129573238075,0.539549951786437,0.4621722758906641,0.6034350978924535,0.5777289517655025,0.31629845400266254,0.42918576984003265,0.5295113268293606,0.5703354162475696,0.5689043299333787,0.47457949920128517
