,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.5510273958598628,0.36370925574334934,0.3463958717691039,0.4941228077523335,0.5374735542059342,0.5339679294107567,0.5752970482250221,0.43863682750546706,0.5262780768163722,0.5509795857211512,0.38466958503121007,0.49304721111573746,0.23705651279848516,0.52946194716303,0.4630161911605467,0.47220239345526915,0.54669702679369,0.5082093227106902,0.4465654074897125,0.38204748487091267,0.4443111951432156,0.4462036086791932,0.5970311477742445,0.32981700215841925,0.4380621314343056,0.5381674109777217,0.5214556347800358,0.550242226953769,0.5370089131303593,0.5216493183958483,0.28974233617068723,0.42798421756418137,0.2510350902948404,0.4598906181094765,0.5082165287118763,0.4530392560304599,0.38704147263432176,0.43006917922611754,0.4608426231539192,0.4388648539354064,0.5898655954243661,0.3908317125534613,0.416421363709365,0.5075084627843705,0.43648546157789225,0.3975085576605627,0.5029812670318585,0.672973814234531,0.37629707387050126,0.32822964614281636,0.5549562559308041,0.5559948847378745,0.43636041464201125,0.5433888017573707,0.7137276963130073,0.6532708910115219,0.6221660688408308
A35,0.5510273958598628,0.0,0.33814379845583353,0.541512232430293,0.3933277499625383,0.48033754032048803,0.326252890101829,0.46002657126387936,0.38869186767618025,0.5176407976740562,0.29969518320232946,0.43269191380920546,0.4848619994883062,0.4635165065267989,0.35616328319475077,0.43142782752358166,0.5268439059445558,0.661638764770755,0.40174634899120454,0.4006456782529001,0.5148407626019209,0.504633916704391,0.4087952916218591,0.5527359179558011,0.5194443127000723,0.4125047909533439,0.4443671794677254,0.3681632470886659,0.4111370513542457,0.3311863127502048,0.3355466744631994,0.5180117063900114,0.494012209905764,0.5310650029830477,0.4714385045074533,0.6711956853336294,0.4908052377059089,0.48760478647642014,0.6032827632509474,0.5902590402260219,0.4156802660368637,0.6444081104672392,0.4631612570101662,0.431562706017125,0.4791065354209242,0.42480432693794834,0.49767889094929285,0.3831132761715915,0.40086550841323154,0.3334932219552954,0.4551970381669992,0.33280433074530025,0.3087616117534857,0.45295753647276327,0.3907262084652213,0.40929255541060927,0.3144339728371959,0.4223946101327527
A58,0.36370925574334934,0.33814379845583353,0.0,0.4296281141939783,0.3115406052292745,0.530528330340265,0.330445976107656,0.59781021697931,0.3899527247044937,0.5833474320797678,0.45630258159103676,0.3609154274744052,0.45983884618828863,0.3922021305776213,0.3657966841781949,0.4108923461119709,0.39141962928679475,0.5074671495352293,0.30085281603850667,0.41274058249987744,0.44243828727193457,0.38204197804045525,0.4364149087253635,0.5048742969199835,0.4589636753941989,0.3153120084647184,0.5774356299554122,0.36714174273989497,0.4208371086194096,0.45954404479304745,0.44519200085527166,0.3504164690712638,0.4929496526077003,0.3897032318848729,0.25540073871910374,0.5628584620464749,0.4189331153214739,0.368893065989511,0.41718522419047066,0.5023320137470153,0.3898752720795058,0.5770980259064764,0.3721486092269588,0.398113701367673,0.5180848499058027,0.3349507257879263,0.41991646341271505,0.43441977595359194,0.4581029398215364,0.3437402248959148,0.37725498342664276,0.522378907535277,0.4678457760550444,0.5384715415420187,0.46034114799602566,0.5071680009914935,0.45913860210442325,0.4495639591601054
A63,0.3463958717691039,0.541512232430293,0.4296281141939783,0.0,0.5027065316205338,0.47417326397532156,0.46837547306693617,0.4123493887061356,0.50275244990308,0.45357711747533547,0.5395888706366847,0.4192291646865104,0.46321788171697265,0.3822800856823342,0.43312668490125994,0.44142888948686143,0.45674384339091123,0.4873485219498064,0.40927381093029125,0.4339677367155642,0.49431096983957035,0.3780628872545764,0.4776135912659074,0.5501773778279859,0.43798640648634724,0.5535622903152844,0.45834080359062557,0.4151310475432586,0.5869521734141361,0.5179883762978317,0.46546733611140223,0.4005960084097686,0.5002604562256665,0.31581353093000164,0.53986231825522,0.49187874333877435,0.40089950466130597,0.4407037593777605,0.4358547762107138,0.4588642884659696,0.3814354733103046,0.5224391690512287,0.43029675661678857,0.4189854504994335,0.4993907862911776,0.44912246389908894,0.3863979447111481,0.40027112495077755,0.5667363872272579,0.35605791781705165,0.386743136018146,0.5341424263841323,0.4520731825266404,0.39628689616433865,0.46911924808591,0.48312711948500786,0.6840188991929941,0.5544438199889595
A89,0.4941228077523335,0.3933277499625383,0.3115406052292745,0.5027065316205338,0.0,0.6340798383836747,0.38425975266033896,0.588957631713549,0.46620735448821615,0.591598251361692,0.4226385362807492,0.3119425960585994,0.4601441354852642,0.3850175137123232,0.3884033627103345,0.5032158882545457,0.5216796574819108,0.7741340878539751,0.4517935173147585,0.24926544069285272,0.38589391538199114,0.37541098532138495,0.35911601308686425,0.4490370781713622,0.4531005936170137,0.25827882694530313,0.46196359981105595,0.30381298035328774,0.4127663917835753,0.4059034518434065,0.4592163881350285,0.5536717062825129,0.3693209834480058,0.5828465913559997,0.2838647675828906,0.4952606183121607,0.3663009387753058,0.43026713616266754,0.549966568033212,0.5809957468289433,0.4968900715109946,0.47728300083185093,0.3165335647826012,0.31379589474849623,0.40275284535847566,0.31106764172785095,0.4224293041543379,0.479384887615354,0.38794523202023456,0.39446085020040966,0.449631506739142,0.410079136396451,0.40747700645795537,0.4692922009935315,0.405994265603969,0.34838788481294636,0.47246614472202497,0.40297363018982
A94,0.5374735542059342,0.48033754032048803,0.530528330340265,0.47417326397532156,0.6340798383836747,0.0,0.4015723251087371,0.4070123216477093,0.4082558162123505,0.4130032509857614,0.29854063016034527,0.498233561759967,0.6069525934169411,0.5782593991305423,0.5025378794428359,0.47903193435523417,0.5159118550956707,0.4432596408087254,0.4513363555372705,0.581242669176353,0.6916818526301718,0.5679262936493197,0.4523535418441005,0.7325767139992523,0.6903109489834163,0.6039076226144888,0.46713427800470797,0.5185381452674709,0.5129962346757775,0.38117057962306367,0.5257735046283527,0.466923497156679,0.6492543840040019,0.5198596278955112,0.5361674678023853,0.5772568652572857,0.7198615577676799,0.4974483809696941,0.5272047195975202,0.5095270979619317,0.4573841650517768,0.7830406425068586,0.49877450253774935,0.6565575753196664,0.4341624762434576,0.4946985461498241,0.5055511407043619,0.49034510358066863,0.48020646121388844,0.4328293820756518,0.6153311764562859,0.5307799962654458,0.5089652604142992,0.5062841649674559,0.5941822514598489,0.6106639835755688,0.4406907046427472,0.6398278152027328
A36,0.5339679294107567,0.326252890101829,0.330445976107656,0.46837547306693617,0.38425975266033896,0.4015723251087371,0.0,0.39858843026783175,0.32063945527333426,0.5789834639288483,0.2667675509894032,0.3089910569249673,0.4639423743588369,0.4526841272372283,0.43414930059872603,0.4920161168603203,0.46893320147882656,0.5250744194072472,0.4390048564400131,0.40700089431490116,0.5689010640561898,0.44704783610965004,0.38973476058619383,0.422354286197002,0.5193069866816025,0.3448310461263183,0.3406544229902939,0.323571486642395,0.3817716940398097,0.31697811794065645,0.39958033995786735,0.46716779421838905,0.46726311253516173,0.5246542213791943,0.3638910829585461,0.5663146856321624,0.4380165834414156,0.479435971335062,0.5861249071537327,0.4418919966122511,0.400909854561758,0.5696872607286569,0.3843250819657289,0.43132723795158456,0.45650714773632894,0.38282150455662123,0.45294310397509796,0.5017775317997135,0.33228944026765306,0.29438380042925383,0.4791073369360076,0.40939861031964864,0.3075326396540755,0.3861035478994489,0.32069854871520365,0.4494306493001754,0.4598658020465727,0.4211419501546626
A42,0.5752970482250221,0.46002657126387936,0.59781021697931,0.4123493887061356,0.588957631713549,0.4070123216477093,0.39858843026783175,0.0,0.5304106217163912,0.5761408552790422,0.3640563969087255,0.5398412710389111,0.5122683476885813,0.538736888901845,0.5357419234865811,0.6066722079703758,0.5883939882806104,0.521191591216345,0.5075430052796821,0.512014153846913,0.6156678003837044,0.4898682307564176,0.5982608589734022,0.7296690975927707,0.5376838629205227,0.62880704870795,0.37741240250248964,0.5292268504031479,0.6330818180495892,0.4816064842287201,0.2814132363472477,0.5656492825505506,0.5967616174160277,0.502919324142932,0.696900943968545,0.6688348218978333,0.5655859638814,0.6083297852018176,0.6582422845644316,0.5358026072714768,0.5709644447856284,0.7355945157180912,0.5057345267626707,0.6620550487568119,0.5908174031839487,0.5252997505638174,0.632519268832121,0.452654300579453,0.47486991052035765,0.407416076535579,0.5701998737252914,0.5550120303035933,0.4521957700663206,0.5154555572755581,0.46311240341687543,0.45905126160546517,0.5666115013724761,0.594989660914129
A47,0.43863682750546706,0.38869186767618025,0.3899527247044937,0.50275244990308,0.46620735448821615,0.4082558162123505,0.32063945527333426,0.5304106217163912,0.0,0.5351030146514555,0.46100841599688924,0.32802897541194664,0.45488383721153713,0.45878699329987915,0.37896397088360256,0.47006697204942216,0.42416624364437727,0.5941191190497684,0.5348870888655406,0.4353227484089405,0.42330904608395703,0.3951010791268015,0.31725334679243344,0.3557421700557909,0.43090690466226134,0.44422905131835855,0.5245362181986004,0.4784518753486664,0.3886531505656886,0.33472809665003833,0.49799728629513795,0.4443426889377545,0.4867917705609327,0.5269916363866086,0.44235750138526364,0.6486979059104593,0.4568588107215372,0.4548612794907304,0.5790544101444439,0.47985297609515665,0.3182622012597338,0.4630355377148574,0.3536464041948051,0.4536031598996194,0.4193606937414608,0.4469915833627671,0.45387157431624137,0.49559920203190955,0.424169443384554,0.3593466544021263,0.6150623535242022,0.5148451866743808,0.4617655179535557,0.43593825652603135,0.39816120528501997,0.507843851303671,0.5014500051780797,0.4616320298163564
A59,0.5262780768163722,0.5176407976740562,0.5833474320797678,0.45357711747533547,0.591598251361692,0.4130032509857614,0.5789834639288483,0.5761408552790422,0.5351030146514555,0.0,0.5662740075575657,0.47569280932998137,0.6002256376348563,0.504116527124412,0.4299156940246346,0.5632460134108478,0.502430133407563,0.4760281857058637,0.5144613720039721,0.509603197067355,0.5831638155848657,0.5558197557959963,0.45527689133154525,0.7854193042494575,0.6622519216580706,0.6771724251727216,0.552281113233083,0.5263414991361086,0.519706258316708,0.4426916200988653,0.6590018251465325,0.4865201393923344,0.6765093522943005,0.5309273151081138,0.5427067940471166,0.47826750455769307,0.6132854045769667,0.501593691837213,0.46462534253972954,0.6209470250859848,0.4635302923733221,0.7127296411015148,0.5218246148345107,0.6261998135938605,0.5836666453078277,0.5180657508406779,0.5634407467284491,0.5296003017239735,0.57954075519331,0.5229352259735578,0.5820131965693293,0.7103145384330714,0.44460968796190947,0.47563731490443384,0.6143483063252302,0.6646726083299006,0.6393606851450186,0.7282885242891687
