,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.23412885861788257,0.2695628592631565,0.26530340514657524,0.2762040132919852,0.3955202536640632,0.28413372021548766,0.265451835303277,0.30134948234479775,0.33264465177667024,0.31139666306444824,0.3836242096714342,0.304043755255589,0.2444427341963108,0.332464395556487,0.26733358709739885,0.3592988991922239,0.2991777026850395,0.31059198283078604,0.3235714409941123,0.23343188280809457,0.34614861557438303,0.3319621750757903,0.3432788895564939,0.2839196295971086,0.4208922557981014,0.2949507338353162,0.3556762164471521,0.3277971971186091,0.3174690371420018,0.25885287874103846,0.2685352891549482,0.2441059903528111,0.2561278093049342,0.35508870897456546,0.3726442076645762,0.2862176888158642,0.27373977156255,0.3463921023396819,0.28788068295170466,0.29753809418922295,0.3013549885528315,0.25590124295256467,0.3120047910005247,0.3197433226541645,0.2825382816219977,0.31182311355064274,0.2514721484629414,0.3149486197046839,0.2542376088460454,0.24872783461310422,0.23362658767088929,0.35852157640833016,0.21037212087652113,0.2991872872885811,0.3203480289940467,0.28864483483281855,0.25221630464855405
A35,0.23412885861788257,0.0,0.1669218525347005,0.26551627190026283,0.23932284566170192,0.29317116894585227,0.21846536152362495,0.21450662471309723,0.253166555604846,0.2593194814963298,0.16759554691640344,0.40325273577152443,0.22879639360471848,0.3265595498039042,0.21693860801338904,0.2024242582694441,0.3185970722941759,0.33584375895828866,0.2069760569085557,0.22707978501405923,0.24826419412083944,0.2844340097991158,0.27475387164411014,0.24843948927311288,0.3160033362842882,0.35457757807841384,0.20239995901272156,0.25484493644872097,0.1858914619997586,0.16380144781905592,0.23545974379536205,0.2752030573580908,0.2746695485153724,0.2735370167866825,0.2608530607642279,0.27863751953975735,0.22947016032906054,0.2898213358915328,0.31413727355925103,0.29282403429181814,0.23488995254249678,0.29277220162458295,0.21476919631337055,0.22321209934604325,0.26563341237467275,0.272066775164831,0.35596988068557645,0.16853280781765467,0.23440103121254174,0.20485542731188866,0.21761898062595642,0.2085332512725595,0.2315523302263851,0.2704457731269808,0.2238622666386506,0.2204299229435911,0.229164500312094,0.21513152356732812
A58,0.2695628592631565,0.1669218525347005,0.0,0.2305570282810141,0.25263043777912264,0.32277719270034544,0.22516225809050538,0.23135965395983438,0.27337665458308524,0.30735752516501036,0.26871761162255803,0.45107651966248175,0.20190312609743988,0.3571329471898512,0.22516624729189716,0.2620152368379449,0.42070454197442797,0.35869662913387435,0.22629923156554743,0.24960876544156785,0.29820092510563,0.2643933179982647,0.2846134299648131,0.2604119944904676,0.43580962468509554,0.40187407244546614,0.23098514380091228,0.3174629859304958,0.2504603245063127,0.209810483485543,0.3165931222450339,0.3400795557849762,0.3500603922626192,0.32173873278381493,0.2540855828613914,0.26080115682001637,0.24865173378381278,0.3094955132261862,0.32112202272239165,0.3155506821748122,0.2690940709957973,0.3488053402936788,0.27075504028388275,0.27285824314120255,0.2875514688186952,0.31967008415311604,0.3278998807273047,0.19365455921388697,0.3588099809852793,0.19680739278599202,0.17139021176329938,0.27286805900878,0.22956129786902935,0.2728409578075901,0.16151755708194637,0.2331523643235619,0.27221745296532285,0.23350851540988604
A63,0.26530340514657524,0.26551627190026283,0.2305570282810141,0.0,0.3187716044772836,0.3578481373847848,0.26445145015798643,0.20047130612122088,0.3654257289489208,0.3413602654210073,0.287131529731972,0.4668719439559307,0.20440575778134173,0.3647726348470197,0.22573265365544792,0.25483379348591806,0.45751487852750883,0.348660370931302,0.2550886500129772,0.23102073624775676,0.3054926146505369,0.19978276180711174,0.338297059954488,0.3034529644290289,0.3596524364039968,0.5210769206692392,0.18087868821638875,0.3009416568898575,0.31224993997026995,0.2574646041366946,0.2852424058931323,0.3339482374503263,0.3135564298850195,0.3237520218440286,0.3478559982154307,0.2894172110309027,0.21113083259730336,0.3040667695238175,0.33268769677586985,0.3043934867822039,0.29189420071548666,0.3502116475667062,0.30334681955808307,0.24236613334479518,0.3479137328149823,0.3483307456249044,0.31489953174618535,0.1892712814040114,0.3641956475560718,0.25390614831711966,0.19768658725947907,0.3082052008275318,0.25695588861710317,0.22880794930792825,0.19120618091699249,0.23887549831906119,0.3785131560016398,0.28205071594523323
A89,0.2762040132919852,0.23932284566170192,0.25263043777912264,0.3187716044772836,0.0,0.3332084331733278,0.17312270280411457,0.28508991802511086,0.3170414671345043,0.2394472082385083,0.2913229165479123,0.2798046340417166,0.30677659521539224,0.3259635296466894,0.2480924109671333,0.3022929146081851,0.324357320018823,0.3239798896607644,0.2366883220734306,0.19999576513982642,0.3114019520299579,0.33039250311290225,0.2726635789399344,0.3001280336790104,0.36157488913949976,0.3115834536023184,0.2886282470948799,0.22888414911241262,0.31533571233749946,0.24517386071074354,0.3401833886729354,0.2976150483324467,0.27434196255505106,0.3159433321994818,0.2014625291135116,0.2902470237091507,0.2723705135498041,0.24602845429483,0.3320255772710988,0.3003220023677635,0.30236147427587645,0.3235947156172012,0.2832718910816542,0.29588909480274905,0.28462768283530726,0.23389131242072425,0.2657640116417639,0.2692484074424689,0.26314495181609954,0.2356196210749193,0.28559672700947725,0.21500519426616493,0.25495330109756575,0.2676712390603513,0.251237975731889,0.2424069437389631,0.32935573310904764,0.24890363061454757
A94,0.3955202536640632,0.29317116894585227,0.32277719270034544,0.3578481373847848,0.3332084331733278,0.0,0.22536773060286586,0.2717433874730828,0.27045424566198306,0.3407051351587074,0.21327686123970824,0.4236489597838913,0.33169047357630854,0.4170016058409187,0.23790812464741518,0.3338016150430094,0.3280170764383675,0.3064099992597469,0.3022982138728052,0.28152255224554734,0.3332627014888685,0.31521073556813173,0.27591707946980637,0.3626034874920062,0.4033252502092096,0.45486791457245135,0.23442284724597784,0.32866372617457695,0.31873911039271585,0.21804149416317808,0.33133374775539437,0.27282559375278514,0.3167573505024982,0.3875554083191546,0.2817927792853385,0.2918082833922777,0.3189131245529695,0.31507275391019984,0.2874092396811907,0.304879402597513,0.33333083312667533,0.3955651847490611,0.3128807895165867,0.37853190395968883,0.2802733375660337,0.3192072986957064,0.42196245989524794,0.26609143956253933,0.3137742106902569,0.3003715099480613,0.3957233043886812,0.33569474816397993,0.3149742403169097,0.33735301568281273,0.3160624548657722,0.28082044975958353,0.2988332212151926,0.3033129807678848
A36,0.28413372021548766,0.21846536152362495,0.22516225809050538,0.26445145015798643,0.17312270280411457,0.22536773060286586,0.0,0.21294746447130675,0.21554928878859692,0.24085086532088562,0.21910473104922545,0.2697770116875229,0.2737673244254759,0.34090251434603025,0.1914693187864408,0.2733769319012703,0.2632914388813993,0.24014691574042812,0.19667716428972137,0.20272324982452905,0.283190342130502,0.24595379603039402,0.24412626339056576,0.23350966296526499,0.31106600122770656,0.3144120538751721,0.18840063286613862,0.23459771663885787,0.2788370744500067,0.19119618280388728,0.27240603639720207,0.23664089631901197,0.25269918008748526,0.3302783504906732,0.2357221804451829,0.29883881717417626,0.2178662720362069,0.2821091263796126,0.2971271353979156,0.25766548779031384,0.22079951403515774,0.26790543371148323,0.25550783040825553,0.27608215765247357,0.23663566870407182,0.24027490882274827,0.31336951560804316,0.23035147089527686,0.23505241507638908,0.22535423809356536,0.28874966614832964,0.27634244449179357,0.2169494448871916,0.20788255207037465,0.2124535777590748,0.1952709771992892,0.28457140532440683,0.20936200000180916
A42,0.265451835303277,0.21450662471309723,0.23135965395983438,0.20047130612122088,0.28508991802511086,0.2717433874730828,0.21294746447130675,0.0,0.2864249296375557,0.255500658410711,0.22424286894015055,0.4240060986846381,0.1726681386112976,0.2755625752344234,0.25059976923041105,0.2534857377172177,0.31743495225900187,0.22877506562162842,0.22996038701913202,0.2249838777701625,0.2882302179041991,0.3011476906746966,0.2912705416040362,0.30402734205234994,0.35735776737387515,0.4729038814797498,0.17314218530100234,0.26457336644729534,0.24634956993702206,0.23752676546809925,0.15306251197082166,0.320630096827765,0.30327211227192974,0.30333978634932013,0.32087943456094326,0.25718878639385423,0.2557450446153118,0.32319670330806305,0.31364530345488717,0.2831061337301467,0.29042407734969844,0.2865248152440014,0.2491152313031162,0.31870393507892203,0.310305662705472,0.2632630000091486,0.3049988592799434,0.18571432184930814,0.3005499770397063,0.22634953414109749,0.24909227895531028,0.25437641875002015,0.24059192147786101,0.25088037707328714,0.16973558470341488,0.21225065479878047,0.2828045296915983,0.21366281441204615
A47,0.30134948234479775,0.253166555604846,0.27337665458308524,0.3654257289489208,0.3170414671345043,0.27045424566198306,0.21554928878859692,0.2864249296375557,0.0,0.283194030477786,0.31920910289784077,0.37266928401153576,0.30362730267441473,0.3868275360120472,0.2919062251639386,0.2420728843133625,0.33573779965709183,0.28285539559735184,0.29389735769569236,0.2818229672420559,0.2841185400703572,0.35347503036425887,0.2633520299666531,0.2703271956215223,0.38853393018511273,0.4151899961025797,0.2727092096444843,0.29200984869880675,0.28400938094744654,0.2200128656757705,0.29270511428226775,0.34523207799364275,0.33099292765037014,0.3509943528959457,0.30779875575675675,0.3181085662958285,0.29695892036558647,0.31510533717437095,0.4204099042997622,0.2810173067545949,0.19895202433423453,0.28092180816002,0.30834683383916417,0.35584100550205633,0.23537162883873297,0.315860060146663,0.365099424082317,0.27489360724426637,0.3009410849358666,0.28179075737536863,0.3515029178527237,0.2876256317205602,0.3368111064535426,0.32918374377994786,0.31509334522151866,0.27757610165114466,0.2918381835643806,0.28077518415284763
A59,0.33264465177667024,0.2593194814963298,0.30735752516501036,0.3413602654210073,0.2394472082385083,0.3407051351587074,0.24085086532088562,0.255500658410711,0.283194030477786,0.0,0.34365167419992937,0.2676833045147634,0.2575616609669351,0.2618376297876317,0.2665144111955947,0.3287853624818641,0.2507754011865915,0.31429978622997334,0.2829931367901082,0.21653274208315243,0.3000662898206613,0.32515265501103796,0.3006434821568065,0.35002341485355726,0.384863747217537,0.4260325503979481,0.2882792651737698,0.27736875904021474,0.3115509738721336,0.2576030701406824,0.3301691282486996,0.3244020255942619,0.3156795051115202,0.4181708981190463,0.3233475467740671,0.2572198087904948,0.3196120427495337,0.27954078715758623,0.3310188368324589,0.3304083454469342,0.2824521012019253,0.2749875708926185,0.2863310853900566,0.36197669555917344,0.29643116502214517,0.2927368671177236,0.28247222306265807,0.2914873672369307,0.3677480820069887,0.2912013609365378,0.33883307430701604,0.357622833324856,0.24004627337293571,0.25511534547954917,0.25569068893994595,0.3282979108599886,0.38406710277656875,0.26322060638434663
