,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.27677413471010703,0.269840375067657,0.3066220280722639,0.3135596098252208,0.4378018213351851,0.3132046287001641,0.27884881071510725,0.35520839719741804,0.35037203397313543,0.3806743997914448,0.34567385118553895,0.28745640012455564,0.27610436927662896,0.39959386629866545,0.27277164391663267,0.3995348613142109,0.3172792105436243,0.3388667307233354,0.43508807269124417,0.31441312063535565,0.43576456876232306,0.46350524327060927,0.5153333395243684,0.39884944900233854,0.5505082528642404,0.3440926671813046,0.3702562900674222,0.4635093228473234,0.39170447184121326,0.2817961908620149,0.27494257007572787,0.3298585570252437,0.26878455855479433,0.381837706600588,0.5046994070927239,0.393167174595887,0.28367873448870307,0.3860707025725527,0.39141516521572606,0.47947388424485415,0.4314348786602512,0.3289801614453467,0.435423843380764,0.529409630906516,0.3419986612124136,0.222031780693403,0.24401347760645764,0.4243183561974929,0.3217571969331906,0.22649720474027557,0.29089405461802764,0.4358081799553647,0.18658050786314961,0.33518434774853445,0.4423700398972452,0.3825228045771828,0.3055445007098938
A35,0.27677413471010703,0.0,0.17075991864991902,0.34064314590051314,0.22497277000429672,0.3911110957254358,0.2121890304581433,0.253307331675102,0.28301001511799284,0.281484553824366,0.20002514905360202,0.37140879530679316,0.31111321235464884,0.4382569566823443,0.26006465257597366,0.2164382767167251,0.46054288990954495,0.36471083187398057,0.27802402664510273,0.29573981842009067,0.3771990852016346,0.3466532281083671,0.2908366813182208,0.2769328297432637,0.5279348276731066,0.49525254247227346,0.20543051097998288,0.2871936730641973,0.2500485790997634,0.18706473686305258,0.2897802503408251,0.462224500863046,0.35546740098447516,0.32906907008320985,0.2774054411968936,0.3805358495604836,0.3086191385282637,0.3859517577201321,0.4660696704287093,0.4366556184009842,0.3410967047968253,0.41719846593100784,0.3106622191903885,0.2943888278270915,0.37002869202047484,0.32913626959047004,0.37528761407227806,0.21595374986749927,0.2910248408905832,0.20398299942877585,0.27990321174870636,0.23028281733487954,0.20403886114594894,0.32402144637213004,0.29501316873499084,0.22724980827461572,0.28914785885371785,0.20424559920018892
A58,0.269840375067657,0.17075991864991902,0.0,0.2378291759903689,0.2730880633179503,0.40368762318550677,0.2741904918285273,0.16403976179205626,0.35757789786194016,0.35404126626112464,0.3122978220418656,0.48336373770594887,0.2494950675087757,0.3774980730475025,0.3097021098851116,0.28237970526574174,0.542251304261422,0.32298087102371853,0.290105942084398,0.31947009101269064,0.4136860887721998,0.31662407508735835,0.31894147135085127,0.3478751594202323,0.6449133905555462,0.595447828642821,0.25929844897891285,0.3870636211809223,0.3420803830343404,0.2707171935289663,0.28720322361681494,0.49963168103080824,0.42133292112690657,0.33512198254296277,0.3344470054905998,0.3383246467505485,0.3190073517311549,0.4111464565516054,0.4537209893918973,0.4466721982016466,0.5133421580049351,0.49811434102467145,0.39418525701112384,0.38826648869766944,0.46941938837217967,0.3780879172548661,0.4053106214367658,0.21357963514052536,0.4347419410414538,0.16118684618649048,0.16226932745466027,0.2855632412444339,0.24386490359645474,0.31134914298919925,0.16560607268619254,0.26583410067569013,0.3218461996023876,0.22304387335164322
A63,0.3066220280722639,0.34064314590051314,0.2378291759903689,0.0,0.3093023898894539,0.5488691628656557,0.30748639759000695,0.19120713021812397,0.4707527981949615,0.37157060664833186,0.461490484357428,0.38684981888076797,0.13551155792820813,0.354674421415207,0.2577088809267116,0.34068099105986593,0.5587316996465453,0.37746292330963194,0.26583512264512543,0.31860317269209015,0.43414773112521954,0.25197363062820965,0.4253886942852442,0.45764866064005094,0.46566038915491825,0.5851815444079974,0.2727158919429459,0.2572285466226216,0.5385280237790162,0.4230206883051417,0.38892335456483074,0.4997318180394602,0.491573182017478,0.4380336304420842,0.5082589824020356,0.3313293868996875,0.3106052893863258,0.38243514189861905,0.4343794376875558,0.3880680888153001,0.4264018245911668,0.46229207818513074,0.4436517069614254,0.29899655862067887,0.47634013966845845,0.44444513065366564,0.24674597263708653,0.2516841584003666,0.5754289189336999,0.2846992342546849,0.18013393403006295,0.4468484966065197,0.353048456002252,0.2656033885665716,0.1741656893291761,0.31505091257579343,0.5745402242241489,0.4164018467802274
A89,0.3135596098252208,0.22497277000429672,0.2730880633179503,0.3093023898894539,0.0,0.38712194516034915,0.17582217841725434,0.3310941202134847,0.35815716967959565,0.294660294022395,0.34747111080258875,0.25980050949453715,0.3343998429031326,0.43482455296859834,0.19105924820407583,0.2954206102294107,0.6028412083920285,0.3001909320638161,0.32595890609969147,0.17660985543524244,0.3796662175850204,0.28170004769919854,0.29958818448865154,0.4069218713787408,0.5106334101815261,0.43151134256096624,0.33673867157577864,0.30804699152655457,0.41851420037415454,0.3050347705220372,0.4012978587104199,0.417384941006431,0.3528959338307316,0.3324268089896253,0.24847588614134242,0.3211115248792137,0.3248715670673462,0.251118806313401,0.5023521595469296,0.41368868452317153,0.4407491041785352,0.49691095277209785,0.4382603772607252,0.33745643343523934,0.31569522682760276,0.31046919287420216,0.30205013609258546,0.3536812716671376,0.3198388049205808,0.28957918049484455,0.2579906016053245,0.2407867951190995,0.30017518413448885,0.35248187260512687,0.32899846833486934,0.32036891917827304,0.4755817127934552,0.2786297038945067
A94,0.4378018213351851,0.3911110957254358,0.40368762318550677,0.5488691628656557,0.38712194516034915,0.0,0.314037710822079,0.2951221574804641,0.33273703068005267,0.44046643957793763,0.23121196898306462,0.4643655028311173,0.4627447478615746,0.5502019359110737,0.3478378947018287,0.35983043296512174,0.4127440874158176,0.30013357151838704,0.39829483935771104,0.4143092027505686,0.4539997986097919,0.44543439262833207,0.32421671744978364,0.43687402764378924,0.5814680345794261,0.5240884319567816,0.2961267035952664,0.4854868206317099,0.3792493650301828,0.29693642390562247,0.33158774521604983,0.38838108493297596,0.3362369950945462,0.45951192902938454,0.3272045522632512,0.43307988599234015,0.43747109490409186,0.37443190661097214,0.37561652902036335,0.3922043722955548,0.5559010133331913,0.47719403409066197,0.38028900324524684,0.5051694057608693,0.3869301761235342,0.37613303644532514,0.5228639340942229,0.3443613537024546,0.2603942393017711,0.38820188847489867,0.5594359339346968,0.36008440265786423,0.4219101389787048,0.4781197702149458,0.4289362230152456,0.3553712390219489,0.28223721338790475,0.2738305449806704
A36,0.3132046287001641,0.2121890304581433,0.2741904918285273,0.30748639759000695,0.17582217841725434,0.314037710822079,0.0,0.28298642431253773,0.23605243932308606,0.30134464647764514,0.2594918985019222,0.2517552607699697,0.2779510514689293,0.46354360205467116,0.1952729826395082,0.2733676658506732,0.40715174006152866,0.2520963674084966,0.1797282367659958,0.2415690209389263,0.4081256615979064,0.2631809369196213,0.2994835740009212,0.28699991393809676,0.4059904880640238,0.3529814707643213,0.2204776069586858,0.23646694877807073,0.42992350982949257,0.26662661844942726,0.32728899649971743,0.3694696464206837,0.2983884852457651,0.44064755873693173,0.3196702635761184,0.41906916639875924,0.2923066500792476,0.2988207210854579,0.4471272949216808,0.3010118513409622,0.3132537224739419,0.36876833100770556,0.33985785139960156,0.2995214482157835,0.3096642367540252,0.3981747099503141,0.3273561867459067,0.3459612121154737,0.2887868656260708,0.2955705644429608,0.32608749742949794,0.29862497057698867,0.2747011186423616,0.2891022181558226,0.2746116416225952,0.22126065109723603,0.404350189402205,0.24419505620324677
A42,0.27884881071510725,0.253307331675102,0.16403976179205626,0.19120713021812397,0.3310941202134847,0.2951221574804641,0.28298642431253773,0.0,0.35438132995801785,0.353971347163766,0.2091091091658288,0.5022010081297044,0.23718195445428047,0.33887210952596336,0.3423953437272941,0.2593722283925104,0.44274598717295177,0.23927610218412065,0.2631297204778782,0.3364865055298577,0.42915204180613176,0.29023147214679845,0.2737630485521041,0.33355904717596163,0.5636390834154295,0.5645464267620989,0.1828360742378834,0.3617504778384949,0.35184181935362413,0.32834308081358476,0.14325131727452867,0.4072334408984065,0.353936830417534,0.28308751398282817,0.32925251453707804,0.2914069068633317,0.30527340791853375,0.4235053885905057,0.35421729731274254,0.37407762491622143,0.4884083376359585,0.39992181694843665,0.2951843543042001,0.4227361216143809,0.45548636845583723,0.2828874574116548,0.41135427539433944,0.18884505451754796,0.32206158117490613,0.22313862190661182,0.26035033809622043,0.2596732046677659,0.24071210666269816,0.29735424243875463,0.17362845877883926,0.24615624524757318,0.2704095693021046,0.21578263359365013
A47,0.35520839719741804,0.28301001511799284,0.35757789786194016,0.4707527981949615,0.35815716967959565,0.33273703068005267,0.23605243932308606,0.35438132995801785,0.0,0.3441943096269976,0.2590053061547054,0.38728416104711005,0.3895670212501734,0.4878482854279371,0.3221123669783428,0.2010169527032326,0.34429531999893803,0.28600424535101765,0.35543717241845296,0.2971699626522659,0.34999331127163025,0.3771980326084974,0.3191829437610807,0.2585916803676388,0.4899431763280113,0.531626315640404,0.25494842088892655,0.34375543493460814,0.3013184457242516,0.25773496480924996,0.2879122087615271,0.40619118110022556,0.33217246767837305,0.4788589500036182,0.23381903625066192,0.37418927392768964,0.34216314497156963,0.392323140053922,0.578774933295763,0.39758272760355984,0.3327493475118184,0.3836772423594983,0.33774494652996323,0.40516821645832,0.33596153629865233,0.330578729114407,0.4717575378843315,0.32141576360462476,0.3163345705624735,0.3143411260432267,0.4404769086446948,0.3485709186762297,0.32203057515618805,0.4834672961808605,0.35971464891332927,0.3580256252634122,0.37764106990896185,0.30609251246424485
A59,0.35037203397313543,0.281484553824366,0.35404126626112464,0.37157060664833186,0.294660294022395,0.44046643957793763,0.30134464647764514,0.353971347163766,0.3441943096269976,0.0,0.35295025060263074,0.22678508456789603,0.3070986742995443,0.28078322140106304,0.2895225496156596,0.3787536455405712,0.310708772469084,0.3790606273549555,0.32013747135663395,0.26868154969863467,0.36801030469958507,0.33286380529171333,0.33948250123449253,0.3894245175109261,0.4738322616787767,0.5241438282696596,0.3027259472808619,0.2579250830773989,0.390556634683103,0.367245678051493,0.38261878409757033,0.44525138804897124,0.4035978115730967,0.46171378272190033,0.3291499214317902,0.30313878674320116,0.39098817691772814,0.34210565229995415,0.448523366636279,0.41118517685452793,0.36383303271799383,0.3883136491176159,0.3180053570776403,0.45324545452752873,0.34966567832634954,0.2582277522615368,0.331218164961135,0.3428962740362076,0.40573201971877315,0.33556908916963135,0.3734823933122421,0.4351511829420752,0.27648644372095543,0.33655333379370234,0.28588457973237724,0.4331924615963738,0.49714544828096563,0.3023940000061476
