,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.5034856231863252,0.40621130440936837,0.34863670354332943,0.5312271676957496,0.5953131011188243,0.4765841225237438,0.44816329223343043,0.5349219540898856,0.5139862627372398,0.43751203208749045,0.4018541769350533,0.4758280776834921,0.23992431057987007,0.5567060954125183,0.4452891399492793,0.604992044298688,0.4666405727884716,0.5668808461531128,0.4742250931001818,0.5440190029642813,0.5661690272687319,0.5496844765746972,0.4775086491394831,0.5247467982127116,0.5310483610604018,0.5011632267869883,0.5442937688444192,0.46921628233077783,0.49110313533990746,0.4925334586754082,0.5052582348393634,0.44307231277452097,0.3991559290489135,0.48805830077843393,0.6150171491515939,0.5496372447899773,0.49735281017968547,0.6930917069219503,0.6057045889503945,0.5592601534826487,0.6232978984393501,0.4298227700878341,0.67032681632888,0.5039186256633473,0.44104837858069046,0.4210283317323005,0.44506336704687777,0.5689620462548163,0.44252913841852215,0.32501065986184385,0.3771051106444021,0.41962463444540177,0.38009331601298113,0.41726697679758096,0.642899267883221,0.662300973618168,0.4496996006587356
A35,0.5034856231863252,0.0,0.34212530932960283,0.5557790299051892,0.2817633008419791,0.40610141941582023,0.28165926279115283,0.376342089101798,0.3740196230172116,0.3880797226409818,0.26964344758885905,0.32728615831212715,0.49011389602443034,0.4579981809135577,0.3434779449062263,0.411735977747858,0.44875541105277705,0.44502832075036025,0.3661353631982438,0.34394703111760894,0.45124705871442705,0.47156484385727715,0.3510394399521293,0.3881696432214923,0.5399938557888642,0.34918434507430773,0.4085021633118574,0.3795239415407442,0.2940436177921545,0.282815940617106,0.3426589444984638,0.4379641447393813,0.44702440926680553,0.42115697196459034,0.34123293341741867,0.4728760057513398,0.4725611485077389,0.4568732740535367,0.6239621935408988,0.4949282092258568,0.4725277651940267,0.5425937426683416,0.396550102485162,0.47633461784394204,0.32398554610720687,0.3395456727211691,0.4946862928823068,0.4329496920702127,0.35369741679853994,0.336038230710336,0.48832619351031314,0.35842310144333467,0.36421689124775003,0.4938257114517176,0.4871147187746525,0.44808764864945694,0.4220161793440338,0.39560971962604097
A58,0.40621130440936837,0.34212530932960283,0.0,0.5265227261195129,0.34706986551575514,0.5788490271877655,0.37344883951371877,0.4985679746387677,0.4707454353213717,0.5201874705966254,0.4636652028474152,0.38940348257982194,0.3928662938999943,0.468339711150741,0.38086365867817695,0.487293069779998,0.47857508203635635,0.5234016868742347,0.35118423193048776,0.44502986122301946,0.5000045810503182,0.4461454527703852,0.47133273823925415,0.5222912884888193,0.5926478195797351,0.3286733849190786,0.5293598719365749,0.4180604744207459,0.4393329983637929,0.48433844373571944,0.5731181889333625,0.5063684510300863,0.559400469847815,0.44328531175629204,0.3342138867059924,0.5290268964747517,0.49909838029171205,0.49206131003113396,0.5012424883797406,0.5225957021816641,0.5378810236159075,0.5499748176902477,0.4775566454751541,0.5350911335781239,0.43369388899431915,0.3279668133754621,0.4522821741841584,0.3465039359803913,0.5410398176210205,0.4117958914809785,0.43783733508450307,0.4865638011551542,0.4590235489060335,0.540290970116091,0.4216025813237978,0.45447925179217497,0.409411375195348,0.3646371457797868
A63,0.34863670354332943,0.5557790299051892,0.5265227261195129,0.0,0.5900942447417771,0.5236734893208436,0.43872749870110417,0.34584425051136514,0.5811676361983702,0.4217809437344392,0.48461329147393006,0.4624675964765457,0.4321947210095459,0.314454324164838,0.4457922219852245,0.48608128891809244,0.6444627767840811,0.43108929812442465,0.5065805129863429,0.4272668365046589,0.6798407790788912,0.5324962769701005,0.5593096311115335,0.44692401166892404,0.5592564075343069,0.6339819240448766,0.44516531937719606,0.5213066288771719,0.5435366943639044,0.5024710190794498,0.4920319063504919,0.5218712248064076,0.4902058651821469,0.47080369470536443,0.6298412485961444,0.6182209981952261,0.5134438588113295,0.6108201855467653,0.7355905611365443,0.6706627582809783,0.5560404722083103,0.5886375144106408,0.4792488430486448,0.6683800117284956,0.5323947128360174,0.45246304097091905,0.36596849332327996,0.4728044994914449,0.6385783510760772,0.4462375120447687,0.3610588507266783,0.39377784039133323,0.3207888646621312,0.3220545919409108,0.3331675257404699,0.603110305205061,0.8435070070658133,0.4994929037052216
A89,0.5312271676957496,0.2817633008419791,0.34706986551575514,0.5900942447417771,0.0,0.5329388295894519,0.3139788524582765,0.4378324201943462,0.5139952286554887,0.47838462520410163,0.40478369311424167,0.3357761497550783,0.456733561649698,0.4779029229349596,0.42466427253564665,0.4949793764448608,0.41504175335085536,0.5217014383598155,0.3189559816687194,0.27509568404800455,0.4580955894307007,0.45702223121186436,0.40879507355329747,0.4551984970140275,0.5104497728693387,0.29709654667430463,0.4552669772532164,0.3086085525719454,0.4164345518095729,0.41538021206496323,0.4451931559624498,0.4845675314526251,0.4727204278641086,0.4624765371415167,0.2341768936260603,0.3956168395591103,0.43799485409627104,0.4222599851098776,0.49394813307971985,0.4726663631594652,0.5317990198277778,0.5200065109013126,0.38563176253735865,0.4313455289245064,0.41612592965436856,0.2939668056268414,0.4118504606925919,0.42984635452546405,0.3579457410995238,0.36748966530019345,0.48727799714501174,0.4055690698902543,0.4131527872623033,0.46656549001763115,0.4642147268008452,0.3532632482264553,0.40370216076478227,0.44757511181635523
A94,0.5953131011188243,0.40610141941582023,0.5788490271877655,0.5236734893208436,0.5329388295894519,0.0,0.33843417527422115,0.2894793032686843,0.3654082403496005,0.46519160206169685,0.2533864060380965,0.5060536412355285,0.5412743112779373,0.4459382659868216,0.4728629217691632,0.6519220657085025,0.594854178054556,0.42414627947730876,0.6097076051590439,0.47144303995657,0.6343606976858249,0.5742778171299529,0.3446006038101498,0.45109259623912934,0.7209890331836963,0.5495635165733956,0.351954101498945,0.5538552421784233,0.3582085799465775,0.25630215098894393,0.4420520688060673,0.4516987114682932,0.5163851358041154,0.5699781726222293,0.49402409406232195,0.6062131562998883,0.6454446251345352,0.5593804737472707,0.7134881855674795,0.6414719959822861,0.5815831303858067,0.6269280768131407,0.5085351105793139,0.7172043103608723,0.3823528950913766,0.48711625828965277,0.47301662945381584,0.548401745491732,0.4994127876439839,0.41381947085515247,0.6364161222370355,0.39552805087129184,0.35222932827380715,0.4664882597067268,0.47084004891703934,0.6825843506142479,0.5779753507763428,0.5200488762796851
A36,0.4765841225237438,0.28165926279115283,0.37344883951371877,0.43872749870110417,0.3139788524582765,0.33843417527422115,0.0,0.24826336074916333,0.29760208067982297,0.38765182676955845,0.27267643440597034,0.30364491008455596,0.4252065420112202,0.40269048426436027,0.42610350094553473,0.5018901048825195,0.4315955850436626,0.33783687149051533,0.36650289515790035,0.33589684236008266,0.5499462327315359,0.44268634879954494,0.3614362640330546,0.32747346518747855,0.5309420486680768,0.3028596331769515,0.29517056841115863,0.3281413016313648,0.317806550603724,0.24892297261903884,0.35404926724079777,0.3787569747109132,0.4466455095025681,0.44752216086886054,0.29606789138192224,0.5254592742429964,0.45589193102264813,0.5475811499120073,0.6393440846369638,0.47271006416889694,0.4692274217439484,0.5089576742137262,0.3081793715092225,0.5046862132336153,0.3583835186455555,0.3420671476467102,0.46089414790237027,0.4307834065940799,0.34094403830413844,0.33922094336589914,0.4550988599052268,0.4070858674710347,0.28842058854601116,0.41184064597632875,0.35668073380172005,0.4681209294479485,0.5248486811371951,0.3795605912079938
A42,0.44816329223343043,0.376342089101798,0.4985679746387677,0.34584425051136514,0.4378324201943462,0.2894793032686843,0.24826336074916333,0.0,0.4803152000979747,0.42811452171009456,0.23068944917315115,0.3891817392057638,0.3962315334878411,0.3590289237745292,0.4458402256851389,0.5098728501831044,0.4806499173632419,0.328985240983966,0.4452142853842259,0.38113110643133385,0.5505871164334268,0.5080391746169406,0.437675980994483,0.4025157430948917,0.6093712917304491,0.49608023548957625,0.2987737311236739,0.4337025658379109,0.32620343814552577,0.3351526877738502,0.31113093872348574,0.4560628430844962,0.5030099650203007,0.3716613988324422,0.4205144281889376,0.5328175341083148,0.5138861223522428,0.581913513664436,0.7029070498521712,0.5676015562448836,0.5524157058681489,0.5560529596551702,0.38533293254299705,0.6863451334070048,0.42093689940760637,0.3689357418227872,0.43639354386590135,0.4587159971394714,0.42221928791990937,0.3784352579608087,0.4736151856233426,0.4028087520203282,0.2634479543251287,0.4518809972309197,0.3562413888721818,0.49673703718254936,0.6745611389454627,0.4329378593514258
A47,0.5349219540898856,0.3740196230172116,0.4707454353213717,0.5811676361983702,0.5139952286554887,0.3654082403496005,0.29760208067982297,0.4803152000979747,0.0,0.45140894244985297,0.41243471327370806,0.4370831207853435,0.5062502037545793,0.5308917512151575,0.48688882084324403,0.4446989410999497,0.45004541500439443,0.3940434542626131,0.5363188657710616,0.4790474116904738,0.4785714080352049,0.4631652070606287,0.3572829584207491,0.3192871700637071,0.5906989153775926,0.43817157612959057,0.4201838505240888,0.45047085909962314,0.3934098604865669,0.27813902604416585,0.43515065391844965,0.3906512120690504,0.5668960319963836,0.5509922326674184,0.4232628186217039,0.6232876628435706,0.4671475741318726,0.5202176966551656,0.6468258425680731,0.45115826269470527,0.3866879522565634,0.43914412173909034,0.3882038418868561,0.5557889282443116,0.33407395858037037,0.47396782833380957,0.5868323086825866,0.490707236255682,0.4054412151437281,0.401414586360351,0.6827954008683081,0.4875724783592773,0.4759252904483654,0.5718408518425587,0.5234269958046176,0.49311327085480405,0.43824789370217976,0.42282579261043196
A59,0.5139862627372398,0.3880797226409818,0.5201874705966254,0.4217809437344392,0.47838462520410163,0.46519160206169685,0.38765182676955845,0.42811452171009456,0.45140894244985297,0.0,0.41916993727533614,0.3404486576773138,0.41387439921766356,0.3681102335774431,0.38214837608873575,0.5233283058174623,0.5175703089184014,0.45162392028489295,0.5606127415316629,0.3372875630035761,0.5223785701461114,0.5125419941444707,0.4115684948619881,0.5147132276243995,0.707736726297094,0.5379656112296566,0.4272509153537304,0.43565102181003645,0.37239573845121743,0.33380731354293924,0.5308071264655769,0.5151082758476604,0.522447146538534,0.565764766705927,0.47849087454384387,0.524161877652962,0.5047274488710456,0.5511848938700852,0.6179250503569123,0.615353384277725,0.5454636498968235,0.5337236269948147,0.4276887641928385,0.6223161372143955,0.43064849204409095,0.4309131005089144,0.41503254372803267,0.4629175561215655,0.5100976868286429,0.42465872233568647,0.5076340539108328,0.5056011539284286,0.2534810604486568,0.4007244922184897,0.4728672334555959,0.6067918308133324,0.6653125884654774,0.4128485783088107
