,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.34503604177994196,0.3781170387925872,0.34636548487103913,0.37761876686650686,0.7108002995365768,0.4552969758754969,0.4757789156077624,0.6002776580049748,0.5147573827074263,0.46199296558893355,0.36548181170616967,0.4466983870665848,0.25306982597773575,0.5050147426316678,0.5170856325003899,0.5609302099757467,0.4275103406011411,0.4483970911816205,0.4075863047287428,0.38426576167295334,0.45217235426590296,0.4811443704233934,0.5915306121094364,0.3941438747267054,0.517919647185792,0.5084732434359884,0.5227931329305227,0.5273347437707172,0.5511226354057079,0.4556112878594035,0.5022791728742109,0.39265533065310665,0.2584568927825578,0.3959661350270328,0.4703949329835382,0.5304452922733135,0.38605276467732386,0.5290964435753365,0.4843806279720049,0.4942586463080828,0.6684468730231092,0.3972766698646846,0.5555841395609149,0.45096226537988615,0.45831951454867614,0.4263903516263351,0.5014664975320335,0.4385310722163932,0.3951270998190799,0.2398114205102716,0.4096226321828772,0.4580391293853645,0.3937272566979889,0.4500245118680969,0.5357238633179442,0.7089326299149232,0.5132126263070085
A35,0.34503604177994196,0.0,0.2874002618597554,0.4463175342928726,0.2371882610936512,0.4089796796313844,0.29843843175388374,0.4322665841117328,0.33660992434442105,0.41264544996343333,0.24505121876337077,0.28149967520323804,0.41381824340946893,0.34569961066470734,0.3285476634563499,0.2876954724559255,0.3476096948003734,0.45991585022609593,0.3003069502255432,0.3148356009679446,0.3553260060127751,0.4431030092143078,0.2770855708773724,0.3344427192260212,0.4523579051722164,0.3514451403961336,0.33324819351695123,0.3138770249513827,0.2977751224156491,0.3110083703910035,0.4362099230090092,0.49024213353411983,0.3276609591780837,0.3612512402578092,0.23894969404475652,0.3361478354051549,0.3778859032096674,0.36125924491413397,0.49911043945536426,0.4278849614754834,0.318817534021948,0.5056712306035804,0.28127042813820424,0.40172159664904894,0.3008765648389785,0.24010108285188314,0.4641979334214533,0.40554557941586633,0.2752329139175146,0.32829454642210254,0.37942298671377117,0.3056896570732657,0.2935484494899929,0.4702070515975504,0.3175824165353366,0.3685933649875077,0.5141454530815294,0.3739461273240908
A58,0.3781170387925872,0.2874002618597554,0.0,0.412331837711565,0.26329868953259694,0.4929190256521282,0.3458995172208722,0.5042849867390818,0.47881481208011833,0.4737068097005571,0.36708426999525734,0.404519243331662,0.3042270944985218,0.4105850545200589,0.2672033303694066,0.5257271717015168,0.40180068414456727,0.46460952084256124,0.30350803168296914,0.37736713738324357,0.41752089849515495,0.4430850135805794,0.3276893150031026,0.45096814717837275,0.5784502615692879,0.40605543829155144,0.4295261228598546,0.38306223057833266,0.3801865991146318,0.38894480680183463,0.6677792322074367,0.6223948781017541,0.5254869556060275,0.4864976998813766,0.283383849217,0.3410925709165672,0.3775964093989984,0.3959558054607064,0.4544227119739688,0.39128667716004184,0.41924166281294006,0.6461684630303532,0.4535119993848731,0.5098924838622101,0.3303289406164732,0.33513177228277646,0.3977056262255686,0.3645341142934987,0.5292351551587738,0.3604351346505327,0.30287464151792587,0.506711159595935,0.33520138919663267,0.5459947589030818,0.30740531174889185,0.3431461655504361,0.6671196706621281,0.4285106611133196
A63,0.34636548487103913,0.4463175342928726,0.412331837711565,0.0,0.3371582763446701,0.6347105013646441,0.3948904881170493,0.32759275431270574,0.6863259689802228,0.5651291192827774,0.5192167708154312,0.44123085778999704,0.35819866772302056,0.4191686143588891,0.4554390519307091,0.4635634037746873,0.5255327622591148,0.4680387916336436,0.3046575175753691,0.3912129854188874,0.5203485235581149,0.39688289852826275,0.5103719974239234,0.47503358822719877,0.42585773526015536,0.6052506529241954,0.3808076930098686,0.3876851361302137,0.5027945192804057,0.5196035347619345,0.3979780897356703,0.501745678632411,0.4507858082678764,0.43752789957720595,0.38520789129560096,0.5112838343612505,0.3355502305567444,0.40134791084069377,0.4562204995181661,0.5042958584532462,0.4505692403760344,0.6641697858319328,0.43512532854428354,0.4215565953629573,0.5385719840404168,0.4054067211718707,0.3575860465234616,0.40952811891368124,0.5113808207553776,0.34234027530592015,0.3180093512201789,0.4268979214156884,0.3443804106947881,0.3849618727391062,0.37175674830483474,0.3321236167482817,0.8263530061755303,0.4263062390488198
A89,0.37761876686650686,0.2371882610936512,0.26329868953259694,0.3371582763446701,0.0,0.39596491748135965,0.23906706123229227,0.39465243783619797,0.4577509481656976,0.41080741345268135,0.2905824792284023,0.3059519062475696,0.2984091482474561,0.3927748052044181,0.31708536790036934,0.43085791218140257,0.34413717274679534,0.4453393569108134,0.23362784033747963,0.1834996336385173,0.44675992375032314,0.46206223832206184,0.282878660405555,0.37760744737093965,0.5178282966702152,0.3459523930403592,0.33332734520676055,0.24199178855803605,0.3904184663073802,0.3298138303645982,0.5603667783269788,0.6203302173695804,0.3761500595480012,0.4685634376264344,0.1311887952867613,0.2594078033272358,0.36722031878095485,0.34217387512083397,0.47804080163837626,0.41413230822553826,0.3983074502872511,0.6271846376622573,0.3353482296840171,0.3823024771411204,0.36290161030092793,0.24041497499071285,0.3208979043600788,0.3732742156625998,0.2975567431930106,0.31626359303900564,0.2911694423340303,0.29910943846355253,0.2523134174363718,0.4545557065783281,0.23204928290767113,0.27920034731438714,0.6754532424030375,0.41719104081098113
A94,0.7108002995365768,0.4089796796313844,0.4929190256521282,0.6347105013646441,0.39596491748135965,0.0,0.3358986649759841,0.4438483601376776,0.3057438450407006,0.43036373266596184,0.2770884487112144,0.4151232542791041,0.40880114992623295,0.6637529464796201,0.3746463997968207,0.4760401572414906,0.34994382015910996,0.4106854213338492,0.4304338047646924,0.3805044781381307,0.5386553989599314,0.5090632530288156,0.2951550627213747,0.3850318205381644,0.5480198252563906,0.4090618648523143,0.27759651610851066,0.3459915493316318,0.34803695089151276,0.19667030006022268,0.5707008245530985,0.5084729100929135,0.4178394909380069,0.7587511915031755,0.31481034524951157,0.35689190030474705,0.42022601928214454,0.35405093609460436,0.37473650865523656,0.3836420864698892,0.4842062412052911,0.5753743200545081,0.34104176050821633,0.35733041224199447,0.37853945423178903,0.42650655630906364,0.5488659107020031,0.42075510935705873,0.40488587593396086,0.37395786137040077,0.7081771675860982,0.48834839003571484,0.34574453284137263,0.6063171838703819,0.402498057780604,0.40434601148323257,0.5593172325038737,0.45056931413207457
A36,0.4552969758754969,0.29843843175388374,0.3458995172208722,0.3948904881170493,0.23906706123229227,0.3358986649759841,0.0,0.33633663632891886,0.305085304889712,0.46989723715655185,0.24419340804970102,0.3113973099383417,0.3755864527510838,0.4930603724379964,0.3947555932236779,0.42019087988098036,0.2879837599554589,0.36880848319153814,0.20356208083080773,0.26273360420829195,0.4916221478595818,0.4442986833886742,0.3216317648943744,0.29951505861498473,0.3949435891784626,0.26943131665694786,0.21967516256263842,0.226727391282721,0.344610986475936,0.24418465347555518,0.43238726546321504,0.46616827954977336,0.3343785172340267,0.5233199880855188,0.20295938855808615,0.3101013239690038,0.32013217797664073,0.4484554831679761,0.4590398124833086,0.2942708048341669,0.320938100318778,0.5301595860111626,0.24709533381489424,0.31188398422812735,0.3296951316417881,0.2839053043097506,0.4151458913069852,0.3882740476925275,0.2508488100360755,0.3832398298254768,0.40360266595423966,0.4024824749467083,0.32760685294101766,0.44679131786994386,0.27978619581319064,0.2590184184639297,0.6508877376187863,0.4514311947667211
A42,0.4757789156077624,0.4322665841117328,0.5042849867390818,0.32759275431270574,0.39465243783619797,0.4438483601376776,0.33633663632891886,0.0,0.5425564141757835,0.5000160754585352,0.32280922581276894,0.4719670065299938,0.3867007650981037,0.5042336127602784,0.5036056638478237,0.43536249505339264,0.3876124903927717,0.40642730220169887,0.3171907152840211,0.39695760918968725,0.5499218341294306,0.48284562664109865,0.4696626573092484,0.48275608665885716,0.5459382442804983,0.5523733297149453,0.2782279453318829,0.40719826648466984,0.4304776845703432,0.44815465525992815,0.32202729649198547,0.537138360219023,0.49919145163098766,0.4490529483693453,0.35790456195235776,0.4701952792677274,0.45050412614747026,0.5499951180799172,0.42466357199477633,0.4441771714554885,0.47811620365079566,0.5964762075083052,0.2995552367066566,0.5163568608280183,0.4965560078903648,0.4315886486734094,0.4679820181366281,0.4161707334655931,0.38646907671977015,0.41177500938299183,0.45793755617615284,0.4685792744632207,0.34168379122854864,0.5252625906082269,0.41187038078551474,0.33612280761581337,0.658645232846391,0.41966374117110095
A47,0.6002776580049748,0.33660992434442105,0.47881481208011833,0.6863259689802228,0.4577509481656976,0.3057438450407006,0.305085304889712,0.5425564141757835,0.0,0.40122524207727783,0.4004146117073537,0.40072289988292187,0.49765600069087446,0.608316839763329,0.4513049508086501,0.3488298975453602,0.3163766482022905,0.3689461516131848,0.4328494425972039,0.41606671831083164,0.5059532873446029,0.5420454156282941,0.2930786772154548,0.30026157888010097,0.5509571341343114,0.4012253820376588,0.3730319250225078,0.40901027902518317,0.4746190088832589,0.27517396155366725,0.5815023067454685,0.4993259404384345,0.46276000479499313,0.6542885152548288,0.34860152548682843,0.40795234170124306,0.4214620797467844,0.41524609729755957,0.6040726303867701,0.3924236708548421,0.2505551050567134,0.4764872686902616,0.3841294767205875,0.46306509806515006,0.30086726873625247,0.40951429761695024,0.5296454814906377,0.5048482749354957,0.3839106177111863,0.44898826804430547,0.6675436745911167,0.47453619790628143,0.47598802678412233,0.5953668825445795,0.49524878183203724,0.40754453622237985,0.44461304615935937,0.4584649663055017
A59,0.5147573827074263,0.41264544996343333,0.4737068097005571,0.5651291192827774,0.41080741345268135,0.43036373266596184,0.46989723715655185,0.5000160754585352,0.40122524207727783,0.0,0.46447855154323925,0.31359441054728976,0.31501476953600027,0.3965836011967293,0.29923171549441274,0.4931636063583935,0.3308346706558649,0.38511006212536214,0.5026573611191776,0.29291822689892766,0.3924275931624226,0.4674140775826494,0.36542331972442477,0.551457626995872,0.5506737555192431,0.6219747718375886,0.4281697746773473,0.45976470314675666,0.40168210221799006,0.29831987099474455,0.6735853873570418,0.6444561874489371,0.5257376928450839,0.6273475422454025,0.4036684019728418,0.3343996823696225,0.4935623319306206,0.37583625335070436,0.4189258344064041,0.44269607664250366,0.41880321280198374,0.4549279235400525,0.4222484933695685,0.5721043670956358,0.30424740750688906,0.42260368951355864,0.33311925905038453,0.42063587781931133,0.5201923783686693,0.484929094263605,0.4742583667296528,0.5704501876614896,0.33736206265817803,0.4634095411731418,0.38879778008821186,0.5128891493929988,0.7066999939592408,0.43073218296688787
