,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.5782058753699016,0.435992290607937,0.4157673744260958,0.6037413179328892,0.5806192320317068,0.611175818602747,0.5056584781224891,0.5406178991464405,0.5687075480013737,0.5238564239155423,0.3989438124463247,0.5082218784952339,0.28105379586197754,0.5578014678104772,0.5349952312351225,0.6739854333626176,0.5442428559168175,0.6130191773093276,0.5440525278489744,0.476005863174883,0.5146055364188888,0.5282015456751499,0.5710425517363182,0.48651427653744983,0.5793249580318887,0.6226989985269812,0.5808003003056577,0.5811629674264513,0.5239696111207056,0.4991577551865729,0.4613115836683602,0.4953627464732543,0.408009913802431,0.6242132253475307,0.6170363260695343,0.5589673241926456,0.47770784712662073,0.6238816116428776,0.5268133519462885,0.6187780841352181,0.6155470411418291,0.45457455905291,0.5649282334793317,0.5116592750730775,0.5011322100538474,0.45377090849142576,0.46405640042802265,0.6830384150621909,0.41799914200879806,0.35365946448826135,0.4476098350635105,0.49783845020619477,0.4210215421497706,0.5064377016442148,0.6033923726062067,0.5934216666985104,0.49963618320590375
A35,0.5782058753699016,0.0,0.3853175774827884,0.5517091409596674,0.35321622628112614,0.45934310104394405,0.3588240232018979,0.419356763402694,0.4391377830729708,0.4300655958066021,0.33306861455935854,0.37969593076755104,0.48452019217739495,0.490445131964644,0.37078732874018494,0.42481617209480815,0.45521374757171884,0.5093014867249924,0.4271312113823712,0.43151842807281005,0.47298759243497757,0.4733420195771325,0.41088087371063553,0.4471500840690482,0.6101165262598776,0.4371825004125406,0.49450472491073727,0.40359425295494,0.3857027843984503,0.3309001462677449,0.4966609250179004,0.447227639875598,0.5397725044444013,0.4542081018114701,0.45376585178465356,0.5077497270024622,0.48231739733381895,0.4611451013248403,0.5704025702075352,0.5497213013823049,0.46147602769006346,0.5536389430309028,0.45402165291548224,0.42855136486670964,0.3794724084817973,0.3854161426163958,0.4677697015189528,0.4346937677488778,0.4206549349193036,0.3933659092009696,0.5130238219327266,0.42047565408648835,0.3963019526861753,0.5181153749704952,0.5039490037904957,0.43787016671287393,0.45492005256998436,0.4255473602054166
A58,0.435992290607937,0.3853175774827884,0.0,0.4884558730407633,0.40700006353443274,0.5092323068962773,0.3870747770591043,0.49695494697887,0.4466322826877762,0.5982092042497803,0.46275479003131725,0.417459883965251,0.41329084074038036,0.4617444424891033,0.4128474508301442,0.5207037344580208,0.5616943583156375,0.5818465036087059,0.40845282437215924,0.5002224894855101,0.5301575616150223,0.4313748561771774,0.4276598108312005,0.5044778381694979,0.5899431864220712,0.3870869097477103,0.5911984690209744,0.4707595979667907,0.49664854831928196,0.4640463165112344,0.5723233922347335,0.4540952584004002,0.6066011610261726,0.4837563019447151,0.4476648524712987,0.5880077227193385,0.5177611262112498,0.5627341881160782,0.534039005632027,0.5297032082647375,0.5479824219086373,0.5421144822542233,0.4891463285380254,0.5150154476877449,0.4362967181376265,0.3624888223610424,0.46320838958282506,0.4383218968863911,0.6589052205639478,0.3775381311879883,0.4671408538685756,0.49022796828881643,0.44103851816621353,0.5418176887021431,0.387022102317359,0.47794589929458975,0.43445712234263123,0.397924494011035
A63,0.4157673744260958,0.5517091409596674,0.4884558730407633,0.0,0.5360212812907594,0.5342934209425632,0.4615611715784539,0.3550645713926287,0.5581918210717514,0.4540248253538606,0.52773359494596,0.444806299862778,0.3844652988776467,0.3780274688574873,0.3828563220619665,0.5220217614994243,0.6714426085242724,0.4739888325281353,0.44891859775079035,0.3807620661996082,0.5901193306192849,0.456646809326374,0.43169905123969965,0.4949883654709497,0.5078703845472972,0.6168095803093729,0.4380770718471412,0.4488123179798157,0.575726336062923,0.46651935092680163,0.44709959279972766,0.5114228335741149,0.4641738682401695,0.4957847848175315,0.6209666009991022,0.5054769080648258,0.4134147743050557,0.5651625847912811,0.6227410684383468,0.5556669352304902,0.5887134645447764,0.5492343060535257,0.4638173380555398,0.5298669434121002,0.49504798808958517,0.4667920925251766,0.38418127007143577,0.43440877072163164,0.6297825239612682,0.3693605805839293,0.3658941080211069,0.446399410171773,0.33445689326581973,0.3222997501679543,0.36545976162769656,0.4677963255513653,0.7424668639305647,0.5012990708432502
A89,0.6037413179328892,0.35321622628112614,0.40700006353443274,0.5360212812907594,0.0,0.5830755963851184,0.3626045207799481,0.502728329250549,0.491834499001903,0.5183037443122565,0.45021544413060677,0.366802327912647,0.5042032603497328,0.5384300892283126,0.4715743091555361,0.499497485612716,0.40835401103679203,0.5289498497022813,0.3631264637132887,0.3257654436142039,0.4616923295790155,0.41012826971618843,0.4167332805226901,0.40299785752203543,0.545971600844612,0.32952049369645575,0.5060739076941418,0.3555422433265073,0.4812725284734761,0.43699234509921203,0.536824363856489,0.45052339967702004,0.505243676146817,0.5131828975286155,0.27117944035376074,0.4267552371431472,0.4290621899685192,0.4123861766523056,0.49533519569585027,0.503204305146963,0.4942555075510149,0.46962362024359405,0.41216686296828575,0.4070318575810534,0.47559363937340216,0.31517343397010444,0.452973527516487,0.5390663696616312,0.39495342053526716,0.43093517808018333,0.5173740441364779,0.4729283756547126,0.46948351328733784,0.5325334808945135,0.5269842609394494,0.38062401506885024,0.5219963627117252,0.4815255131556063
A94,0.5806192320317068,0.45934310104394405,0.5092323068962773,0.5342934209425632,0.5830755963851184,0.0,0.44228714616138254,0.35580263226212017,0.4047615403755106,0.48540162544831,0.29832022587554186,0.5176085403193633,0.4741017253709614,0.4757293856463808,0.4422802943022841,0.5899940348363466,0.6262339619080417,0.5117993313478365,0.6098386717585629,0.4767083983375531,0.6635941597567964,0.5844358692543217,0.3657831649829083,0.5648933747803946,0.7431886809903673,0.57581817116072,0.3816253151777994,0.518454627250255,0.44030961932262414,0.3067829198184895,0.4809922661646404,0.5364666151968676,0.5738243673491767,0.574468609561936,0.5243537494761541,0.5982501743677011,0.6362465198584544,0.6476547797502636,0.6697724762370694,0.6300889426179723,0.6412217520741602,0.6437310170762423,0.4957290600549249,0.666551016049393,0.40229834977602463,0.4739626986669916,0.48296147955757884,0.4376004031546903,0.5426634755835722,0.38607493146131944,0.6621089203001763,0.43208774154421237,0.37902279345056267,0.45933595647381487,0.48225976436218265,0.6063933697132771,0.4603309380041858,0.4826461313908247
A36,0.611175818602747,0.3588240232018979,0.3870747770591043,0.4615611715784539,0.3626045207799481,0.44228714616138254,0.0,0.352641152508676,0.3774121077970398,0.5372596752870935,0.34004191520228433,0.4314244168127772,0.43365380545802934,0.4949100037727139,0.46802189675889105,0.5597200774639551,0.49475397280064315,0.44461429436255806,0.426277350709398,0.37293885377201286,0.648500242967353,0.4555673813482335,0.3883426450514834,0.40266813156277814,0.5854636053470608,0.384056501645091,0.35797062854086925,0.3659802517111035,0.451094628399042,0.38873333613521255,0.5147186264009813,0.4547722415613782,0.5587468797323334,0.5576134304871107,0.39092429981444254,0.5202200155935577,0.4494170953861192,0.6635747669891874,0.6756060600291416,0.5002536766271312,0.5481093851099721,0.5141927744266404,0.4079742286806771,0.4913217467603356,0.378863161185627,0.3793418811461363,0.530745911874666,0.51054690158208,0.4582170222296178,0.34205497026246634,0.5180769546649824,0.48644103654013116,0.3040018155116563,0.5074573386434956,0.3593886423982485,0.5149460811283493,0.5564092602228257,0.4213092166961977
A42,0.5056584781224891,0.419356763402694,0.49695494697887,0.3550645713926287,0.502728329250549,0.35580263226212017,0.352641152508676,0.0,0.5328029100647955,0.4791475078230002,0.31570635379310874,0.4604909027757641,0.3891829145054958,0.4166186294851302,0.44435455414974834,0.534739894629447,0.5174694510356905,0.39691379621212375,0.49447435036430376,0.44157866421861725,0.566449493743181,0.4831252853040642,0.45298320439785067,0.5050277254425464,0.6397722333851398,0.583138570339317,0.3332862041525274,0.4558161794176908,0.4228785904948985,0.41753040846536627,0.37840923229501533,0.4413996547171166,0.606237943107448,0.37931186524689453,0.5288453861271623,0.5020807726679042,0.45939664578679085,0.6066439731115509,0.651653800442974,0.5318735597351538,0.6282606200274508,0.548849459441221,0.44573458107843744,0.594475520881447,0.46608443521957654,0.3951402062490045,0.46781939393939254,0.43777492543532104,0.49293911215820685,0.36340920563410317,0.5418420576520784,0.48400047030626725,0.3067540621233086,0.46162793830954796,0.3752647225815742,0.45232975257737384,0.6118206055401265,0.42200670807219254
A47,0.5406178991464405,0.4391377830729708,0.4466322826877762,0.5581918210717514,0.491834499001903,0.4047615403755106,0.3774121077970398,0.5328029100647955,0.0,0.5014304383794868,0.5180447826052423,0.42612924384391127,0.4783089906712218,0.5818819693994918,0.4786020007192532,0.43957505872436087,0.4538092281229996,0.47675486865905714,0.5427370371410498,0.5073816588235605,0.4936063237949848,0.4576015675932179,0.39675334970405374,0.3182159205891868,0.5864921323663629,0.5096256709538642,0.4837910540375082,0.4594922461266535,0.5165791842686197,0.34328364979475734,0.563736136811597,0.41403273879533686,0.5724831113804871,0.5389420805532064,0.5221302949330775,0.5865284615596024,0.4071304741338373,0.5266548508598048,0.6304814505292029,0.46211083557992505,0.4015142121660651,0.37707215924518456,0.4416614209969648,0.44547361156960064,0.3675086267337745,0.4737857274016253,0.5447865999030792,0.5097452608324878,0.4805985306465608,0.38328361251884013,0.7023298850319328,0.5382119589531488,0.48970331916538745,0.5149887370421065,0.5891755043899858,0.5069254263083007,0.5180437055570984,0.45690897658170115
A59,0.5687075480013737,0.4300655958066021,0.5982092042497803,0.4540248253538606,0.5183037443122565,0.48540162544831,0.5372596752870935,0.4791475078230002,0.5014304383794868,0.0,0.5316671394257968,0.3846333037136779,0.4261880681977265,0.4510783818763875,0.36067654155607154,0.5706107564853005,0.5166942669698414,0.484030109761989,0.5661135149475208,0.3703249210175753,0.5256118988128258,0.5174716114186919,0.39531864545732454,0.590513054790823,0.6511214360878411,0.6193740637791587,0.4912940662906532,0.47102003510093404,0.43252772709328113,0.3676462404917292,0.5778136172824042,0.5811024942114585,0.5252459906780464,0.621815504829913,0.5743334607815518,0.45173335976098816,0.5405418210353832,0.5547254210340247,0.5357960607694898,0.6038289126439917,0.5599017529648325,0.5897242325870586,0.4680065089729375,0.6001415760445863,0.4653554449952566,0.501681151706246,0.48190775469702685,0.45249786519201096,0.5546429255498944,0.4953410349901778,0.5687809145369377,0.5908923364183927,0.344198126931468,0.4294821307139731,0.5430390058195168,0.5897656166160155,0.6639503894079515,0.4913920803394062
