,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.6794145141790123,0.4526561997008247,0.30923616668481047,0.725943964406637,0.5883816799103743,0.7019469269753675,0.5182716705413104,0.6147900971066418,0.5182958451223418,0.6700425407276273,0.4513367389573897,0.47494150362454257,0.23313974633893275,0.5347553537983684,0.6185189381826746,0.8706742842603417,0.5547762970589061,0.7824740981385124,0.5528656817662524,0.5657502872964382,0.5310663145492457,0.5083589771666819,0.6971510310359628,0.4674710118925298,0.6974549568391616,0.6735169321719034,0.667570864431211,0.7067460399420775,0.6024717450773387,0.5898662542065014,0.4650078421869529,0.5161519624975068,0.3395979927410183,0.800079836261536,0.5208245985272304,0.566052493877982,0.5712543880181846,0.7332123267540387,0.6112353632701918,0.738749822945203,0.6018876476736701,0.5307558457553792,0.5798662868055781,0.5626732309750048,0.6085727123163593,0.38969403965054805,0.5042887287109108,0.8922954550892316,0.4106653421019357,0.28375529176592074,0.4714151752701694,0.48319974342396543,0.3522952281542895,0.5201280014755565,0.7196480349316202,0.8468090883574229,0.6297132475021185
A35,0.6794145141790123,0.0,0.4163793597312081,0.6491200337694912,0.4088845182739588,0.48859393603361856,0.35121003314705,0.46558494557654917,0.5576816455018413,0.49858185250037346,0.32729715265766124,0.48072438819125884,0.5371755181062906,0.5310717759637613,0.4203073065563697,0.4943712997068036,0.5670131161402449,0.5596538621377969,0.43974222821870823,0.4739719089571973,0.6150898753571126,0.588614670914684,0.47734296328501924,0.5902340512904694,0.7003759364955029,0.46206477458638995,0.495082433817304,0.39223057924741167,0.404563216147134,0.3703280114431128,0.4344859831616267,0.5308509512743151,0.6135128292499089,0.5355039680103593,0.499456200465734,0.5841344121128568,0.5649830599454322,0.5634466262249935,0.6559542805070049,0.624930846407169,0.5757319049568088,0.6959752739316707,0.5371359646308632,0.5330386242804546,0.4680971324865849,0.433044006750506,0.5165552831162807,0.5217334055318539,0.4571736372733869,0.4566566541808825,0.5201563458368166,0.45123533218737877,0.4033669973495603,0.6153725297507557,0.5281049904002135,0.4180194706252649,0.4527151578173645,0.46849075152222974
A58,0.4526561997008247,0.4163793597312081,0.0,0.49503480906380914,0.4649088475738986,0.5189759133368888,0.4400741904210962,0.5699828927218479,0.4676308337145114,0.6546019759998605,0.5129162128699415,0.4724657558143207,0.4217635946282505,0.46020327431941843,0.41717249723397887,0.5631951412676263,0.7126200145345991,0.6295535697150497,0.4655933803203929,0.4853770454811914,0.6306628081116559,0.4580305682718109,0.4108513288328367,0.5772986952450088,0.5839050201504816,0.485606245969578,0.6701610718956695,0.4945847701352545,0.5922328385822321,0.5682830581624694,0.6350418314883712,0.5009417211421702,0.7201590724743527,0.5018134171687659,0.544246762108033,0.6241311021972393,0.5565471008513566,0.6592552034245036,0.6954241523150013,0.602644362881847,0.7440802461773314,0.5399476398717822,0.5588260123680131,0.530294900137549,0.45546699954611436,0.32402287263540563,0.41413299592981656,0.47593477641310944,0.7700165561203427,0.36714483105402884,0.44405973601422055,0.45223916990348334,0.44441303685501454,0.5095826718704032,0.3703686827966933,0.5096077311335303,0.501239045345188,0.4237613670091199
A63,0.30923616668481047,0.6491200337694912,0.49503480906380914,0.0,0.7053020436113091,0.5089947863793196,0.5776740103692966,0.3766125101070372,0.6512750506515834,0.44092254258962404,0.648147545283402,0.5345194260614983,0.37671828883708525,0.3206383585156267,0.38482937900829717,0.6325006245913738,0.8871968979848883,0.4999443555042361,0.6316422961342558,0.39121437150803484,0.7310747524732069,0.5611522006358811,0.4551635380097603,0.6467527600278453,0.5300452152480604,0.7811148842860554,0.5285614746535658,0.5557920111445562,0.7194262856650594,0.5369673087839077,0.5655825250538813,0.5981694955906337,0.5345407211254386,0.48756362743717796,0.8528405683919584,0.4567625699296739,0.4766501093944685,0.7181550225494719,0.817166262235974,0.693124077845776,0.7320077550194894,0.6235443339489406,0.5489386391891209,0.5978434452319119,0.5551635480651423,0.5956458133730704,0.3396339293062691,0.45163027251502663,0.8684327964444369,0.37475080255440607,0.30655148812039357,0.4616802374322222,0.37555396120647133,0.2829198363131694,0.40269023277236016,0.6460252355555164,0.9964016775055851,0.6482545993218588
A89,0.725943964406637,0.4088845182739588,0.4649088475738986,0.7053020436113091,0.0,0.7515276390806411,0.4382670997832827,0.6695890437405256,0.5416796458181645,0.6325709872877304,0.5330360633432926,0.34287595292821804,0.6119700770850844,0.5835662078404051,0.5823156007785133,0.5094163987683581,0.3965835256050946,0.5991716795702815,0.33433074147564734,0.3994993726022541,0.4282603086969422,0.41628746237176906,0.5327788081816642,0.3728653612502876,0.6058675194879859,0.24220738628332195,0.5518777515303404,0.3860361047782279,0.4241277483871402,0.41835108796912235,0.4676593962415686,0.4902678959246962,0.5117495068684682,0.5595805080490889,0.21446984758390963,0.5647907752587847,0.47668086837686086,0.40045885790619684,0.5086474604890878,0.5304646235008053,0.4633530794839329,0.5193656326981786,0.386004175344441,0.43061754567295496,0.6029703366712444,0.40648759846001103,0.6129342589508577,0.7287009792225924,0.37042584783776167,0.5797003601941779,0.6315540072710002,0.6422238374939795,0.6177427850250972,0.7966376307542561,0.7225590662555039,0.433174961857708,0.6299841996696115,0.5273421334461759
A94,0.5883816799103743,0.48859393603361856,0.5189759133368888,0.5089947863793196,0.7515276390806411,0.0,0.47510059236567004,0.2975663258777991,0.47365148320603445,0.4244877638692637,0.30407580855004057,0.6267357718753163,0.41879031463177496,0.5040348687715812,0.38026755800864287,0.6607763103367181,0.7719295084617069,0.5086232868578986,0.739953820248641,0.5231059875856193,0.8034842611051245,0.7112377724391437,0.3368319054460883,0.8074451003971256,0.861262445126877,0.7535625929031771,0.41875853970523347,0.5794242841273443,0.5235022326337522,0.36952630328673886,0.5635000882528063,0.6474691147973456,0.7012566954394468,0.6241788597286599,0.7096674723722288,0.5538894270798229,0.6915934950121958,0.8045773862394425,0.8018564482064334,0.726949688913866,0.8700946106878218,0.7598004578514562,0.589474530592006,0.8066441750762658,0.39464152652944817,0.5048276786785064,0.4531614088954702,0.3726420395913138,0.7001455217607894,0.4017626739238501,0.6233415447683233,0.42720831564493,0.32642339281857813,0.4309822941843173,0.4453725317600524,0.6509694060274833,0.5538994167195758,0.5232531751130206
A36,0.7019469269753675,0.35121003314705,0.4400741904210962,0.5776740103692966,0.4382670997832827,0.47510059236567004,0.0,0.39207496787832186,0.4441832763572493,0.5707297034848651,0.3186157626264896,0.5147184252088763,0.44793849105516437,0.5491369084285231,0.4997679121325973,0.6118726473543072,0.5691248999301588,0.5173260526564576,0.4464142819845931,0.3593092957101872,0.8007961731991927,0.5710106545424412,0.41674673428551845,0.4861510332512263,0.6365279507840034,0.45776813180921017,0.34776332987364333,0.3771283132937422,0.4458363302274698,0.4194306326066446,0.4929716873611347,0.5704519300580213,0.6866131209396504,0.6732505665324187,0.44989727753361464,0.5704660783481112,0.5347783672468356,0.7817988648587171,0.7984027091481102,0.548424378907815,0.6930007264129512,0.6260363500125297,0.4455011655265073,0.5907512709812837,0.41448660299479145,0.4009239822069075,0.5634002660902071,0.5541159711345879,0.4739241912865465,0.37419417105596764,0.5558162334635925,0.4693713904037875,0.31760047110987843,0.5566293425207931,0.3581768635646273,0.5260933146714251,0.5390355820537738,0.4499852195940717
A42,0.5182716705413104,0.46558494557654917,0.5699828927218479,0.3766125101070372,0.6695890437405256,0.2975663258777991,0.39207496787832186,0.0,0.6302473684346696,0.443508422046926,0.31411670397056535,0.5842550012435799,0.37345060685305853,0.41761442733410015,0.43175484532189956,0.6260750007314102,0.6706752900769923,0.3997529598466576,0.6064793779833869,0.47630227467514874,0.746314584469919,0.6268451633333401,0.44747247084185826,0.7167310919436103,0.6986575373263979,0.6876942703101256,0.33007242061759356,0.5016454780650904,0.5108220766403228,0.4447979175178526,0.38096024980568877,0.5308739938826075,0.6872796798275063,0.46076435272180993,0.7059100129106206,0.49101855437804365,0.5200030886002847,0.7890538175885667,0.8058895697407991,0.6221208398366662,0.7984897660645021,0.7305640177032653,0.5204229986232591,0.7304059894723656,0.48639461790492833,0.479909126407578,0.49882242641051444,0.4309340918119393,0.6295587532175779,0.3846974368931716,0.5170239196716392,0.47416929695159626,0.2778439529317629,0.4555168435272423,0.37768101749840766,0.5242404433760526,0.6823885170242516,0.5483179594980155
A47,0.6147900971066418,0.5576816455018413,0.4676308337145114,0.6512750506515834,0.5416796458181645,0.47365148320603445,0.4441832763572493,0.6302473684346696,0.0,0.5128675583292202,0.5609302711970082,0.48344033711024237,0.46329229022906626,0.672479869644234,0.5025350012992041,0.4539474916042002,0.5091040309048652,0.5189633932747492,0.5730862119090949,0.5223467115697416,0.5459961243400393,0.4957509292671758,0.4365316379972213,0.4104507245068134,0.6315965219801318,0.568546981766763,0.4940270172125185,0.5068445725225725,0.5144479703310186,0.39796278441639055,0.586083269584241,0.4756364075264432,0.6568906888378673,0.6229390474970193,0.5437489865234424,0.6544035257856573,0.4197839415366874,0.6174737692052452,0.7058122480955944,0.4883554219914126,0.5605857748340506,0.3877571473343101,0.44891316725002084,0.5430615293068888,0.3920523314397786,0.4915162614169445,0.5849124123435538,0.5716557377545808,0.5470075635396314,0.4542878494839051,0.7649598820084711,0.625880325485963,0.5609829571004894,0.6075182802657395,0.6712545068699645,0.5509504100815852,0.5890617224188825,0.4724224783162667
A59,0.5182958451223418,0.49858185250037346,0.6546019759998605,0.44092254258962404,0.6325709872877304,0.4244877638692637,0.5707297034848651,0.443508422046926,0.5128675583292202,0.0,0.5763521252445316,0.4240547273851535,0.4062924461491808,0.44337709878425047,0.35312596281991493,0.6091675759232653,0.6372431767617517,0.4395356936298369,0.6775483170023928,0.4096067972590445,0.5955570737791658,0.6186506914704499,0.3856780242332333,0.7034690004792773,0.7659015295564222,0.7020664142389752,0.44656928979872923,0.5296061696191103,0.4533764910863337,0.33760493752745147,0.602511791669544,0.5955330712214593,0.5117362909776335,0.584929898582662,0.6930236940509722,0.3572606813205118,0.5290749403877139,0.6030757951118881,0.6448389689124394,0.6551444113663571,0.6355748498088651,0.6401031603654901,0.5275680133007483,0.643818622364877,0.4832910202649816,0.5703113068567713,0.4856467819604007,0.4999919220572432,0.6324687462787533,0.4942009366390284,0.5185866572063433,0.6209020995349048,0.3385969072394004,0.42738012645911794,0.6262246585428307,0.6803402446237586,0.8337318543080556,0.5462096882703924
