,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.36964763541544043,0.33217324487767064,0.39276034205742205,0.4012996752448539,0.4929564986704217,0.46444522508024555,0.4112980567626455,0.45810275981687243,0.41256305940954363,0.4173406232028699,0.37336351540725654,0.45191010303084433,0.26069467193155127,0.46188771891018277,0.3837729467040828,0.5544173581138034,0.36454291175056763,0.4294211116709883,0.452990636203231,0.35484879981911144,0.3732011389291161,0.4173818312459845,0.44044414314157565,0.41513273953766927,0.5318923569158251,0.4858043329486682,0.4913924272250192,0.45502905304970986,0.4374830047733601,0.4476070105135084,0.372160347956642,0.33497075418782296,0.33498898469045235,0.4648009460686302,0.36762397067049524,0.4049630695255466,0.277126842589728,0.36574401806953527,0.3570641425873674,0.3923536363782951,0.5525380019523565,0.37468056359890956,0.48397483002415054,0.41227916392421027,0.446221187114334,0.4097486569914601,0.3678165087643348,0.451881274295472,0.38831358469179567,0.2598582142152768,0.31565928921216824,0.40881638760599626,0.38413322171758724,0.4270896038153197,0.45399020279996094,0.4003711964205321,0.39013688027228266
A35,0.36964763541544043,0.0,0.20296181444913175,0.4962215377477659,0.2645190918749526,0.2883725883106675,0.23510178163522666,0.3113574225597633,0.27513440234505415,0.25087622934779075,0.17265489754938956,0.2858354342085022,0.3405209443611531,0.46647414228283435,0.29629514369385856,0.2558889717218237,0.3304440735114911,0.35855388876416383,0.31110038913295557,0.31655475429220326,0.3927018730069102,0.37288239760297315,0.32509563903150485,0.2829388303626701,0.578428199059307,0.46002717951906114,0.2763956410244023,0.32196374166319286,0.2099051592476644,0.20063793128624818,0.40236892269596536,0.3689488041526101,0.39663514897873453,0.4025354897407811,0.2565255738719153,0.2611132420002904,0.3551293353962204,0.319092635525005,0.4090688186103054,0.43924395888284506,0.2901106051771455,0.4912610241133737,0.3471841411330824,0.35627504953722544,0.33617700921423876,0.3544564010196912,0.4093433557705497,0.2609969415150466,0.29616050517420445,0.269819223596123,0.32418151822773544,0.3174664844970453,0.2272521591369261,0.3697253875773322,0.30885712636179286,0.27048333411635994,0.30056330184378244,0.2836152552987218
A58,0.33217324487767064,0.20296181444913175,0.0,0.39924704520410215,0.2520445696338278,0.37857740588442257,0.28681945244978346,0.3118002932182058,0.3241193952112341,0.30140507718588405,0.2601998645679494,0.35297440589281714,0.24840189418764336,0.4697824251692623,0.21248441631970105,0.32094602400894634,0.45180856548530957,0.31593722949104164,0.3128192435887883,0.24958711565652358,0.38872711654335956,0.2850853183103458,0.3125209657512249,0.3113458468525152,0.6369733784140635,0.41541436605346016,0.27111316282940534,0.3287306722960648,0.3394260871828394,0.2914763146979171,0.5170507699294866,0.3418182642359352,0.46163605149730025,0.5282212396208243,0.2488873157134469,0.17842758254538404,0.279864373645079,0.3565574115640593,0.37263428684654754,0.34746683494332076,0.3186940759906217,0.5280590635758852,0.3570397359094992,0.30657650395699165,0.28913613439330577,0.39469316785926123,0.33032601645242265,0.2537311207253158,0.47664878281661427,0.19346777513858582,0.26977435131388416,0.3793246566759211,0.2134333666398157,0.3943461277606508,0.23588821361279566,0.28073387658007287,0.35516196885054274,0.2700395139899999
A63,0.39276034205742205,0.4962215377477659,0.39924704520410215,0.0,0.48703241424291954,0.5795753866475242,0.5096428859746143,0.30697819582970276,0.5707981488992186,0.4620753337464426,0.5405821794087151,0.5316205390860854,0.39962041184251984,0.5085182336168994,0.45805699037709213,0.3393262576667029,0.6092657254859009,0.4707686368566739,0.44154331893468657,0.4213219774624748,0.4692353191509355,0.3002032223698655,0.583045077861204,0.5020780667350504,0.5609924022259916,0.7847275025379865,0.36660321694039355,0.5457935456428618,0.526901360974819,0.45403262544597855,0.43931390620603417,0.49908220588975305,0.5259162709087004,0.44827587424985305,0.4865563040987638,0.4674339232867466,0.3639606689227953,0.49718452721371853,0.5367816834888837,0.5740065324913977,0.42100564969097487,0.6716761914429278,0.53530428651788,0.4840935314300687,0.5926012658376106,0.5989387873152345,0.37877466899185397,0.3387829972620163,0.5836789366913886,0.3579889758953376,0.298120707929853,0.4748746566260138,0.42355674698978685,0.3976836684815832,0.34610393751385293,0.36269562681333234,0.5531367477454923,0.5394754923476337
A89,0.4012996752448539,0.2645190918749526,0.2520445696338278,0.48703241424291954,0.0,0.3886891186906163,0.2353255905287691,0.35773633615803424,0.35608857401824734,0.30939265126529947,0.2616893178765023,0.2809298604983129,0.35780608223836696,0.504125850338708,0.309992364438454,0.3297623410521101,0.42648182344190677,0.334812330251376,0.2775911449355809,0.1756123573838213,0.41886274828691517,0.3423081317484332,0.2836786584223463,0.24621797632970077,0.5555136561408809,0.34749993337216745,0.31562843817611586,0.2429564646231478,0.34595397229005853,0.25757893160746603,0.5025963818040478,0.4207411412504666,0.35522234446443735,0.6084316012947812,0.15855828836323427,0.2431045528739182,0.34606316527724224,0.31554547340012484,0.44680888476532155,0.39803435158146516,0.3757919586050974,0.4659786119038356,0.32131230127785604,0.2705606853217578,0.3645322985617786,0.3200001022392204,0.3672506812270473,0.3155812799769314,0.3793278474894307,0.3241690953694015,0.38603788926562377,0.29032193964121855,0.21611391231815869,0.44307005665402266,0.30761468649820944,0.2799445859710905,0.42180090013061733,0.28534023216997406
A94,0.4929564986704217,0.2883725883106675,0.37857740588442257,0.5795753866475242,0.3886891186906163,0.0,0.2844804467029466,0.4072768278600666,0.28194972940474083,0.45759071648549376,0.2646870569753832,0.436866202616632,0.49872090456242535,0.6171285015847665,0.3957895622958827,0.40002308303482614,0.43574664538494656,0.3764467913905042,0.5084445952151814,0.4907895958345546,0.5542986045351489,0.43073167820693503,0.36933667494247013,0.3650367050993142,0.6453560439194754,0.5429834397594266,0.3695466806123082,0.5064413074001222,0.3404698434817298,0.2739388854539212,0.5045457386851093,0.3246164127290667,0.4205010407658588,0.45912540896260845,0.3397347067101507,0.3892495665894401,0.4490496004722382,0.32293458294430444,0.3726873829069338,0.46222216104824665,0.3640100215528248,0.5474842786148146,0.45779360984604245,0.5032214589953079,0.45696737271800136,0.502119226596199,0.4693256989118638,0.31198209893391693,0.3193755880122169,0.3963190238027312,0.4519494190719623,0.32021656855468583,0.42189368963355145,0.37148101804954525,0.46054862296065013,0.3215093278627382,0.276449697822145,0.3629600729715121
A36,0.46444522508024555,0.23510178163522666,0.28681945244978346,0.5096428859746143,0.2353255905287691,0.2844804467029466,0.0,0.27722682721937897,0.2457216793928122,0.37259749578105283,0.21700279079701768,0.2607576481733215,0.3961580542790244,0.554741471669334,0.2862452010568157,0.3327362723360917,0.31985184688407786,0.2560523455019137,0.26801869141598467,0.2950375465780243,0.44925839228075315,0.3664146934498764,0.3490729226916842,0.21137636494845535,0.49499606700416543,0.34757370066183746,0.2704654467849319,0.29592800051410206,0.32555197212919407,0.23545823266668509,0.39350338642131655,0.3353342302114265,0.3833423458276376,0.5597721800560547,0.2044723332728714,0.3665957919138467,0.3327689008411374,0.3501782604557224,0.4560027545192882,0.41436957799950147,0.30352458088253953,0.4332489394411244,0.33349743552605127,0.3349801273971518,0.3526554560501748,0.3105869729666627,0.4334819867601192,0.341270343108224,0.3243626084671102,0.3672627723764441,0.38728706357979403,0.3846683935622075,0.25845244266817824,0.43015412060685765,0.3191248144249458,0.23579587184388662,0.4110040098111476,0.29646629099876887
A42,0.4112980567626455,0.3113574225597633,0.3118002932182058,0.30697819582970276,0.35773633615803424,0.4072768278600666,0.27722682721937897,0.0,0.4092024611835259,0.34442289931072523,0.28237090210124816,0.3634847420213665,0.30505489381103357,0.4303091218484598,0.33789776379629943,0.3179212799252643,0.3586726591683249,0.3066158789211598,0.28764772368899016,0.33871348892782616,0.3999963193902547,0.3697284164795662,0.45407873049661107,0.3803772196850743,0.5179626982748944,0.5628082990273469,0.24626202408300024,0.3575607787159868,0.3735934202982045,0.37032425218682474,0.2698130573652774,0.42931650566470103,0.4295667162628942,0.45216120175408137,0.34194523124634113,0.34396763181971046,0.3486447612708511,0.43536841224256895,0.47713091218302595,0.4429046205979429,0.34218543857401806,0.4756684511147332,0.35372165804110123,0.491903608117643,0.42134013067876674,0.37088444071741367,0.4147592038395582,0.3596470428549958,0.4113765922770173,0.3749651725229036,0.3822016567338976,0.4096446854864215,0.29174838407697046,0.46092648003640657,0.32536231834032636,0.24990008846990386,0.4598089355213558,0.36571526143592326
A47,0.45810275981687243,0.27513440234505415,0.3241193952112341,0.5707981488992186,0.35608857401824734,0.28194972940474083,0.2457216793928122,0.4092024611835259,0.0,0.3441736752016159,0.32828430526701746,0.35420914878214216,0.45641500588740624,0.6059768444929272,0.37825261061889526,0.33534847182850536,0.37368328368284587,0.31625796448707166,0.4354687121410641,0.3959366479493053,0.4460292134524533,0.4456005601340163,0.26003568081326955,0.2546593013031806,0.5975941625286909,0.48086248247876284,0.3445918953262984,0.35474972774221303,0.33989726841501056,0.25854227753871484,0.46565583502609276,0.3706786135086735,0.45690118832612636,0.5319945997975906,0.34132174275988425,0.3393319698402947,0.34921809937422155,0.3640934730010439,0.46864844065522415,0.3587350477276221,0.21267390207061732,0.35969339125923483,0.4194410158130114,0.4130993593574174,0.2914177432655891,0.43058601265027296,0.40677790038475903,0.3523554809533267,0.3347176772855195,0.3634296925825048,0.4677834345429497,0.3670260395794024,0.3702565450515143,0.3795634132296837,0.42726881811798934,0.2961655181885682,0.2969206373767802,0.32542818237955917
A59,0.41256305940954363,0.25087622934779075,0.30140507718588405,0.4620753337464426,0.30939265126529947,0.45759071648549376,0.37259749578105283,0.34442289931072523,0.3441736752016159,0.0,0.325743429461844,0.21671665820446373,0.2501116504301949,0.3641506953515278,0.3025258149899993,0.38720573362077615,0.31930236580126226,0.31826888331587555,0.36589681277778896,0.2528746410354381,0.3457560799157482,0.3459399236377544,0.31349961351638156,0.38527286580564757,0.5881971295426603,0.46716289833691627,0.31588367566208775,0.2810199729866284,0.3117575646786588,0.2790204486232838,0.5237530623184261,0.44934575008689637,0.4426831897248611,0.5455571415814182,0.34636920409284155,0.20277950890539642,0.3931450312273438,0.31532418752503943,0.3527424921174379,0.3753324668954684,0.41139929159069955,0.3964365905618552,0.3566715280838725,0.3781571576451376,0.34864728836555336,0.40598985870932924,0.3294835946417285,0.32683348223662223,0.42676258146345736,0.34771334429480283,0.4033341660628661,0.4770377570164187,0.22470604109795644,0.3644341520027744,0.3218767845640792,0.41433922751858665,0.47547377314765604,0.27989821750052823
