,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.6226041467631218,0.35290994040038204,0.24286870833253493,0.40809542240773056,0.6074354248618412,0.52658741299979,0.5126948670506318,0.5838379761556308,0.3914175427531691,0.6492144384681273,0.5134318686631254,0.41602457112673186,0.24395644345646295,0.5308319586180577,0.44140160543364426,0.6308597253398998,0.44700232910088256,0.53414817157204,0.4798073363063877,0.48884303375909033,0.46227509898522945,0.4517866371353658,0.41453305049821976,0.3600315203094909,0.4790512842750051,0.4654840717578046,0.4687071254690476,0.6146309368103735,0.43787266509176637,0.44929188769839623,0.3442052638350005,0.3852043240196408,0.28566046677883816,0.5286432518986878,0.3485091173955891,0.41979781712241393,0.45834060583238745,0.4794647006889582,0.44097247851128585,0.5554177103875446,0.5641501114476175,0.5869563543646742,0.5073100751837174,0.6091690011680668,0.44649077434157713,0.4599286317265302,0.4629637338516822,0.6948444298964774,0.3145164579527535,0.260420720676529,0.34959518021492064,0.37530209210337506,0.4194801009539477,0.4360117798330859,0.5736937727459621,0.5725342755696405,0.457505968409734
A35,0.6226041467631218,0.0,0.3565218021019676,0.7175508032116324,0.4150017506687883,0.35682490946679335,0.2769682737491509,0.32611265471767503,0.33747748760731877,0.43951875859618006,0.25379189395527546,0.37041130287495794,0.40016353606463784,0.5058570943714342,0.31394637722913643,0.5144008906040135,0.4552961864146857,0.4505120996308517,0.39678307317258776,0.544451021940564,0.6532450589594647,0.5477552997884656,0.4230218726364039,0.5194829535570191,0.7152843228708985,0.5516832191149339,0.5208152716734158,0.4479216062685296,0.4159219464773115,0.43990139269952766,0.44417908530490724,0.5468706259533853,0.6929675876681055,0.5745798947194735,0.45973337491736177,0.4938780146811217,0.5304219603816287,0.4343117507892905,0.5897439157463744,0.45844845375634447,0.5214949532736068,0.7086484848735637,0.5430347768766903,0.5103927268344974,0.3067062383293041,0.3751478263457064,0.4544583526290895,0.45709052409597095,0.29546444170252373,0.37175356396381964,0.55684700688549,0.30080757484438225,0.33288272440748734,0.40619675108931597,0.35222793111738415,0.28089700604202095,0.23144994682798525,0.36888934700263754
A58,0.35290994040038204,0.3565218021019676,0.0,0.4095100974432365,0.2944334662405709,0.6038894598511224,0.40762164909859844,0.49776536749288525,0.5211791778970525,0.49452302808557214,0.5694752653032549,0.5077651439198732,0.32478714038865975,0.2684603302458004,0.3995886870606489,0.4835823877626404,0.4037624851762531,0.340117274401289,0.29493653656737884,0.5491721661791138,0.4500364375380328,0.32875545517259985,0.3642948532536392,0.3711702906914345,0.5404407044443985,0.3685489291240335,0.4803110758878535,0.26163733701320513,0.44422987130879976,0.45059113645180493,0.4008106699508581,0.3658446919015862,0.5590020046729571,0.31195500218789163,0.34943248696602847,0.3625088543867959,0.3470787572193985,0.45353353730059753,0.4591286050091349,0.4406980903339225,0.5930552857054744,0.49881355131496574,0.5004765925294192,0.4085684398950695,0.4737402487643937,0.3073114524105882,0.5519769418875935,0.25810562012674365,0.5522598209002273,0.23675530434148473,0.2935366851261735,0.3282553438057382,0.29289521939093566,0.5358733938175626,0.2606526900409699,0.4071493246077119,0.28104010849375805,0.25490220160054466
A63,0.24286870833253493,0.7175508032116324,0.4095100974432365,0.0,0.45953779379781023,0.6532089889079479,0.5203558233161693,0.5106590555906604,0.6884726606504596,0.4033944104436127,0.7190259599259987,0.5448038660550343,0.3974680525946297,0.3206449808610149,0.4919899038015273,0.47334555988285754,0.6707206354768247,0.5105283609430317,0.48602673736719804,0.41959829406027216,0.5361936739058522,0.4165529534140343,0.5190280025796866,0.4828661876183754,0.3940860338050898,0.5380160343065188,0.3725473796642741,0.3615850963667636,0.6369783690688195,0.4284322465888968,0.4003974680912207,0.4279328851089994,0.4141358058317235,0.35098660996293174,0.6332227829099503,0.3900493890454436,0.35796714941488095,0.5464737611300552,0.5158318823679366,0.5444849821694397,0.5382049866789882,0.5117396081138049,0.6089970139616679,0.48862310605417325,0.6848451898814745,0.5413319605612062,0.4656113304455042,0.4139613245536411,0.7536179439017601,0.3436885216059046,0.2708720500580849,0.4165257324114916,0.3522727475051789,0.49997452049053304,0.39048314855370025,0.5290128403794068,0.6912002176230713,0.5064608482705631
A89,0.40809542240773056,0.4150017506687883,0.2944334662405709,0.45953779379781023,0.0,0.590696885898499,0.3648986998157454,0.5410246187997338,0.5132434151417555,0.4579629016603761,0.5175301440652713,0.42597279889258244,0.4373438690039618,0.424565715349956,0.41233981792151786,0.45016597133019787,0.4308117082485676,0.48552291571928574,0.3070732291164161,0.3551120160717214,0.4600096448677782,0.37360481925182176,0.3788115772205962,0.35429579764305486,0.49161651541915474,0.2780009812750678,0.4579048889715468,0.293282454826175,0.4377399123752419,0.39444521847948777,0.4209536175756854,0.4087333933671172,0.4924394954888409,0.4529769932983778,0.22408464807310247,0.4008380841681617,0.419377727602927,0.4193669391544742,0.5014138729613444,0.4575470474695239,0.5203100184900591,0.5260181603756574,0.39545384971005026,0.3583220729294705,0.5017568415063662,0.30655956537063056,0.4848455890860719,0.4570007931475467,0.4272807323978578,0.28762085182128394,0.42462521866578273,0.366455425889179,0.3758610009675296,0.578386713135399,0.4120370774686898,0.3804534212060924,0.408156717323243,0.3440914932838237
A94,0.6074354248618412,0.35682490946679335,0.6038894598511224,0.6532089889079479,0.590696885898499,0.0,0.281944707390021,0.24789106569002073,0.2910066152314337,0.3854573134509274,0.19866784005213078,0.40496620558734275,0.439727451745737,0.6324099629586908,0.4327713047915508,0.6592063313210785,0.7061108774019653,0.6057525502097305,0.669379138117719,0.5602206024908452,0.8370878810155882,0.7320431582587948,0.49294322452475725,0.6577312707869446,0.8105639324344883,0.7029813246074712,0.3993879257995834,0.6260335054695001,0.5242807425275775,0.3816282985533602,0.5377709824573956,0.6484467931311853,0.6873442956905012,0.6970845005787034,0.6403932103603369,0.5503408806208621,0.708665423477938,0.5954945924803978,0.6359617904317822,0.5281087641576224,0.5627837217333056,0.8142338921220437,0.6874452930888559,0.7191926512990804,0.3636987045004809,0.580602392810122,0.36502947735332325,0.6326534842682154,0.46747248337430714,0.4745848235459259,0.6866606200534605,0.3649595779414946,0.4334928086827803,0.33494289395900967,0.5149778127027649,0.4596588779273948,0.45819187493890634,0.5990830975536148
A36,0.52658741299979,0.2769682737491509,0.40762164909859844,0.5203558233161693,0.3648986998157454,0.281944707390021,0.0,0.24559041011468707,0.30150990600318783,0.4175478832700592,0.21637086363837987,0.31249939102907087,0.37833930357805956,0.5154181560812732,0.3760764516033004,0.5559565098013189,0.5510736040048282,0.44674019989775815,0.4370065038569968,0.4364465828961269,0.7476415612642426,0.5035838100105173,0.4574923020230929,0.4699945394735844,0.6114661926122027,0.4442390947539929,0.3252648793918772,0.39293972414473055,0.4233164349093077,0.33787591648594717,0.38228377945132597,0.4819162621194488,0.5996764121783076,0.5701725299919007,0.4304518710837546,0.46858784728502634,0.4923946041007232,0.5464434595565952,0.5994181510788852,0.40122022451598416,0.5291324075303548,0.6592535065683767,0.527880326998728,0.5120483721358187,0.38219942845278176,0.4498282868028488,0.39655638290624196,0.5435952733326177,0.35491846679045,0.32559599055738064,0.4818015550981549,0.30324985207790567,0.2854944848672757,0.37779370202462703,0.32228305673260516,0.3429800041791927,0.36771433309874857,0.38845018584093116
A42,0.5126948670506318,0.32611265471767503,0.49776536749288525,0.5106590555906604,0.5410246187997338,0.24789106569002073,0.24559041011468707,0.0,0.43174273684438513,0.3428549768554656,0.27553286230125085,0.4072362093175733,0.3142299647854012,0.49390491658438873,0.40968183467711505,0.6619642003023736,0.599048884831586,0.41379714867176653,0.5590067422088948,0.5311404423563637,0.7743900323146069,0.6201712105090469,0.5525153203017423,0.637577433548228,0.6770900321387487,0.7103948320132116,0.352530629281409,0.515316140756254,0.5388998314830898,0.4439144464801782,0.37846503240102514,0.5469917344932074,0.6728120434566538,0.5377930003960424,0.6401879951777749,0.4472267706283264,0.5777452393183604,0.5514304302408144,0.5731922106562958,0.44836106494794603,0.6249489215214876,0.7487297377570191,0.6892842551137365,0.6752607447625345,0.4652046623327405,0.5153146535959728,0.39949465569416553,0.5070883099842811,0.476792453483896,0.4068161751672379,0.5294106039344619,0.3065389892808651,0.2816572290481446,0.27483148435620974,0.3571645676628984,0.35061282564917795,0.4294669182630565,0.462212527105867
A47,0.5838379761556308,0.33747748760731877,0.5211791778970525,0.6884726606504596,0.5132434151417555,0.2910066152314337,0.30150990600318783,0.43174273684438513,0.0,0.4562751257169928,0.3676861227763919,0.3553060758371617,0.459385994094647,0.6264657353790402,0.4361412831499365,0.500695488085146,0.5640213120790329,0.5940213885480821,0.5938648046206476,0.5266447151245458,0.6320123806758565,0.555262694901888,0.417227719272969,0.4381637914165517,0.6671350696649367,0.566643006752471,0.4657475010311596,0.5539636801794744,0.43944022374911795,0.34042906782747173,0.48777918186733027,0.572503533372202,0.6348397980895772,0.5996110471588894,0.553109111543468,0.6042030987210849,0.5384260277359907,0.48487584365226666,0.6339484297661248,0.43291857306579395,0.39879224849003014,0.5652711856782313,0.5470760563966233,0.5542276031446762,0.3113055045392443,0.5095148983456063,0.5205428629759918,0.6034918676482246,0.39200571838364306,0.4459796490243235,0.7004015231370504,0.4688367810787524,0.48168848591673397,0.4840882023019737,0.5300147215273019,0.45181075236281176,0.43496969413310516,0.48536157980078487
A59,0.3914175427531691,0.43951875859618006,0.49452302808557214,0.4033944104436127,0.4579629016603761,0.3854573134509274,0.4175478832700592,0.3428549768554656,0.4562751257169928,0.0,0.5066058329439243,0.42724641240678396,0.33693008824916204,0.4462982978996086,0.3517603866101764,0.5835453464773462,0.5422910471314109,0.4526126599266055,0.5825647424168279,0.4435826983457708,0.6432759765982456,0.5841396300712114,0.45687307299644486,0.6119396693069845,0.6325449720331143,0.7008540050974671,0.420926828438971,0.48517870398108065,0.49557659096175344,0.3749619339489354,0.547336828060033,0.5707374528732978,0.580557212827513,0.5528193232429354,0.651386421708127,0.35698090022206497,0.555926967047655,0.5081729519944896,0.45129987594519483,0.5317318950043352,0.5762297418067095,0.7220715989399111,0.6519292017248953,0.6223587770213821,0.523842058889741,0.5035801277937632,0.3819961290858208,0.47557130314860596,0.5905787527155322,0.4042458502022179,0.4895514712747584,0.39802816451601586,0.28015548911963795,0.3272343773874532,0.4676447675457275,0.4868153748562153,0.5125314466463835,0.4976225736381641
