,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.5258282121338296,0.3858685304961892,0.38413345580767866,0.9980751490366184,0.6302330568405463,0.5132558562597163,0.517685601614333,0.49013134905365685,0.5093805222798309,0.5047594879451616,0.3802959413966567,0.4625156046797966,0.26206601861896694,0.5526019273643742,0.45894264569353094,0.5768847003662383,0.4884375612512837,0.523692802526486,0.4858047283396135,0.42168696338263123,0.48597249455829317,0.47280564268558456,0.47445559088122913,0.42901436729727305,0.49820483159931916,0.5130733347968846,0.4814852076555892,0.545260140246407,0.9991693916506111,0.44639051158800147,0.4256509034674192,0.4340355086426594,0.38565802675260563,0.518731312018402,0.5679219693173039,0.4662516007793992,0.44303844498807887,0.5647986844763178,0.4716303581117153,0.5396555836533922,0.5468565530893087,0.43388732473955405,0.5035855350548226,0.4843426005869015,1.0039603968663329,0.4449702982977478,0.47993460890155115,0.5640294896951705,0.37345141556035855,0.3342865348781121,0.41524739444591163,0.41854781936372243,0.40675111277807185,0.4622997340231584,0.5626120789243994,0.4823107580734094,0.42471802180113283
A35,0.5258282121338296,0.0,0.3257778347162287,0.5686973772043589,0.9996000422736462,0.47228112060117866,0.35167863010261036,0.46387122524489344,0.3852970813782999,0.4168378259440363,0.3270456482340598,0.35127524666605014,0.4974975523455313,0.47770522951045635,0.3451529280778881,0.3756680020832328,0.43180871046668845,0.5304543191761144,0.3540088757157269,0.417178829213095,0.4323843498663692,0.46520055248296055,0.37107519839743786,0.4095802910120421,0.5867147892961357,0.36924795346676875,0.46734757591239795,0.3742043060630055,0.32847783724408286,1.0000305789418,0.41301335090635094,0.4869506338317603,0.48459673545036186,0.4662874510565499,0.35225590067824286,0.5105969941449958,0.44439439145568016,0.43503290585294796,0.5692386905943768,0.4936606654257305,0.3774639070900845,0.5482726196071934,0.3972158221015438,0.3972900105464955,0.35441506878048223,0.9982162164599551,0.4785908924869804,0.43278432085626073,0.3454549817756174,0.3488538604783463,0.5123218333902207,0.36959516463967923,0.3814025314487548,0.5113211694878737,0.4302044881289856,0.37100688789918734,0.3374151932937205,0.37576536763963053
A58,0.3858685304961892,0.3257778347162287,0.0,0.4673188798013348,0.9955104380193796,0.49442831294193124,0.35903222136160784,0.4637941747200368,0.4006815099582286,0.5177764458030385,0.4506823972305558,0.38391224781216093,0.3976243574625964,0.3938306285838048,0.3621138386504985,0.4773435201766081,0.4950134189412323,0.5270032202061325,0.34123463062613013,0.48166249473394684,0.4504971052569272,0.40515432539623253,0.4070281004238021,0.45446220676374804,0.5680972656031722,0.3340784846125042,0.4918919243588371,0.3921445521260142,0.4202042516789639,1.0017087911686506,0.4652126971104297,0.42401347451415283,0.5400701073444641,0.44941086708157796,0.36252083312825223,0.565295217578837,0.44753514086598833,0.46663773505990835,0.4809561803437684,0.4867973621321189,0.44376786355544917,0.5379801479560316,0.4556726079527825,0.46947527429043723,0.409607807436167,1.001165098069882,0.41076336697141524,0.38797126606159327,0.5469434858448287,0.3392179503973619,0.42300638256804,0.43721711260690577,0.38877130016648453,0.4963486486125729,0.35545097844626206,0.44031672951231815,0.3692124569274148,0.36609580838848155
A63,0.38413345580767866,0.5686973772043589,0.4673188798013348,0.0,0.9995684121047063,0.6479542722012461,0.4424161796213695,0.40269151672428016,0.5566966986164499,0.4751661671909384,0.5805428006122084,0.4211678066035275,0.3998747128261665,0.3789467569471462,0.3987928398751386,0.47803435132266625,0.5906044953200238,0.4665682481901079,0.3935163345537376,0.4106369217279795,0.514873384689575,0.4195198969980176,0.4940171161716618,0.4696516092464611,0.43801423634779524,0.5548321101765434,0.40518651890075974,0.40630159850794134,0.5702459250119251,0.9992915548997252,0.42173475073722644,0.47789162241192706,0.43410891404881147,0.47711523261366373,0.5633298242565599,0.5466331721801458,0.37098639629960894,0.5124142001631364,0.5446155211130498,0.5210031321953607,0.4981479806008786,0.5377994670567058,0.4664900319249893,0.4786633209558413,0.5092885853786442,1.0021589110979099,0.41384995787191714,0.4528916319689176,0.5670304084789562,0.4041126448453769,0.38539337696513687,0.4606293836619393,0.3655939205910296,0.3857462688440172,0.35353992225413566,0.4336974784505806,0.637770129933168,0.4643784231730501
A89,0.9980751490366184,0.9996000422736462,0.9955104380193796,0.9995684121047063,0.0,1.0009808050742992,0.9982860197721198,0.9959536786069442,1.0002655874780275,0.9993412049923602,0.9991931887076643,0.999455008069665,0.9989614123251568,0.9983310025948177,0.9993517311133209,1.0013173647794007,0.9986225247191853,0.9981415457763322,1.0008709971424956,1.001347052641412,1.0028719267759456,0.9998088574933462,1.0003163052030792,0.9987319844472696,0.998694211747381,0.9988387000553374,1.000024684092827,1.0019603029011528,1.0007430056076274,1.000015382028409,1.001526552409486,0.9996236415505708,1.0021206710816832,0.9982335352844974,1.0001037527285972,0.9988324219415259,1.002053789092847,1.000958953308293,0.9967222874071304,1.0005036879589106,0.9993083606801093,1.000084794492774,0.9992679123183369,1.0010192132541953,1.0015071823738666,1.0000153820284088,0.9991008912918663,1.0014252386668299,1.0041424216563402,1.0010727456854533,0.9980959152187034,1.0017621051404324,0.9999968346626309,0.997662438519208,0.9969894822588712,1.0000590961782228,0.9990377017212466,0.9999124383343662
A94,0.6302330568405463,0.47228112060117866,0.49442831294193124,0.6479542722012461,1.0009808050742992,0.0,0.39325782359022143,0.38941639682933993,0.3479855211062456,0.5145195316405722,0.27201848909974014,0.48488377142895267,0.5124901261628305,0.5353582179316169,0.48350973297756883,0.6060553320027762,0.5516007418914886,0.5629075700974276,0.567141192128604,0.4965502107519436,0.582605750783941,0.5215996159022638,0.411494115820191,0.5134985359987114,0.728348247035101,0.5109990475239573,0.36585420030200266,0.49926835488157895,0.4211895817920067,0.9991707275428466,0.4724044957869763,0.4789594190883777,0.5675701341296514,0.588758601995311,0.45584937986683727,0.6523064976888875,0.6369189671440665,0.5750314373256337,0.5540106664232597,0.5728433777862818,0.5772573667980273,0.6131234022364065,0.485729764231142,0.6033627348467783,0.3988922358575885,0.9990249666122214,0.4795472492877514,0.5016890170311015,0.480195879666345,0.41022563982077764,0.7076995270629093,0.4579165046664888,0.44510158545099965,0.5201178175908469,0.5268615502453278,0.5902573780006342,0.4116100134610756,0.4675874222143962
A36,0.5132558562597163,0.35167863010261036,0.35903222136160784,0.4424161796213695,0.9982860197721198,0.39325782359022143,0.0,0.30700028697209913,0.3284148952842951,0.5091967378548259,0.3222414120198084,0.3474632642512152,0.4497363473749192,0.44413897590570317,0.4183870314927861,0.5157791668080478,0.4748990259545234,0.41656154451727345,0.38557148746930314,0.39352456270214387,0.5585533442854591,0.4078081456579097,0.386799530445032,0.3455794927430975,0.5504247331622494,0.31505094456564553,0.3241291105825469,0.3520962006557895,0.4189161168213785,1.0008798830075931,0.4001858891705158,0.39327021096291315,0.48460355241251185,0.5002165682179238,0.3242114887237255,0.539913148287934,0.4020947318619261,0.5415069219834199,0.5998183850386206,0.43512978616122666,0.45584284217865356,0.5035242461253832,0.364474265355862,0.42928741007474736,0.3821910805056239,0.9969389175186452,0.47352024397329096,0.5092642488438899,0.39077146252088424,0.3325716554875847,0.48397599235373956,0.43166177906802317,0.30493689160837756,0.45806842886209886,0.32997814887238275,0.45022360278511,0.47133149914802674,0.382030524538301
A42,0.517685601614333,0.46387122524489344,0.4637941747200368,0.40269151672428016,0.9959536786069442,0.38941639682933993,0.30700028697209913,0.0,0.501687587474094,0.5185578651070784,0.3259301688660483,0.43350359459776333,0.42241701706620993,0.4524542208014689,0.46424166495950314,0.5400821195637594,0.48308440732172575,0.4062640336770317,0.43476011087221567,0.46045346087787353,0.5272040434954613,0.4427949383075641,0.5295263207169121,0.47531904176492834,0.5996914957637994,0.5003469753042034,0.3344095138554507,0.4458891692295188,0.4471603519587857,1.00021272276681,0.33209994669999,0.42673892208013486,0.5736122542475626,0.4080260005344165,0.45735078209964963,0.5887189555062984,0.4769652405989796,0.5840919416964554,0.5853743949889261,0.5000430136341301,0.565779423611345,0.5440569052664369,0.44291924145176176,0.5663054781266097,0.48484308732110515,0.9996663295912024,0.49109009054450303,0.4790707629076697,0.4444251969972296,0.3913074455380662,0.5653155572483788,0.49120635505482957,0.34449097949224816,0.5087384647473638,0.38289875517389493,0.43867748543474006,0.5506318635112347,0.39013773307902944
A47,0.49013134905365685,0.3852970813782999,0.4006815099582286,0.5566966986164499,1.0002655874780275,0.3479855211062456,0.3284148952842951,0.501687587474094,0.0,0.44789870190318415,0.45388606057932335,0.40014467873641923,0.46911979545133775,0.494385423580892,0.4589864707051545,0.420481141420167,0.45649533677324794,0.46745735983634096,0.5057350807797654,0.47258058705836925,0.47029245691227706,0.45675113944668033,0.3696327960147573,0.302330356320893,0.5975334395637313,0.46829890736337343,0.41163844842165254,0.44116542204437503,0.40846758803602723,0.9985206910525914,0.45930492139325574,0.4185844668324956,0.5450626598881204,0.5134603814553684,0.4296829302906069,0.6174171967756119,0.43257359531488726,0.47752905143322866,0.6056349276839673,0.43325203639054133,0.3242718559723503,0.4245049957256841,0.4245212702378033,0.4749110828838383,0.34635989981071014,1.0020089421235712,0.4949827132149255,0.48399408467520066,0.4261614156222657,0.3408386545313782,0.6456552501628942,0.4647479037667258,0.4351848831270083,0.48632964354912844,0.4723830858181318,0.4905306218146591,0.4056115107491265,0.40784037505450166
A59,0.5093805222798309,0.4168378259440363,0.5177764458030385,0.4751661671909384,0.9993412049923602,0.5145195316405722,0.5091967378548259,0.5185578651070784,0.44789870190318415,0.0,0.5227009108184613,0.3551998245681367,0.4171709882069158,0.4367137876055103,0.38565940995406023,0.5175257759441398,0.44775354873704165,0.5085572341046425,0.5070048395350961,0.37138900796685503,0.4538457223306518,0.4950333330575728,0.40219225893951116,0.5440197456952074,0.6235394031997582,0.5698349149628057,0.44493368278670675,0.42520205489822116,0.3864070353210035,0.9986188953500642,0.5298371613083859,0.565349634354331,0.4922030613676631,0.5991125941043371,0.5232942339606009,0.49130185147234195,0.4979182170022809,0.5059998659906364,0.47510072674246984,0.5597962606668307,0.5033477796216208,0.557901845922962,0.4596639181216665,0.5222744974510826,0.4689284868640434,1.0025512786153026,0.45601960690722787,0.47581075559971064,0.5079603009955662,0.4364226082238526,0.5885328379312438,0.5702441131542196,0.30345157206302253,0.4198372793546654,0.5116779450091219,0.5392745601630986,0.527994182338299,0.4353613092460201
