,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.4083151799268142,0.4133543262550209,0.4530382709721894,0.42910070026771197,0.6176329891121477,0.48696109487077166,0.48919533167277207,0.4994213220714808,0.562439225695182,0.5170221701349192,0.43260886977914803,0.5076369752672754,0.2997874773870407,0.5488463056259495,0.5029797737713588,0.5572046680023208,0.4613460722843403,0.5204195035354326,0.49604974550292924,0.32435817518946886,0.47026068654210207,0.47289280240144604,0.5389404152225821,0.40185774671013386,0.5261212704704796,0.578320658783033,0.5067407944957278,0.5468580468772009,0.5323112552751179,0.4463486000243947,0.3750919413892261,0.4099016175753768,0.33789002778672717,0.4941855854644377,0.5213617800268637,0.44434610887849846,0.3722761586114265,0.502601161238313,0.43649738832698814,0.5128153639872894,0.5092261005615333,0.44165930749149795,0.5438913439507187,0.4218675710941082,0.4424150280422505,0.4366375018464508,0.43878953373741136,0.46197422919957276,0.39782044394635097,0.30414314520647845,0.37494239446801725,0.4880459790435756,0.39410690701339723,0.4690430229503517,0.5144348037606163,0.4525882472680237,0.4580994318226336
A35,0.4083151799268142,0.0,0.28095679157062214,0.5455437420675426,0.2864933019703244,0.3312941934930498,0.24281282443072494,0.3550016015280062,0.3401704501408873,0.35016285501430844,0.24379274189314315,0.3409348143532386,0.441751379198425,0.42917228221410364,0.30882320476252223,0.30854073567988205,0.3280223287435503,0.4067501696393072,0.32395548946402664,0.31949792361928553,0.4019395999247951,0.45787856432109975,0.3412410289724188,0.3337558498685367,0.4622549195054495,0.4182931963818939,0.34227329233518433,0.3347553869045068,0.24747610843832202,0.24485937439146455,0.36356575339824726,0.3801072993873038,0.3716763692755445,0.4140735549300557,0.3039094974762032,0.3951937904460937,0.38045502562032507,0.36872447116192153,0.44960090563056065,0.46939280229197244,0.34655875574514805,0.43430421868738667,0.3858625996053048,0.4023606405321807,0.3103499468994473,0.29082835767019954,0.4522276891072431,0.30284176449118494,0.3026709058415271,0.3242150073927853,0.435123093886836,0.31047242254989027,0.3024459065456604,0.4231727635336099,0.34420428026804073,0.33137420158832587,0.3449595039227503,0.27682537801635665
A58,0.4133543262550209,0.28095679157062214,0.0,0.44503522880531565,0.26485294924937464,0.39502366820577506,0.2995376101864009,0.40574424236287665,0.3712418946559376,0.41574922380467516,0.3331778317251485,0.39288740202532546,0.29841480409487064,0.4537599579288586,0.22442331177662633,0.3718396929303289,0.4182027842337691,0.40683291778615327,0.3433660716414788,0.3228007528126423,0.38399118324675885,0.39968601042634777,0.3409395900589103,0.37185199672414837,0.5765151231700334,0.4461676008428679,0.3671153452107109,0.39239074914397243,0.34997644823930274,0.3294699340871795,0.5170398680780316,0.41599647235603976,0.4818658315114832,0.43327567470399064,0.24660630373078685,0.3182878373472411,0.36048370953016917,0.3673189373730844,0.4011918283645022,0.43865252668391486,0.36252244440923587,0.5058874762647256,0.4644445171346785,0.43396363071720623,0.3255055204595555,0.3133459015701173,0.3777225696191656,0.3273580916472061,0.4867387854818739,0.313802062123535,0.315089542658494,0.42290577688422326,0.29994134625723334,0.4630096721252166,0.25599045102296314,0.3103464794920885,0.4069330472399554,0.321917905313471
A63,0.4530382709721894,0.5455437420675426,0.44503522880531565,0.0,0.49273088118836916,0.6008598443424013,0.49252146953178,0.40695509435444943,0.6032045385733408,0.5908365600564632,0.5769781696479922,0.5917018713580183,0.4563079029256344,0.5552955871484817,0.478478681131016,0.4666669963861899,0.6229839575464202,0.5246539801043166,0.4375136126003917,0.4718580798352936,0.48217487228705924,0.35351819563039777,0.5523506867747053,0.5508988334123772,0.5099642189878929,0.7343001996927385,0.4818174808197271,0.5263179154004183,0.6116941659812598,0.507814524106136,0.46312339417691417,0.47123794830008914,0.531655576828288,0.43697529106893807,0.4943223159933461,0.5293680845453506,0.4023866416101526,0.4903642853844521,0.5134039691175631,0.5511173156266475,0.5034241681647652,0.6323165514226408,0.5739100960895394,0.5316951257523983,0.5458762930671526,0.5208815062320402,0.4264299881433865,0.40380732325288426,0.5770892535001662,0.439702715540477,0.3584544554682838,0.4848651792723637,0.46680559188707105,0.38307716022120397,0.4025035046415265,0.37518765686843836,0.5812503165080137,0.5404425517359758
A89,0.42910070026771197,0.2864933019703244,0.26485294924937464,0.49273088118836916,0.0,0.3794505408261566,0.23451740204937932,0.34648683800499236,0.3711078428316513,0.3083426551639006,0.31596396546572036,0.2634646851010758,0.2959831551241108,0.3613811629449696,0.26742885407274486,0.3413845048279778,0.31493980494523965,0.37445481500060573,0.2674688697604152,0.1695038066712451,0.40292257152348687,0.46626561496234875,0.33093786338866205,0.28931941146378826,0.5165435772450007,0.32955088209531236,0.31526693091976454,0.24871880236294508,0.3557255002386517,0.29065788418279614,0.48632654715563195,0.3968722340831894,0.36252678048866804,0.4754465781825712,0.1825740761442176,0.264330527054776,0.34431887933032845,0.309104801713212,0.4070448512799033,0.4589864132071507,0.36180367676031655,0.4204081532380083,0.3762608844375953,0.30736586820617495,0.35572892379652565,0.24610260791516658,0.3368675893408458,0.34135685739293153,0.37138326148495704,0.28867305087457906,0.4110708150727943,0.3314937457187507,0.2414337588594878,0.44504472444466037,0.2463306007163224,0.2657896903124761,0.4702986865594362,0.28679978872245737
A94,0.6176329891121477,0.3312941934930498,0.39502366820577506,0.6008598443424013,0.3794505408261566,0.0,0.3000965830911858,0.33141873719424153,0.31023918417723817,0.418855086553917,0.24337118775424016,0.4490298858724183,0.4609794616937769,0.5524932096783299,0.32291312381282866,0.4135759221289882,0.3766562660532341,0.38779368158964045,0.43350035230329786,0.37797069365821034,0.5105348806406695,0.4880559254644845,0.30580068986395215,0.38747624100604294,0.5672814551392955,0.47254145266804615,0.2924421627110051,0.4344638078591381,0.3042404345530757,0.24494903747723806,0.4036601409796293,0.42739000902360447,0.3780738368641683,0.5388475955957046,0.299343714306623,0.3720739032222863,0.4724823998884037,0.4203170111364066,0.38393698468342186,0.4795118649623983,0.37999550153150075,0.49616833407640804,0.434249657017693,0.5111757364178119,0.33483349845616417,0.35566157034116797,0.48398686312003325,0.3869780811964816,0.36659862614094496,0.42311372521783364,0.6240985346527556,0.3912498264998211,0.3909697132297145,0.49695886592222416,0.40089982821114867,0.36257198901887167,0.36608836529748745,0.3528053266289871
A36,0.48696109487077166,0.24281282443072494,0.2995376101864009,0.49252146953178,0.23451740204937932,0.3000965830911858,0.0,0.2510448829311399,0.29216832016598526,0.3502463061576503,0.2539610860790068,0.27456010780416584,0.38107617143356287,0.4336281215357952,0.2837584161262411,0.37061364815221653,0.2831958315503469,0.3098685744272447,0.26291701339441387,0.26001316710300104,0.4559830064347393,0.43743141928576834,0.3360359885793025,0.2705976363851442,0.44136907309070983,0.3401780536722335,0.22149210494920646,0.2714883846386764,0.27852251706648234,0.23748229818685718,0.3776636889013516,0.37487109850225886,0.35761296548217947,0.5015260660695329,0.2560580309281959,0.3677717420350808,0.3401485209290369,0.43592487391567125,0.41198027718250385,0.4256054315820156,0.3126670502855843,0.4042507804545217,0.35135714120669936,0.35873666366726564,0.3178681887485971,0.2742807167972283,0.4213591437666241,0.3399083658827785,0.3013656752707692,0.3611656669144956,0.4818451093378864,0.4213521196999743,0.27025390134903715,0.4066988955253742,0.27426318714446063,0.2558523630768097,0.45258073024816126,0.29744065827946187
A42,0.48919533167277207,0.3550016015280062,0.40574424236287665,0.40695509435444943,0.34648683800499236,0.33141873719424153,0.2510448829311399,0.0,0.4396937085199867,0.3928434312468715,0.26771797421787913,0.4102313533045818,0.3668299609221298,0.453958298234173,0.3530746344789185,0.35237443401717794,0.33235438060203115,0.3040715412415983,0.33868844653915053,0.3192157698045669,0.47101815214494014,0.43738632060504945,0.45429762324684064,0.3832010105090803,0.4916458078866751,0.5283164897657491,0.23661334372814902,0.40171379067747004,0.3174239587387373,0.3603932220216002,0.26683524323175767,0.43313982700766207,0.407355322194075,0.41423981390451325,0.35597420820585857,0.3894493325174181,0.39326239821957354,0.5080395628729528,0.4286441145237826,0.45684873575692164,0.39080907943558796,0.4578877244082207,0.3701667174086263,0.5180848978512915,0.40697478826950717,0.3214964126841219,0.4608845165017327,0.368414174005127,0.3492665865035648,0.4000458667841741,0.5372762332314881,0.457053823324553,0.3170735165271593,0.4801868498748231,0.3245805399890259,0.2955045863393725,0.5029463412990716,0.30556186120291307
A47,0.4994213220714808,0.3401704501408873,0.3712418946559376,0.6032045385733408,0.3711078428316513,0.31023918417723817,0.29216832016598526,0.4396937085199867,0.0,0.36283302443029386,0.4203707988936497,0.3374834541341598,0.43485378486392934,0.49049003720887197,0.3703786335046527,0.3184658208934381,0.33817418917910125,0.3705902011395411,0.41817756166616515,0.36980674525082247,0.3980676060471041,0.5334770944359563,0.3191825761544448,0.2601498707334584,0.525673899361522,0.43675656399854745,0.35588764223706326,0.3757656798596116,0.36309268971166153,0.26279860347072004,0.4692903360130012,0.42397249833316963,0.4380749608741803,0.5492465859246258,0.35187326570344624,0.3958736152230964,0.3872089458781218,0.3948718330275125,0.5142352914243118,0.44999914885643366,0.20397605710714029,0.30998189514298646,0.4116036075902725,0.4156814955327648,0.2975376000441047,0.38984499960160046,0.45172245673381495,0.42761202847050916,0.403367099390154,0.4145714290322574,0.599228413378784,0.44733744684960675,0.4140175174250269,0.46114227384516304,0.3964238607600863,0.32807961219151804,0.41415093947261405,0.36706612659022686
A59,0.562439225695182,0.35016285501430844,0.41574922380467516,0.5908365600564632,0.3083426551639006,0.418855086553917,0.3502463061576503,0.3928434312468715,0.36283302443029386,0.0,0.43137918352656157,0.25408277428266457,0.33666852885169885,0.36231239078885713,0.3044734290360621,0.4236288693797974,0.2782037013991673,0.3736722435140396,0.40778142527561456,0.26859882221045295,0.4163295260098395,0.5092541515363052,0.3925877887892162,0.38419796502038683,0.6121211798162364,0.48353869072064504,0.3302989621026634,0.34162278206346375,0.3317987845035171,0.27675970455710974,0.537004745011816,0.5207239017524544,0.44453698032887246,0.5902493557502971,0.3991377814780591,0.3191872042871571,0.4124291356140207,0.3922860166264631,0.3883504427033948,0.5194720736729025,0.3884619593957711,0.3815960534305026,0.44434493606117387,0.4259559006234056,0.39566810187350543,0.36359079081365075,0.4135754206118286,0.41250434887628673,0.47395901191277157,0.4078430499193554,0.604666212369575,0.5875260084781471,0.24771829038331294,0.4989904567678941,0.40307047995070977,0.4000328935421261,0.5842075927891741,0.3052002919207426
A75,0.5170221701349192,0.24379274189314315,0.3331778317251485,0.5769781696479922,0.31596396546572036,0.24337118775424016,0.2539610860790068,0.26771797421787913,0.4203707988936497,0.43137918352656157,0.0,0.3766800982546271,0.3997189052861658,0.503764442566377,0.24805486927104525,0.32651484016027044,0.3119828283433217,0.36630097195229905,0.37373761637156133,0.2984480660203396,0.4528769578135934,0.4609050637796017,0.32318555602916677,0.3542568867961402,0.48639505193122523,0.3513138881695995,0.21032807605619774,0.3462061208433196,0.22889436165744892,0.2781566315177053,0.3524947509596509,0.4394495888732294,0.3455172193969215,0.4836603276361876,0.2500047693667248,0.33273958253894564,0.40908659771695133,0.48421791443179785,0.41070677950576706,0.4250444348947524,0.39704834810651046,0.49022408591600664,0.329586629905522,0.4834809848878763,0.3109500770417566,0.2362720043064206,0.5314262125122656,0.38818187779001123,0.27305730058962674,0.4215232214350163,0.5354981002582019,0.3940084472763765,0.27438417577758223,0.5495206409651754,0.3071573109592872,0.3432042215561212,0.40602587200624807,0.30195085657391973
A98,0.43260886977914803,0.3409348143532386,0.39288740202532546,0.5917018713580183,0.2634646851010758,0.4490298858724183,0.27456010780416584,0.4102313533045818,0.3374834541341598,0.25408277428266457,0.3766800982546271,0.0,0.27485488607032893,0.25259034534680114,0.29209773234670644,0.35390337331643396,0.25566050832538356,0.44820071631504566,0.34929835030790135,0.3010172465816937,0.28895949904313334,0.4893931598031285,0.34674351342731,0.2871711233636435,0.4299737552353413,0.27480719360811945,0.3602821292022972,0.25756131564278395,0.34316660689545375,0.30519005318439885,0.48369995209822225,0.43051496445702875,0.30571632202101573,0.552221615652726,0.33210925247367806,0.3637940392418325,0.43074327857634653,0.3225621685974783,0.3891099902741423,0.4360565596542141,0.35206563290276727,0.2812898145699867,0.36263980362451953,0.27717549751878634,0.3468172792776806,0.3082837364523183,0.4038827411148218,0.41945975525183776,0.41387981784411,0.4167020122120765,0.5633450866465243,0.4684258997548164,0.30550473843786197,0.4584622526405525,0.29431487345982377,0.31799065162390816,0.5449104499511936,0.279607572335559
A40,0.5076369752672754,0.441751379198425,0.29841480409487064,0.4563079029256344,0.2959831551241108,0.4609794616937769,0.38107617143356287,0.3668299609221298,0.43485378486392934,0.33666852885169885,0.3997189052861658,0.27485488607032893,0.0,0.4038080289012933,0.26954992150058454,0.35702608747968556,0.31440678746336304,0.4541320281663944,0.34714738855730654,0.245340693678343,0.37760797513786915,0.4305119042452623,0.4571934682899115,0.3552593636563113,0.5493853292828461,0.4159971764170094,0.3163313413762219,0.3103027399905961,0.42713154517027874,0.3769852930380958,0.5750614795069671,0.3966063851817796,0.4363615138139699,0.5630972006712625,0.3030025540032806,0.2930357392313262,0.360569600568036,0.40728356658432785,0.38952009736754123,0.3321151406529814,0.4570376100807958,0.3609939121895992,0.34550701827641417,0.3078696066455886,0.37559927174316765,0.4033444836873916,0.36716346950524437,0.3595332396888148,0.5581526848997636,0.34959895892011816,0.49521628436213005,0.5083006205751308,0.2975646792671204,0.4985601353849619,0.28288378098916345,0.34851593054458563,0.6119721685903627,0.29554392186088996
A51,0.2997874773870407,0.42917228221410364,0.4537599579288586,0.5552955871484817,0.3613811629449696,0.5524932096783299,0.4336281215357952,0.453958298234173,0.49049003720887197,0.36231239078885713,0.503764442566377,0.25259034534680114,0.4038080289012933,0.0,0.46318808599867123,0.5239201275161398,0.3900184699750111,0.49945583683241923,0.4120626320542412,0.39145322828096607,0.3142549774357172,0.5002037760434896,0.4297277181979162,0.4413421015026241,0.4057168894116875,0.3759620464507957,0.48153366153043053,0.3798531320624584,0.48806924704589405,0.48903133843621494,0.4575784114572711,0.42447611204133784,0.3483221648785789,0.48462054307336566,0.47609847935420646,0.37820720421096143,0.43164076780996885,0.4052291808016272,0.41060420655460406,0.49109594148087354,0.4794476625211783,0.429866496774743,0.38054446181749024,0.4968320818586547,0.38783770534695405,0.33199519852215154,0.4641596920138473,0.5307049363358318,0.5156204329852436,0.4283259479983291,0.43855900363008393,0.4741946757488005,0.3736348581873945,0.5026204039158368,0.3693783310658897,0.45995596975546116,0.5517931399830603,0.4412058258329602
