,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.5069796226146113,0.3698696117110716,0.3646658071288955,0.47689834674895737,0.5512985291904575,0.5058571299439397,0.5318511014892764,0.43770602048568685,0.5238820674962512,0.5288789971946779,0.3786460927962845,0.474256019079604,0.24364860215896234,0.5276033205378435,0.4170043304932185,0.48431888824450653,0.5102934628794465,0.5419268740619068,0.43450568115803645,0.3829842777704541,0.4643215021170821,0.4435117554932806,0.5519808820840902,0.36948466542994907,0.46606247667476164,0.5288009727107,0.5097567676855701,0.5453650914496218,0.5117379845431635,0.5068880409056448,0.3325627711516509,0.4314674319079497,0.269814535482898,0.43827318953364336,0.537888994385628,0.4710642505564522,0.3792803482183059,0.4558039819004248,0.4585201495498511,0.45692944044548056,0.5787917278620115,0.39034443778980166,0.4533267988710524,0.5111823516657508,0.4442574174543126,0.4190114861433829,0.49030588134821285,0.6271824157420167,0.39324778160607055,0.3299307487815143,0.4931966111493866,0.5329438565318421,0.44369161777755306,0.49969086338351276,0.66938398927354,0.5885194063727053,0.5643792253417456
A35,0.5069796226146113,0.0,0.3234509160355975,0.5102968459480388,0.3671767360559034,0.494127990187724,0.33564548177401454,0.4443415509036458,0.36838569087582373,0.49205278053627244,0.3251867884006311,0.40261865915776296,0.46371551298695257,0.48087877052822603,0.3599917576325705,0.3844670393553351,0.4739113943693205,0.6287587534781264,0.38717142087390777,0.36637297391751944,0.4761404598045488,0.4743537347921283,0.436131339820379,0.4886077472335729,0.5138663839479382,0.41796933397391545,0.42186050041287515,0.3908826999595497,0.4153846958409889,0.34197384050575985,0.34718718990069264,0.5036012791961044,0.4774750547696839,0.48372245828911964,0.4345767260875637,0.6432944904964772,0.49387943614614094,0.4634919981609489,0.5809983654283433,0.5545921760545323,0.3732710021882868,0.5747987785270992,0.4505767174076205,0.42807415531759163,0.4767176331716355,0.39566758730969454,0.4858283524344511,0.37806093448510636,0.3964647651706634,0.32152458155903774,0.454837734263734,0.3408205520432619,0.3688483800823422,0.4652147309143093,0.42796184754255484,0.4066088375176906,0.34263546147932245,0.40268748073227345
A58,0.3698696117110716,0.3234509160355975,0.0,0.3973795250801362,0.2875774027390484,0.5444947166292257,0.34638428800645593,0.5146761071138506,0.3853184402452354,0.5596269068533505,0.4763198851370092,0.3600795983236251,0.41834434020175437,0.42111935249866606,0.3464658285809785,0.3809325973773323,0.36881601375932904,0.5068347286953998,0.30847202429004916,0.3812007919995226,0.43361690777555073,0.3654579395199815,0.46477860520364656,0.49409382848174377,0.45163302024823804,0.3257277682350369,0.5301776659772073,0.3745192580687754,0.4475051655227622,0.4511064062271297,0.4262683905780187,0.3725087017212789,0.47310845344869534,0.3927187601487552,0.2769409327479092,0.5450867075407779,0.43403466799524815,0.366860077515327,0.41209759543713675,0.4860457650636031,0.3631760004891159,0.5284295043275582,0.39390269123791366,0.40816211461052887,0.5282165619466201,0.3395864341884933,0.4405330049980767,0.397722482287992,0.4504122693963598,0.35290298862459113,0.371681218586963,0.4841210261293578,0.4758225504682766,0.5259527508898065,0.4236278690697095,0.4542689632192365,0.4364352714725236,0.4083056538842137
A63,0.3646658071288955,0.5102968459480388,0.3973795250801362,0.0,0.4592849609684204,0.53829708700961,0.442219722277728,0.3873839105201581,0.49083229743396095,0.4463610965149505,0.5665415504185762,0.42417679685021714,0.4353546662410629,0.39437987069975455,0.3835854497044321,0.42309170073420477,0.4715563167530479,0.45579389190298847,0.4038276905462118,0.39939418250367864,0.5191935398865171,0.38546205069125905,0.4762517233307857,0.5435621532255095,0.43818219674133985,0.5524643439787833,0.45569096964373235,0.4027932464984664,0.5976775139577719,0.5253112754762463,0.45046882545455647,0.42229664908973863,0.4961794594371899,0.36665780108034696,0.5011087185949759,0.505712886305035,0.40513760493069617,0.4416886737493031,0.42941388343087206,0.45309620489644664,0.3894974231132079,0.5281503983752331,0.4285796615337668,0.44142981584963403,0.5229551576318738,0.44141736310161106,0.41125485135687345,0.4082024009808053,0.5594972363723203,0.3790672839666681,0.3818417020350062,0.50765291430901,0.43543029923553167,0.4018211762576691,0.4020379386836914,0.45283904935792785,0.6298412057196421,0.507437380152107
A89,0.47689834674895737,0.3671767360559034,0.2875774027390484,0.4592849609684204,0.0,0.6034251487222708,0.3573332240567675,0.5183832978131089,0.41974250800607715,0.5161947099956737,0.4400867073543505,0.2973963319966001,0.4139874630859416,0.4146839065446073,0.36336810755148585,0.4560045468772831,0.4637218737463654,0.662332722337529,0.41959949176451394,0.2267491307873759,0.39074530622287573,0.359313304884185,0.38963219368017477,0.44931574156862364,0.4401440173773231,0.27507994522703183,0.427628079335032,0.29924562315898173,0.4225962074947428,0.3955786659728836,0.4273747468008533,0.4910272663679459,0.37969787968256186,0.5293885746346214,0.2544200950801567,0.47971126371415396,0.38619731508512534,0.39190386873865046,0.5019469122085329,0.567006788503437,0.4536273414859029,0.450885034597018,0.336540152951612,0.31235763238742087,0.4699505007124192,0.31095932881908284,0.4033223738625812,0.4506064064029126,0.38765787124392415,0.3704820142776244,0.4311454814237953,0.39117134111021046,0.4090408940303053,0.4352887844284783,0.36584052891662544,0.3256590318182081,0.4250164733001165,0.3967383766372654
A94,0.5512985291904575,0.494127990187724,0.5444947166292257,0.53829708700961,0.6034251487222708,0.0,0.4275269022183451,0.42967232025914115,0.43790196220355404,0.4547944931009743,0.3155841432702249,0.5332969586263683,0.6102929975692439,0.5659234405828594,0.5368142869409945,0.5121411213042198,0.5270467190430601,0.49059455413657926,0.541490843574405,0.5927614942756906,0.7099251626404413,0.5667787546892995,0.45554805706663726,0.6704332239557173,0.7225794136019645,0.6046974637993774,0.44303728972044,0.5513095776783407,0.5174108650315159,0.38798997190812834,0.5494047465096917,0.47524683500936804,0.6717640909409242,0.5270861105182345,0.5298481555149503,0.6185857258786533,0.7120745123969088,0.5182085225525039,0.5482395133718618,0.5319870824718693,0.5081491183197502,0.7592512401386496,0.5155279064244858,0.6682541777354453,0.46766432854495166,0.48203291718613794,0.4995274727823962,0.5315522967744701,0.5294469760075755,0.4196242720821156,0.6283109291410819,0.5090898738039269,0.5107806107279242,0.5443584071218489,0.6041898869073002,0.669554779577692,0.43864055752787423,0.6017613570810421
A36,0.5058571299439397,0.33564548177401454,0.34638428800645593,0.442219722277728,0.3573332240567675,0.4275269022183451,0.0,0.38262164152269074,0.3159090363041823,0.5634655442193037,0.30484384078025684,0.30861574816425696,0.4623183780572556,0.4571491557883385,0.4277174749593954,0.47650340680387115,0.44329706844180305,0.4770352016725966,0.4513169577706453,0.3837127610598956,0.5557851723156069,0.4486697985123236,0.4079593874811893,0.3978727248587516,0.538361603685463,0.34061933603423455,0.32767456184490795,0.33081115817229356,0.4129545346379808,0.3335336665795816,0.38506927435487526,0.42133472386622817,0.4698672111245271,0.47784981602556265,0.3242774529194443,0.5325587956661366,0.4209612974606881,0.4755007604063939,0.5805729022738797,0.4633759813488444,0.3995130895453003,0.5436659194919398,0.3625138891570343,0.43041106861183953,0.4755590950742231,0.38035056360389896,0.44653211773190593,0.5150912648151902,0.33062736135352644,0.3026292385715289,0.44717459045803865,0.4089192116340119,0.32213815058063333,0.4004063156624672,0.3250366193333095,0.44904535220729935,0.47285131674394176,0.41851235386958685
A42,0.5318511014892764,0.4443415509036458,0.5146761071138506,0.3873839105201581,0.5183832978131089,0.42967232025914115,0.38262164152269074,0.0,0.49780969457657154,0.5424506224959772,0.38536707929877434,0.4982281549572857,0.45470185798543383,0.49796797051202535,0.4511456653531919,0.5501339250399704,0.5274993751706983,0.47867510183783546,0.49760330731364466,0.4787822334316184,0.573408582173013,0.447431684667722,0.5500826861680967,0.6575858635370893,0.537683128505986,0.6221418976073638,0.3742130999018105,0.5171819701802193,0.600752181648558,0.4762480595713485,0.30260660408914,0.5123591036986721,0.5932240800753817,0.45630148096957046,0.6113622373464511,0.6549648475761609,0.5291285209659666,0.5687633505447101,0.5984133174999788,0.5112877409264679,0.5406431512857969,0.6736367245314133,0.4793298798739414,0.6463070016826504,0.565261511933693,0.47263763464753095,0.5903693963401389,0.4269590842778933,0.46644308507435916,0.380516256667046,0.5628633011133778,0.5444517871991843,0.43055303811692835,0.5231914042922792,0.4199229123037759,0.45389956537910603,0.5377579828886504,0.5044360843469484
A47,0.43770602048568685,0.36838569087582373,0.3853184402452354,0.49083229743396095,0.41974250800607715,0.43790196220355404,0.3159090363041823,0.49780969457657154,0.0,0.5156271700703965,0.47181601933357653,0.3337999543044414,0.4336839517356694,0.47661485732485576,0.3866381756203132,0.4209524183595401,0.40365120632523865,0.5405777970868428,0.5257493884792717,0.40579462265695543,0.4187200116434493,0.40460542940534816,0.33968680786406436,0.3610516911101215,0.45764271543399393,0.43333409518117794,0.47606527842850055,0.4467697659595672,0.43447581680261227,0.36333776017152464,0.4777705099773232,0.42393463558113964,0.48788098266847746,0.48620125521260427,0.39504393089160017,0.5829172391554371,0.42166435286547865,0.43914359865404495,0.5414084537186302,0.4598804703062829,0.31524355453345554,0.42829659323442393,0.3470638494447986,0.43950679343372223,0.4144928884652246,0.43425772675256746,0.46375860874104613,0.4650154076931834,0.3938315200762952,0.35652952980942165,0.5792828849210607,0.4670900735842459,0.48236330171385633,0.4457824049263659,0.41524535953160924,0.46296347162631935,0.4334091133133383,0.42801347846846793
A59,0.5238820674962512,0.49205278053627244,0.5596269068533505,0.4463610965149505,0.5161947099956737,0.4547944931009743,0.5634655442193037,0.5424506224959772,0.5156271700703965,0.0,0.560055572643059,0.4432023912511678,0.5749322691890428,0.5010934816902497,0.441229068942111,0.5393789484209488,0.511668366182022,0.4717853695360219,0.5238962152081883,0.4648607195825938,0.5862680784953875,0.5377628592197035,0.4925339646985549,0.6913938521574721,0.6512720721310291,0.649482315427927,0.5184526092766248,0.512685954187403,0.4866895188604793,0.42981420802395864,0.6060326239643901,0.5141157512372656,0.6198779113251067,0.538921362685757,0.5191017620952894,0.5141945938813361,0.6007457707441669,0.49100298882098814,0.49061997608626917,0.6217454071173598,0.45967132063892746,0.6556441433920284,0.5137840367201384,0.6000632729685704,0.6183185753369029,0.48811287105630574,0.5186446997987104,0.5178388330179369,0.5558001648363307,0.4847008717065293,0.5936461141587035,0.6380637976846314,0.40920178190082346,0.45116788698117416,0.5751072341601178,0.6304027750072007,0.6359587344541926,0.6231410300948763
