,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.508016290322777,0.4520436126150599,0.26150005330388015,0.6270590842607104,0.49699524165050846,0.4310202246638972,0.3481857338202037,0.5516313048326289,0.460805121407422,0.38483862577624695,0.42048408368922496,0.48627864168865076,0.198197726615443,0.5181651880306214,0.41682529563801274,0.6873974819457145,0.40261361953831576,0.6511457026181078,0.4675012196517374,0.6144076348849982,0.6440303315908043,0.5708228951366292,0.39349481675314013,0.6371328385321504,0.670429654839489,0.4642266805454225,0.6324212341636303,0.41347385930164726,0.45907289764802095,0.5008185134656593,0.4933369823292313,0.41734906451313714,0.37664918158190475,0.5647516851439852,0.6837128005739488,0.625953815753112,0.5222212533724806,0.8674316339721145,0.8472484929962517,0.47727007700254054,0.6377077349085503,0.49804098043081413,0.8603287441251097,0.5283162631307159,0.4272463257730863,0.34100580626476595,0.4355146524283767,0.6756271818704502,0.4465683085257951,0.2854705583438799,0.29781808527394904,0.33698144571567423,0.3112030097079179,0.3289346903419119,0.7519125276610936,0.8715556454513478,0.49725779881772225
A35,0.508016290322777,0.0,0.3192991302672803,0.6232495125725981,0.24407677147513973,0.3512588807572897,0.20435881045250515,0.34541845473987753,0.2884826420469888,0.4085798952300991,0.20407125381931568,0.3132565855404511,0.4973815109760501,0.48689246451349133,0.3210483208227416,0.39785901115573585,0.4476538520508422,0.3819498523290972,0.3519291027122736,0.31534271430507144,0.39989875156349897,0.43327676046074437,0.31842915674269157,0.3132540656767072,0.571793000830528,0.32896757829210277,0.345514444119004,0.33741003178028617,0.22670436945230876,0.2249257847697974,0.2802452490666453,0.3617040668615841,0.4350792504785541,0.42307994609312416,0.31099773289371624,0.4758674121013472,0.4240686405650803,0.3956193670923073,0.6361961499697855,0.6173446314658225,0.4226259499517123,0.5272023863551927,0.37812481413886423,0.5278116958598023,0.286698403682742,0.3083107337992933,0.5031016849724628,0.409399174088543,0.3181604089250726,0.30217527581207504,0.5792210348825975,0.3581132981994056,0.34631500031774276,0.536291629345213,0.4735935542755976,0.4444671975901543,0.4380666466092791,0.3970139221730641
A58,0.4520436126150599,0.3192991302672803,0.0,0.6012677552567209,0.32709475672940924,0.6149021427617063,0.30672913843675753,0.5041564330618611,0.41846321971258926,0.5426074951152409,0.4407566907685404,0.3707390341592628,0.37620617614518714,0.5340315937391243,0.3148836235565924,0.4830774133844724,0.47361495068968584,0.46374855995130393,0.4013164917677202,0.42468890488703437,0.5023719720312099,0.4121020330598605,0.4604951374167554,0.5061610822661802,0.6825051677055007,0.3687164920192133,0.5045600444788494,0.43720407083168067,0.41829248777060735,0.4803765085049322,0.5420936375913941,0.4334526083858986,0.6042775960343825,0.4350140577284013,0.2718707795072114,0.5644794355051852,0.46939797549124285,0.44459671449773097,0.539398462631891,0.6197999765157607,0.545821647802101,0.556054173907718,0.4794726245963453,0.5852069946932502,0.46398222443029,0.33864366351585473,0.5045671823481944,0.3795000535000751,0.5629749848161361,0.39770987771751365,0.49823594192425136,0.5159325418414997,0.4977886590121462,0.5754652594697256,0.4538987866630082,0.4631787132412315,0.46745204718060984,0.37460364719245376
A63,0.26150005330388015,0.6232495125725981,0.6012677552567209,0.0,0.7364436631313682,0.45854512212275955,0.46470638162178357,0.3026776380568095,0.6846459140825365,0.3652765775595421,0.482083037564658,0.5364097109891326,0.4775201092147394,0.22161680347612078,0.4724480069721594,0.4544442860362423,0.8530325797585148,0.43201528229935426,0.6336377244565972,0.43753567490005396,0.8239263195147968,0.7298009576233727,0.6521875531766469,0.43128121977589495,0.699206665665409,0.8102367979993119,0.47529019291054186,0.6501453869763327,0.5135246771142438,0.504103362685645,0.5823195965495058,0.6110002079207697,0.4630155210902154,0.5028479680998776,0.7610707894079393,0.6904521766692958,0.656770781717406,0.7284923878045941,1.0130599464448924,1.0057186996023537,0.4991485676684394,0.6764479448061249,0.5566980543665402,0.9328334931782616,0.6228874549291257,0.481392432489571,0.2845093098910273,0.501582661814189,0.7805440545306562,0.5156330757735451,0.2653745491147693,0.33690868274806984,0.2458382574091329,0.25924867321289846,0.2603300516856131,0.830004459899142,1.1317581895425313,0.612611899802055
A89,0.6270590842607104,0.24407677147513973,0.32709475672940924,0.7364436631313682,0.0,0.5606726838248026,0.273595006277751,0.46450116456780444,0.43346812157129244,0.5221313442274108,0.37724016781417957,0.3034723041640792,0.4592969313964673,0.5806015717183616,0.3999226100098714,0.507369885755468,0.3953430621253188,0.5305021684053854,0.3025663494410239,0.2880564063132448,0.3817240171135715,0.4037570984903919,0.4150493280089689,0.4199029351478012,0.5668155122604561,0.2640439039666308,0.4321812285393223,0.260717301190441,0.3625024929063224,0.38968702758814366,0.3865600974627442,0.3855204454276626,0.507231772540634,0.49711947509719057,0.19525114682894928,0.40787619914848716,0.41390577086244806,0.3504335704274053,0.4946035444811926,0.5414973058455637,0.5408529327125099,0.5173832994743925,0.3453984937753575,0.4081532340283769,0.4157365983633299,0.29622067165595056,0.4775336404624222,0.47180008352173586,0.3520715483640031,0.36948550449218176,0.6426741971111477,0.4977913718138175,0.47535795791415336,0.566754273113046,0.5209264153521885,0.34756867951468273,0.406813662311448,0.4078997323567459
A94,0.49699524165050846,0.3512588807572897,0.6149021427617063,0.45854512212275955,0.5606726838248026,0.0,0.30973319914624686,0.21240448932853473,0.40023027674850964,0.4013532050176001,0.21062044601362884,0.5012540258760514,0.5802586728390252,0.3475142663648122,0.4613416276156952,0.5579123075814971,0.7394731832207417,0.37255767757132907,0.6123707940422036,0.4221089209655018,0.6944938231810898,0.6536059649522177,0.34550120909686566,0.34457185946789914,0.7581968425825425,0.6269297601567987,0.3354306262228095,0.5870848895807391,0.2753721803137915,0.2106523560682778,0.3770756503653191,0.5163156075176304,0.4124084791307181,0.5518794804510826,0.5514178187526082,0.6271705059030142,0.6586092499508116,0.560041042093606,0.9157365766036394,0.8847172786440203,0.4806906675440821,0.6619566435374069,0.548279948575637,0.8511161139204779,0.3660436750750967,0.4431477170159691,0.40926386901547196,0.5590739947647743,0.56482852171797,0.4134449167292773,0.5824250045844861,0.2678498498501769,0.2620601457371471,0.38670976090746567,0.4219706727483139,0.7510072518854891,0.7510168560354014,0.5649840795022558
A36,0.4310202246638972,0.20435881045250515,0.30672913843675753,0.46470638162178357,0.273595006277751,0.30973319914624686,0.0,0.23273984486048793,0.23905904011768841,0.38329177346749954,0.19092741472019092,0.2809360854530498,0.391948858516317,0.40701470062560785,0.3362907428742773,0.39809771806279404,0.4512029795251331,0.28784557972890623,0.32431086034031553,0.2709416792877952,0.4858989301647417,0.40441425339854387,0.3496861295356699,0.24865800665519722,0.541684313708374,0.2845258711750389,0.24068159267557065,0.2857737149064371,0.22295350635643474,0.19880709691072207,0.2875354602803245,0.31589912059522796,0.3926958574618211,0.4300699011818383,0.25784018289319277,0.5385024314549443,0.3979068733966842,0.46599037126238196,0.691946674999693,0.5842939498178272,0.4121728355680453,0.4864584566148986,0.2541174466254962,0.5307152042468712,0.32128207922654917,0.2835042966459239,0.44961843556946657,0.38389629562021443,0.31486853557964845,0.27960036996885884,0.4719732411783959,0.35536979523347056,0.27932333297537426,0.4165302112721211,0.3512540925792378,0.44890629744725763,0.5449444860705474,0.32882635735369947
A42,0.3481857338202037,0.34541845473987753,0.5041564330618611,0.3026776380568095,0.46450116456780444,0.21240448932853473,0.23273984486048793,0.0,0.47310552068748923,0.3600007262796472,0.165575913150123,0.3858117569361904,0.41086485624953006,0.25713293191308517,0.4000288927453277,0.39420707308848324,0.5906479539568373,0.3058116563438178,0.4672911130453229,0.32862689156139613,0.5809833432904921,0.5604571139495114,0.4430159722019733,0.29823214591764635,0.6477480391805095,0.5659808877305037,0.24639728171022757,0.4594635163765063,0.2507453155586018,0.28075013705556107,0.2690093805191024,0.4696168568052079,0.4170952172660771,0.3908078016440093,0.4766856555174003,0.5990864996448519,0.5240171497631336,0.5670648820978395,0.8898534870306417,0.8162014240746172,0.45433464284887204,0.5851590938608231,0.4136860501446954,0.8350955839248975,0.4018460589581835,0.3167252611125623,0.3297311247861463,0.48237770075063635,0.48702315566268006,0.383162275405315,0.42846948654384087,0.29542477205138074,0.18496239335475706,0.3748094642069303,0.29457373782755003,0.5842891859334329,0.8252684482375183,0.46507303393508226
A47,0.5516313048326289,0.2884826420469888,0.41846321971258926,0.6846459140825365,0.43346812157129244,0.40023027674850964,0.23905904011768841,0.47310552068748923,0.0,0.4663577239820139,0.35747584312421166,0.3169310532702745,0.4693238128349567,0.5573939007855627,0.3830621816174562,0.3784489629886323,0.408325270159398,0.36176660396273375,0.44482509035123086,0.4007170102279819,0.31679692839728435,0.3413475385289626,0.3029854113191047,0.2713300440581785,0.5770868986649572,0.3974204547166915,0.40302263522189496,0.4106105029765099,0.3375608487514794,0.2196247649098092,0.3246132847938793,0.3187653354015286,0.4949101692766772,0.47659812910286214,0.3296611409609671,0.6537519737407658,0.3882624398276536,0.37830064049352485,0.5550984562601393,0.45376237272157793,0.38838166278952435,0.3418576122674776,0.3708710268954356,0.47694518440935463,0.2646048960349666,0.40813427088970144,0.6436954427327106,0.44954496160380353,0.3588695187866765,0.32256004145131645,0.7511852667150885,0.502637176039824,0.5052798265857718,0.6088773123245677,0.5672426734355175,0.3622320955389581,0.3501564442456524,0.32424655131437974
A59,0.460805121407422,0.4085798952300991,0.5426074951152409,0.3652765775595421,0.5221313442274108,0.4013532050176001,0.38329177346749954,0.3600007262796472,0.4663577239820139,0.0,0.3769975957768964,0.3412511392016201,0.41865953039964543,0.32134556001394066,0.34249046570057895,0.47055926059285613,0.6599366194525855,0.41876975174879316,0.6006174499826011,0.30681671643879194,0.5549796072515363,0.55889214958989,0.43686902369110847,0.4793524995465097,0.8402283604412002,0.6308628283313353,0.4018393733976212,0.4720944795663813,0.344032927022464,0.31917644113405796,0.5203655087962826,0.5023240918479231,0.4921425722414424,0.5941956900984822,0.5205180524228655,0.5701675814159253,0.542292780393208,0.5569306604186146,0.7984583233296069,0.8635525808494532,0.5051599271770948,0.5377661878628708,0.4749011566357354,0.7746426233303515,0.47124524769535225,0.4206699048107443,0.35347706502886467,0.49698469395849076,0.6004711641976034,0.426799104023703,0.4798481896138188,0.452369611949362,0.20143046514819674,0.3629910647675252,0.4443499267668586,0.673930412257818,0.8382856222357282,0.4113516840163228
