,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.35310446331364675,0.3187954003051544,0.33696739699512457,0.3191292754015652,0.5568112475615785,0.39582393477700584,0.408750705991037,0.4269198632913247,0.4966929584700729,0.37668818781116564,0.3502541471953079,0.4067012373673835,0.2883081276664424,0.4277302552262724,0.38501601374309835,0.43720819542512346,0.342155987763357,0.41169400477826723,0.3752033257300892,0.3067184298325586,0.4110238281969907,0.3962404670185107,0.4477758729913238,0.3522038108259926,0.4358196467005071,0.42506778071745965,0.4277244391899262,0.47600586492665764,0.4173634381105622,0.43742463487903227,0.3818355099130948,0.3404629890854838,0.2738697569466957,0.40202809670855444,0.4185325755803331,0.39104229948626024,0.32869696542272175,0.4304791894067941,0.3983107467859829,0.39737246483753863,0.5015405851279315,0.37249745651823485,0.4249917806613315,0.3886431128795166,0.33923566902415137,0.3950209194450244,0.36904719896445193,0.3963738195880815,0.344459182521646,0.24067862816263685,0.33398361764300943,0.3593773375049011,0.38279928547340214,0.4063755935502622,0.4067492705547473,0.48059638926996384,0.402012551930073
A35,0.35310446331364675,0.0,0.2538977662167746,0.4045431899565485,0.2667141997025837,0.3621137838805387,0.2612901646170285,0.3930074992534581,0.3057507958434629,0.38808627860410183,0.2644659365897084,0.30638979835875224,0.3990747670230632,0.40152669913269834,0.29972348147341255,0.2872336859740201,0.34641526239891796,0.3743684307600178,0.3098506241752429,0.284335196276588,0.3515456241104006,0.3929653242965343,0.3057684682324323,0.3503518162202903,0.4103059448965999,0.3457809511227662,0.35925348178720995,0.3389330802065921,0.32585886243574813,0.28813791887742934,0.4007451241078207,0.3700275842605739,0.36202299679142547,0.37763179297806626,0.27975810214114216,0.3878724199893918,0.37342518154411286,0.34431981518326593,0.4320321797060912,0.4221864903224457,0.32385131102426346,0.4697209398670932,0.36115594393333084,0.3428593129666828,0.30784860370624767,0.2662665825453555,0.4382865339202584,0.33022319977750914,0.3593254642588515,0.3112950441500474,0.3342161578663504,0.3091136177136673,0.28611942684479796,0.4610733376638827,0.3360092613747886,0.325458749169494,0.3985357190668255,0.3103349228783354
A58,0.3187954003051544,0.2538977662167746,0.0,0.3560976064772904,0.23803431401677433,0.3669136563597273,0.24619628825358575,0.38014096322527036,0.3176372984908922,0.4406763865243394,0.3160229713648057,0.331446805277266,0.27406096705353544,0.36479208413958863,0.222294643908015,0.382057011140312,0.39446094801561304,0.3447625441286797,0.29671284784240914,0.29142267159534097,0.3478725767650499,0.3660066289145171,0.26545514068870946,0.3497803231872223,0.45544099485784517,0.30199438325541816,0.3503569708858758,0.3505863695721835,0.35057440773692006,0.29824249759528154,0.5175190057668054,0.4100886344788194,0.37473861676612097,0.4443090402448038,0.258364473669615,0.29326496440954875,0.3419543307745013,0.3516436934466056,0.35107282992518085,0.3479863187984341,0.32711386189812386,0.5201269430066255,0.37894090406958647,0.37677847063091197,0.29456117424865,0.2856851647996387,0.38565497629538326,0.29362518000011517,0.4454237366623707,0.3009271820649859,0.269551993717569,0.39766078859996934,0.26423330792834354,0.4952642194301192,0.25771998949039365,0.3019483225092624,0.5010292188738754,0.2984607133040118
A63,0.33696739699512457,0.4045431899565485,0.3560976064772904,0.0,0.3306443731113077,0.4874002586099485,0.3105754494955737,0.24622950077191275,0.4617976968868146,0.5371439076247289,0.3934731603181886,0.39121442805484274,0.3364884381700981,0.4211189177792475,0.3258310172405522,0.2987744303195491,0.4448191506516951,0.3296006474478136,0.26654457082149463,0.28611542944839474,0.3774655695309528,0.32778553650511066,0.4133303278855631,0.344949923171629,0.33241924067328976,0.4784753220666603,0.2795738057296463,0.3528654961272567,0.4716400054362617,0.3752190122214838,0.3555130298446284,0.36523571497718177,0.3301337027142618,0.4197020622623888,0.35049820022419576,0.41323552697021926,0.287350951291946,0.38536165022149715,0.3840224473192484,0.4536078249147746,0.3407947166625528,0.5133260977808582,0.38952121204147305,0.33270520430376516,0.426800660924575,0.31391092366215334,0.3882429563854025,0.29629781390888554,0.4623414107859847,0.3394462112193586,0.2910890246842113,0.38721350692055967,0.26816052108622657,0.4394655386514116,0.33920638767767797,0.24112096382697434,0.6423265834324301,0.3741470722476137
A89,0.3191292754015652,0.2667141997025837,0.23803431401677433,0.3306443731113077,0.0,0.33395214436601095,0.20907808217440105,0.33478439958734096,0.3513621007336508,0.40509269652559665,0.27846688640467865,0.28849076076232927,0.3193085252678931,0.3477409374461973,0.2842821885664092,0.38168297242253957,0.3608467177659237,0.33670152303787915,0.26483700648132313,0.17770564107198383,0.37351489054617126,0.4027124212459906,0.24667091965850707,0.3340683535781023,0.4295606356839178,0.28829848742647424,0.31796612996593265,0.23395630901340914,0.3721359900396831,0.2750051180033948,0.46662293185838144,0.4141274311903771,0.31608926667378856,0.4144402704426159,0.17482752247313116,0.2690019861945704,0.33763997594834094,0.27650395599697486,0.37533634605676525,0.3698525119310676,0.33780630288633295,0.49089891747124326,0.3399030212665195,0.3212665400764342,0.31246667877585044,0.23911261093456582,0.29563797501771794,0.31621758709118697,0.29710422858767416,0.2958375839074583,0.2615272430964941,0.275058689332511,0.2243246551963236,0.436779533338575,0.2744814045540156,0.2545175774498656,0.5032142020304242,0.32459661660410866
A94,0.5568112475615785,0.3621137838805387,0.3669136563597273,0.4874002586099485,0.33395214436601095,0.0,0.2945125150654274,0.3656533407780652,0.2886472098325502,0.4826611102696625,0.2592602666089543,0.4252890571104322,0.40329108541306435,0.5427701216431531,0.2987466165654903,0.4628333180856168,0.3696663718957134,0.3580558797459542,0.38627490757524774,0.31313789577247675,0.4458317211533609,0.40471053184870365,0.271283252564924,0.34835319057385505,0.4750441110820609,0.37156270669132285,0.27446116932019404,0.3710613087731198,0.39369564436154225,0.2323262670727474,0.47770094492860116,0.389020177271833,0.3459474278530803,0.6336772828605939,0.30539637938298025,0.33621884539986724,0.39412566216593414,0.352046625671946,0.345451535515778,0.3944191059364469,0.37437210786844155,0.5244844009513583,0.38514128625817834,0.3946604299047919,0.3069312475496515,0.37353615145373265,0.4678486192218093,0.3487127442733646,0.4167052760034222,0.34324311294124477,0.5242833349672458,0.40158632745622935,0.32883911890583895,0.5985656019498273,0.4018871639275924,0.35140870155316506,0.4543093491866954,0.37599616420908577
A36,0.39582393477700584,0.2612901646170285,0.24619628825358575,0.3105754494955737,0.20907808217440105,0.2945125150654274,0.0,0.24810306139042793,0.25016666206133387,0.44229001232682297,0.25090828823143363,0.28430130314965985,0.3479220213439759,0.40686009883696583,0.2887943010967192,0.37594804240679347,0.32502988502352115,0.2539939779235877,0.22857529620422068,0.20505482245666662,0.398716104748024,0.3327108291170844,0.26884516883785814,0.2631066296423743,0.3651595981452106,0.2682341393975358,0.2300125219600332,0.261816883812815,0.3381905798704845,0.2383926457735246,0.36042413609823065,0.3194631578149687,0.3082296809491898,0.43427833400404503,0.186625201907614,0.3018024190634403,0.2945358617985121,0.37314589831545486,0.35382193322019406,0.3323719124573141,0.2904589741448462,0.45928274376873357,0.3197746575605933,0.30708816534155725,0.27995206021101326,0.25175873395704595,0.3853818901186562,0.3041628606574365,0.29450932721014844,0.3221633126247113,0.3034679580775752,0.3662737637877289,0.2188833662836095,0.4439601566447978,0.26253578631642427,0.22568866751634997,0.47972986221699276,0.32862003053721156
A42,0.408750705991037,0.3930074992534581,0.38014096322527036,0.24622950077191275,0.33478439958734096,0.3656533407780652,0.24810306139042793,0.0,0.40455712501805796,0.4839319495437512,0.2561848342544659,0.38002574715871806,0.34187820526513657,0.4373948453740616,0.35742423182223004,0.3657238987530631,0.3397923805140869,0.2965347613905942,0.28485958373444464,0.2890543427260478,0.39306365864143944,0.36502060456224006,0.3898336940580096,0.3394239284467827,0.41157898275066107,0.4257561914754635,0.21376898291032465,0.35758045037937525,0.37777727217131996,0.34731067226189605,0.2828121146219502,0.38542629381538374,0.3453396588807469,0.39944387627990574,0.3039141497939313,0.36428450744654095,0.34663462784883403,0.43651054077955276,0.34635213857392144,0.3706510536620712,0.3599397700357365,0.47430368506119247,0.3111510132951083,0.4202645333767241,0.40135454412376226,0.31836274212333127,0.4479364558473006,0.33626245139730226,0.35457482671350304,0.3606275234767339,0.378119364858705,0.4151474752093416,0.25185938880459,0.4962276786290887,0.33896470948451873,0.2683262150158022,0.5723785404141155,0.3446893662492685
A47,0.4269198632913247,0.3057507958434629,0.3176372984908922,0.4617976968868146,0.3513621007336508,0.2886472098325502,0.25016666206133387,0.40455712501805796,0.0,0.36375902101120683,0.36285946176614503,0.33695819705703367,0.40931732697877277,0.47373460205267004,0.3477657654055929,0.3385885952396058,0.3286935950101736,0.31441539516767725,0.3911793934234098,0.3233247168973018,0.3516412091181248,0.40851498709295464,0.2319200230167917,0.26896421768973344,0.4980084387606316,0.3651893067851857,0.32498580048674797,0.3533665120336331,0.3907613600647578,0.2272776906997006,0.4526848048166774,0.3895368001363011,0.3750479539548732,0.46956371049609635,0.29479847165267925,0.3395702340987965,0.34195261207826366,0.3373890061615197,0.43203020910945344,0.36816566863332334,0.2507410393759929,0.3929541708383303,0.3849677461811327,0.3798650535014835,0.2829413186857843,0.3397771684489659,0.4377282814872936,0.34678577552407397,0.31397705127994024,0.35905242160661033,0.44721253083886847,0.3865773140109018,0.32206448614590977,0.511220849033481,0.41229822160199747,0.32523426711425885,0.3956853141252582,0.3348492346441708
A59,0.4966929584700729,0.38808627860410183,0.4406763865243394,0.5371439076247289,0.40509269652559665,0.4826611102696625,0.44229001232682297,0.4839319495437512,0.36375902101120683,0.0,0.456640997132968,0.3038243685792059,0.3496286686458625,0.38427786372730754,0.3592894669387624,0.504171353655989,0.35339314609178163,0.43231228641947095,0.4816666406516984,0.31364780580235607,0.3738346465242537,0.4496635547270367,0.3480860523088509,0.5162366101170737,0.5983991680761642,0.49410673802978744,0.4120592530085371,0.3826758180169664,0.4042616925206578,0.32211683404464664,0.5930478148406481,0.5682463923835663,0.442834236152541,0.5550060404086352,0.432494413347169,0.35339233137905124,0.472942711715164,0.3948609392151614,0.4259340574188356,0.440654207130582,0.45792244213901945,0.4485375029903973,0.4413258675012829,0.48251455355853456,0.3744387625444734,0.42205236751822106,0.4089617011845188,0.4093088782177311,0.4217668320454607,0.4712588461237974,0.46103418683132547,0.5394030222578197,0.3207894786891965,0.45420126498648306,0.443048355707396,0.4941392219365991,0.5559424086558598,0.33838595402175176
