,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,1.0,2.4355711804835556,1.0065398559894092,4.05761904688071,2.258998083932078,1.3896942788211883,3.747435650221989,1.9434416410770632,3.545931216013314,1.591257119114418,2.961381114004495,3.3113822553276,2.369283976165346,2.6409241120974274,3.2849875688481527,3.545398260246495,2.1748722827718057,2.2629098522040736,1.9994182791942825,6.7241017763197215,3.8296599166802925,6.479087678697272,4.722218505206461,4.4117980777459405,3.219220188319839,4.9454031951677155,2.927880001472201,4.577724281705114,5.988994445805991,5.732023263228005,4.820199772067205,4.4282695585611735,4.114266657675341,3.659383990082874,3.438944721884035,2.4042680655958035,2.4797085691941008,2.0510225918852267,5.207546992599131,1.5688176849821303,1.6684826814378597,4.712297276777996,6.692402075740684,6.224754909282406,6.468008537648926,2.7650435522814663,6.726298838008662,3.0108068459719215,3.617063969769172,5.073305968781533,6.570835931724087,6.061336443017557,4.299210084363267,5.204415462110952,5.807138707805545,4.042035876329287,4.433850137202589,6.114767378177796
A35,2.4355711804835556,1.0,1.856820729262375,1.8381740928854131,5.826355020786075,3.358498729807933,5.49192977463705,2.721548887835482,6.4903550529573595,2.078876306345662,4.2227362818357514,2.2669577353053447,1.9767040972888394,2.9774848779658827,3.608298437300785,4.833501972029239,2.652270663810961,1.6295498498667964,2.2888143996156103,5.537310454642003,5.064608628025985,4.957222524109266,5.2217592496126075,3.9445957253206667,5.703269059172241,5.628266072650668,5.30210006955874,2.7517317141729922,5.360459982886029,3.7078927159181916,5.630196821171847,2.8898801870595343,3.209227158813445,3.643217406616082,4.8560090874535105,4.361750670364704,4.071804106516594,5.388129345975414,4.900787995679101,2.5591886647189805,2.5426706376347155,3.618730868987186,5.687296887546449,6.766209070824358,5.834627685733109,4.288461538461538,2.2097137093088532,6.911202170848365,4.126635502854778,4.630440501854454,2.500160250228002,5.678969643065001,4.675246574626839,3.324260113660628,5.753646349901901,5.947506262531562,3.6493306356282913,2.135479470729519
A58,1.0065398559894092,1.856820729262375,1.0,1.725697177267383,4.347002170722758,3.3808192453508576,5.537050123387141,3.770742364145587,4.067331540413139,1.45,2.467697516923386,2.1437010357982658,2.388581962289898,1.6151178361589937,4.801204714562672,3.571068675131861,1.9674214442249731,1.6756777676158543,1.6074987354333987,5.055866221802965,4.064298026533888,6.301637156178323,6.206378993714137,2.0075476035497766,6.608607136701996,5.542787355439539,6.605991442352014,4.115835309031983,5.170210907397227,2.2928774060573525,5.74130643004232,3.249246367362005,5.313669873659094,2.470983199824761,3.361921038324925,3.5668365913834874,2.8349466095681697,3.7295257054257225,3.0442385292508867,3.9487142191122464,2.040314870900822,3.932742360022436,7.0,4.029321507128315,6.105110270266983,2.3627743313091862,6.56251438164691,3.710728645226616,4.660819428050713,5.449398174792116,6.651676972837837,5.6250167069261074,5.987343729113221,5.778638650862193,5.767178632150495,5.269450544467096,6.41855969008305,3.231454078752548
A63,4.05761904688071,1.8381740928854131,1.725697177267383,1.0,3.033754247963044,2.483136668289706,2.379314103309791,2.001317460912101,4.248855646452948,2.3617101572313484,3.056906115150272,2.171829648499976,2.0654341552607467,3.7387738564298716,3.4603454327744108,6.157332444984937,1.4557531154737435,1.0,1.1329502345510165,5.858512921876047,6.677731994235651,6.86616872380914,6.083195108223103,4.13726091446635,2.3828838511354684,6.356236423444727,4.268155618957515,4.813063511726222,6.442627172647117,6.400322979096465,1.7383603199922735,3.9613231539846225,2.7552452008261175,3.515729027892484,4.071220245938845,5.827525288097863,2.279622197243321,2.4325257568083565,2.867515726788064,6.564855957212067,1.8424952971689517,6.783365378074009,3.3100451942597857,5.914524011437181,4.940292513060484,3.1402804977603123,4.657629427326056,5.932737615601061,4.241941651062308,4.320430371934936,4.391368404068019,4.308729869052419,6.4879298337749525,5.650560336750915,4.400500266109965,4.053440736817681,5.649796226287706,4.496170189550998
A89,2.258998083932078,5.826355020786075,4.347002170722758,3.033754247963044,1.0,2.1193877478378758,1.92027845461351,1.9115831835857477,1.9699194792186667,1.7301865217558476,1.7054563682569046,2.022559087799704,2.5336063162687417,1.6602776668826214,2.2139190112062437,6.920132469186311,3.9851739884246076,2.2580188388659552,2.7296439564167176,2.7244143268823384,2.5041624955038033,4.861486801459125,6.067283776649633,4.691871079544984,4.912413400980347,4.9124875405530855,6.284797089854716,3.5144372831352007,6.467997525430389,1.968757103106062,4.645901631812778,2.4114454672496626,3.7771788893266067,4.634093750625049,3.5099119196159325,6.966391863854356,3.7113765142309036,3.9625834577333765,3.9033531312545304,3.7796588171820433,3.8303437831307847,5.512375650648487,5.861231086950836,2.935522277070664,5.454970763501398,3.6192307692307693,2.9125250689530158,6.678327971633918,2.9837056596623763,6.226143088741151,4.955342902831709,4.843392114387668,4.32031080785504,6.920060747634903,5.958677145499529,2.9138884397987965,5.49192977463705,3.1085903280929372
A94,1.3896942788211883,3.358498729807933,3.3808192453508576,2.483136668289706,2.1193877478378758,1.0,3.056906115150272,5.170323088365401,3.614123940137117,4.027807542726149,4.25851777242863,2.7262937370802622,1.8226594897541257,1.5425455734515539,1.7750478709108553,5.326597274245003,1.8888703245690943,3.2646793129287888,2.6536140462802487,5.687094557622303,6.54134547383306,6.106305128968068,5.162632553509432,5.718526851159371,6.876450885815994,5.048978402468958,6.631090926751728,3.614874843449866,6.564314005245977,4.793001705444498,6.13918232332503,3.6560294820422894,3.229794351300415,4.285205287458223,2.7514458318085118,4.421865571016143,2.552571821100879,3.44086442721275,4.12737236671095,1.8643226859891424,3.8733856306442314,6.898117760488981,5.8643026921314,5.488514105211734,6.882987432285409,3.3770132197783957,2.8253502546866534,2.932844822951851,3.0505292855679667,4.92131622359593,5.713810700666327,4.714655645294899,2.797674366382099,3.224476615496124,4.4848776139123325,4.369247638290529,4.261484507097293,6.47505224733625
A36,3.747435650221989,5.49192977463705,5.537050123387141,2.379314103309791,1.92027845461351,3.056906115150272,1.0,3.8407217053777645,4.305559201085832,3.147766797400715,1.553257303506389,1.838738476251302,3.009185694935071,1.9594697630042257,6.1093965385426925,2.722128052276653,2.469324752034792,2.179123114055985,2.1139241950212053,5.000589813321475,6.536991840811858,4.564211318727496,5.677576263034011,4.918710899733719,6.2946575092463455,5.188699006934795,5.505831441162984,6.021906576774583,6.872498942040965,4.840966858248456,3.7398377475657654,6.568009169057534,4.501967957537873,3.054478668901569,3.1971112185010715,4.438229436262695,4.886910881622812,4.8260093106417665,3.095669574284724,4.531158149263517,4.156264085614122,4.297406412689654,4.257754030827987,5.498872252367897,2.4234615014864005,2.7495295137833686,4.353070825235794,6.418248797078248,5.120832272756575,6.067460684599281,6.725453904922881,6.358580869717993,6.3863297783049,5.4379556729311656,6.3057123365870975,2.4240271411353156,6.2656188234819306,6.688546535760047
A42,1.9434416410770632,2.721548887835482,3.770742364145587,2.001317460912101,1.9115831835857477,5.170323088365401,3.8407217053777645,1.0,1.5164945606598894,5.054429109741534,2.9173603280135016,4.809665547887051,4.243771506603814,4.0806054319062675,5.2176652185489045,1.981837240704573,3.6939000646834264,3.5836045548565614,3.3377663063875067,6.747890693518645,6.750111058178895,6.290211592638312,6.0065717248281905,2.419264117106949,5.250306456713602,5.2676508413595355,4.872212534890491,3.0538714573681904,5.457153112103374,2.0680261588181605,6.110227653623165,3.75387724270444,6.830456405698468,3.853397694042224,4.246227363478246,5.201240084299682,3.3888206906122367,3.91976385882442,3.494670865822681,6.403885728288559,2.910946903887841,6.3120911161045195,5.002450862871901,5.971205505692035,5.480504526562419,2.966280535724682,5.077426864022604,6.287749010945507,4.411063691051268,5.572967770429415,5.466229466274928,6.25292386657513,6.508387590344434,6.324557280936398,6.0044491536606674,6.1693350314915385,6.349332314011393,4.5508153900913975
A47,3.545931216013314,6.4903550529573595,4.067331540413139,4.248855646452948,1.9699194792186667,3.614123940137117,4.305559201085832,1.5164945606598894,1.0,2.195235871162029,1.7988177133035883,3.5272662092288405,5.515526955946967,3.8296599166802925,4.860946834319526,2.868033088509664,2.170001524234677,2.2699878255453676,2.7273050922522986,6.283218337449933,6.770741079023297,4.481532921206926,5.865758345417271,6.851159956088393,5.547621931022657,6.290892308418362,5.941803782946521,5.605118055281297,5.892904057067507,5.72637778197603,5.894120926300358,2.83000110627602,6.500517261335189,4.045951733706063,2.910090531079608,5.737700323986071,3.430921695919231,2.973598971970735,2.8004480533643803,4.68090994138968,5.653259299658805,6.668710901063646,5.191575626196891,5.038245187236842,4.811106969955327,4.011705412886061,4.174088620925445,4.696500020596545,6.192596146634976,4.1448344769674,5.364839838278256,6.434715044205663,6.154568875439763,3.937083133226589,5.240187697495314,5.30154064478519,5.290571144953308,6.300765153572927
A59,1.591257119114418,2.078876306345662,1.45,2.3617101572313484,1.7301865217558476,4.027807542726149,3.147766797400715,5.054429109741534,2.195235871162029,1.0,2.9665946148810733,2.01069543656771,2.2479421608670114,2.4960218311041427,2.789811997233429,1.9097484764781136,2.183968641772429,3.1742681658730083,2.0263003771802444,5.397010456297828,4.986607750130408,6.0006909386313225,4.560287200031631,5.23953815686341,6.102485384648672,4.520254476628324,2.8777066508753375,6.244319394004023,6.348332516395565,6.460074540824207,4.791219054518318,4.031978639338137,4.533830967843898,3.3542095474285505,3.7400585123995604,3.426359151241941,3.6469982371063545,2.667507900897623,3.262804595660664,2.561275578750492,2.78485653992941,6.771296866470831,6.512936571093812,4.499535532323362,6.387758476647319,2.51777648916972,4.4880557981066405,5.082930007588362,3.5151262808280617,4.73027813134671,5.195552556188009,4.890264990616641,6.230546353339294,6.128784902836829,6.445778060779411,2.677215129410874,3.149671782352357,4.068372586445367
