,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.7636472090624233,0.6105736529679249,0.5529220664404116,0.7496740809057446,0.7985357819637655,0.7399767274187813,0.6778619879248708,0.6725197782098499,0.6495760237785418,0.7558586154995336,0.673991208776666,0.7024607540660598,0.4657114637886501,0.7948157051821809,0.6936835740997569,0.6787823820469233,0.6240147334159335,0.7065024715315819,0.6792891476423603,0.7593560342039458,0.7293142976868796,0.6838254035088341,0.7607680914032497,0.6957675889178221,0.739083857675691,0.7370817097585414,0.7276476825077928,0.7822364542203775,0.7324867193280397,0.7601006706437443,0.564091343655645,0.8207378617473741,0.510747984277697,0.7365512607785671,0.6527710052939322,0.6497786563769781,0.6230580213429844,0.6610730590902657,0.6493456437189296,0.7051872216219361,0.7656479250243536,0.7166073420589807,0.7207139875052685,0.7041809150514394,0.6810027749994212,0.6009574890989995,0.7078770257141953,0.858580378720032,0.6367393913352212,0.5323627790773824,0.7541373934685371,0.7724603354051184,0.6221791767231791,0.7337355768635483,0.8718159947143759,0.8144726036775765,0.7860205147265693
A35,0.7636472090624233,0.0,0.5804174591489285,0.6567680136833506,0.6123175645638907,0.7215061331716979,0.5308674167888421,0.5531500577134064,0.5768327594607098,0.5923650832816818,0.46049312310053797,0.633728543874582,0.6779627900924537,0.7169700255142073,0.5856095995473867,0.6174009166151296,0.6523136824789953,0.6578814507823513,0.5806739151024917,0.5757082196971787,0.7830966771814128,0.7022309584705085,0.6217761436290777,0.6988998822476048,0.7392895978276199,0.6314586561347982,0.589250229451382,0.5756781881051153,0.6048547482949145,0.49816040272220546,0.5636937023722202,0.7443477885273564,0.7597018670776978,0.7284463320537515,0.7010602133177668,0.7044922085375415,0.6600843797260052,0.6620096332921246,0.6881111830948092,0.6751882262689908,0.6130132326846924,0.754836695014838,0.6978358884310746,0.614392723324515,0.6208009527026924,0.6475461138270122,0.5978993961307888,0.5566376726271565,0.57062936238434,0.5641851458215961,0.6118923902550706,0.5347313301584112,0.5537439366174798,0.540782276763578,0.5720786269126747,0.5873697673433591,0.47803525499885646,0.5859688931287043
A58,0.6105736529679249,0.5804174591489285,0.0,0.5729956669963858,0.5497385296182093,0.7402922794117577,0.5601222535235341,0.6682665675280545,0.5591156926370084,0.6407554473067841,0.6170227682836694,0.574060607933794,0.6737561893857326,0.6531535673078046,0.6167650439814918,0.592354313224875,0.5385703445158003,0.596414949239992,0.4954668268231655,0.6108032250694838,0.7292937372008326,0.6141853700366082,0.638242682771201,0.6281414656035901,0.7330779539943176,0.5645987060242399,0.6963793491850089,0.5981805687642614,0.6193713817969155,0.6085069372331595,0.6694054899593496,0.6068039602129834,0.767355579745615,0.6272848181378096,0.5125600669535,0.6799278197247283,0.6203915856998896,0.585438728962318,0.6218050245035573,0.6256451903465352,0.5839367044723227,0.6961815422739933,0.6068309671907126,0.635976546173863,0.6664376143373023,0.5303147363072458,0.5781150651663403,0.6269097068449392,0.6272462126469691,0.5457598449977656,0.5685699229124592,0.699399683064221,0.683996756157702,0.6520139465482163,0.6582323789546355,0.6954072879667665,0.649495355675619,0.60713869668789
A63,0.5529220664404116,0.6567680136833506,0.5729956669963858,0.0,0.6858506156572388,0.6735588695923058,0.6070873714660466,0.5302360952733763,0.6046556140292632,0.5152438968603337,0.6671695553369945,0.6119362969055587,0.6270510628209265,0.5667471885122555,0.6259788904365733,0.5795386485749484,0.5721672167665037,0.5144251382308993,0.5460959708442837,0.6262987612131782,0.7694256105511907,0.5997527842282444,0.6178267054525712,0.6559694637372064,0.6996420008302062,0.7276094366299461,0.6118894349010463,0.5843324367824838,0.7374077109919378,0.6214887412489505,0.6583800078885778,0.5844851218201117,0.7979523779909071,0.5462340131702548,0.7103485735701038,0.5888900103354446,0.5544199402941254,0.5840135273429021,0.5852549259176232,0.5569818454458811,0.5487679701082453,0.666589388899622,0.6674609865923252,0.6056412443524201,0.5979803165886971,0.6219137518687837,0.525183270079107,0.5860420931828623,0.7185863147665732,0.5404637259227523,0.5413428375821776,0.678566148948345,0.6289472749316817,0.5416151435699941,0.6220145627256829,0.6650717781552371,0.725924745570319,0.6383305159261087
A89,0.7496740809057446,0.6123175645638907,0.5497385296182093,0.6858506156572388,0.0,0.8653856441706543,0.6004317790709626,0.7067285057622724,0.6018435241337932,0.6596916883183218,0.6248324923038562,0.5090005916184331,0.6802639345124554,0.682259258613798,0.5526389300568223,0.670665474030223,0.6046819904304286,0.7531111363410312,0.6232789115355585,0.448024061754986,0.6154893657043563,0.5409545685058975,0.6110998768016955,0.613222989024689,0.6078618488186175,0.490657859051363,0.6269747502947987,0.5791822667197837,0.5994994982151173,0.5887827760402634,0.6581851466989616,0.7602834292913137,0.611126265028975,0.7933568950280425,0.5542382885168945,0.6947544747364428,0.5844898336616859,0.6411323580119631,0.6370831428778201,0.7105089794979541,0.6372237202251293,0.62417200225973,0.5671721260835854,0.5046360140124558,0.6281037312644322,0.529795677192159,0.5993881722437039,0.6324969677485407,0.5654702970722449,0.6367048662886324,0.6957081480668623,0.6875148934840589,0.6714678657607535,0.6094198802479058,0.6267613616849175,0.5535331418398022,0.6418082934008411,0.605975227801219
A94,0.7985357819637655,0.7215061331716979,0.7402922794117577,0.6735588695923058,0.8653856441706543,0.0,0.6473621425155539,0.6222987307783432,0.6913904827777206,0.6294930999020221,0.5839215098030459,0.7767465426730166,0.8104138961503043,0.7648819010612103,0.7870602248025997,0.7419094284548319,0.7084739149613044,0.6233076314934058,0.6914804155480115,0.8027387119466165,1.0,0.8142067176650014,0.7434855366818209,0.8910443610271355,0.943343811217711,0.8478216444800866,0.7121383016520794,0.7215808280087059,0.7842737392108357,0.6739286092923917,0.7534059440336526,0.6785139482868419,0.9898916359449406,0.7454807588246757,0.7812863598524962,0.7258656210595503,0.8617393524178895,0.6981356770635425,0.7415791625104086,0.7267983266129392,0.7288733636153228,0.9438122585068344,0.7904710473232093,0.8841176635961573,0.7022819675830564,0.729434448570441,0.690289870805822,0.7481640173296867,0.773101527120669,0.6765428851172226,0.7415115147312488,0.7473124778802829,0.7639838106790304,0.7288566362066858,0.7713420669938564,0.8566402766612821,0.6999984679085617,0.8132915743462218
A36,0.7399767274187813,0.5308674167888421,0.5601222535235341,0.6070873714660466,0.6004317790709626,0.6473621425155539,0.0,0.5401806481139718,0.5554114847114127,0.6292958018122728,0.4588797331628733,0.5602225936255245,0.69717656296425,0.6802912721781602,0.6522043009218329,0.6573227937439391,0.6226246742597306,0.6350079847526945,0.5842625441544774,0.5983347496881062,0.826790936034535,0.7003437910623851,0.6131210040728753,0.6348922746274897,0.7726043235903136,0.5807618136420839,0.5337557590100032,0.5532961623662765,0.6375732463209806,0.5079852944637718,0.6125304094340933,0.6849116914710555,0.7663543263175229,0.7333478459528829,0.6171120361684633,0.6889380591611511,0.62307731439959,0.6673912351482573,0.7264428226588314,0.6575790956111708,0.5767848392469589,0.756583005961193,0.6409029236420296,0.6425790266449717,0.6296372393471663,0.6006355764893349,0.5998856289844331,0.6862726434801146,0.5947466011455254,0.5058942548939527,0.6137161161275045,0.5841740844967581,0.5339639061961909,0.5483925588436307,0.5207405834798835,0.6481407980214416,0.6154394232730263,0.6251860051126005
A42,0.6778619879248708,0.5531500577134064,0.6682665675280545,0.5302360952733763,0.7067285057622724,0.6222987307783432,0.5401806481139718,0.0,0.6273720557149025,0.5657557437591803,0.5329581134037519,0.6687413600718994,0.621858466016888,0.6211730255184315,0.6571774801265826,0.6811441268043119,0.6151549242027874,0.555950135842507,0.6076343571146888,0.6463478250342996,0.8062447360338081,0.6632422036865163,0.6985912122683412,0.766486220760326,0.7160228346575639,0.7403227786405518,0.5302957814558273,0.6278207519256878,0.7193509738385513,0.5866532067399217,0.5040186145449373,0.6565336019496687,0.8337328868523833,0.6320942846836866,0.7991442323448278,0.6629750974036546,0.6247689699421672,0.6460879732083995,0.6526708554285079,0.6052130986623703,0.641456329228417,0.7724103325713674,0.6744297167519,0.7157488691333644,0.6314315939402361,0.664622031230851,0.5908025400333358,0.5885130419889278,0.6459160430281067,0.5654013171630337,0.5958715589133332,0.6705292849621901,0.6289076830123798,0.568831919737451,0.6010696154389067,0.6555026825978971,0.6518752471236521,0.6647391182391377
A47,0.6725197782098499,0.5768327594607098,0.5591156926370084,0.6046556140292632,0.6018435241337932,0.6913904827777206,0.5554114847114127,0.6273720557149025,0.0,0.5711115065474008,0.6262191609938942,0.5158234046221345,0.6108460486011856,0.663210165409463,0.5417074717227011,0.6313249698972637,0.5496980593791759,0.630587180123668,0.64876201724168,0.5455574101051042,0.6501684730923797,0.5647516558981541,0.5094369499188317,0.5227359210703405,0.6392745501040055,0.6134938908015182,0.637894704664804,0.6508424606786877,0.5962053972077718,0.5431191465629959,0.6769438200984745,0.6349708101831174,0.7193019549468704,0.7221578237498252,0.6442422101501424,0.6704631852007616,0.5741097681275549,0.620708674167969,0.6210996752924899,0.620248268462102,0.5231128182674307,0.5859548100124227,0.5729233019740423,0.5795016501302342,0.5348442259154957,0.6446094346489696,0.5371334054214579,0.6002726645153779,0.6116024677253151,0.5748438488295625,0.6767412945631066,0.6783302892541598,0.6938779078799406,0.5072370613378007,0.5819162174994139,0.6332829751775603,0.6078608190241432,0.5965508593353533
A59,0.6495760237785418,0.5923650832816818,0.6407554473067841,0.5152438968603337,0.6596916883183218,0.6294930999020221,0.6292958018122728,0.5657557437591803,0.5711115065474008,0.0,0.620197455198161,0.6189007634832162,0.6471429323386899,0.6203889904586892,0.5727783406736487,0.6320838529927886,0.565925792804617,0.5278710463076847,0.6013858820219843,0.5936328928495658,0.7585875824889083,0.6371493984699406,0.5917994943594346,0.7397989751232724,0.7206874744555172,0.739570246183499,0.5804070029353914,0.589651617922081,0.6318950602686186,0.5162370197677167,0.6976566328309562,0.6351974279075752,0.8217798298450809,0.6511275328741395,0.7168524814265428,0.5581199908062422,0.6101313664762421,0.6000969240219003,0.550219268487785,0.6258726599487148,0.5581391376264511,0.6885228775937939,0.6589725103498283,0.6544243757589232,0.6117066071037869,0.5995660188387131,0.5472422511276256,0.5722901390547172,0.6704708365797756,0.5981245322712,0.6159345472414179,0.7373611946472949,0.5819927263746422,0.4978739572322765,0.6542956272270926,0.7011120534590812,0.6791000571852946,0.6946953949844402
