,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.7399948014801511,0.6490375277388113,0.5399732280645844,0.788542914229141,0.8023407540520229,0.7221092257347067,0.6341370935414454,0.7181580098901476,0.6929751726156796,0.7267192824186203,0.6798028325899289,0.7181456770201573,0.47999914901599083,0.7805149196240707,0.6500130023106017,0.7993761637706325,0.6108533487552433,0.7143109223499616,0.6887064429800537,0.778443787871074,0.7494694654360141,0.8160934992707998,0.6666429297236997,0.731631344589534,0.7719278691212759,0.6497971246563762,0.7874665648008298,0.7183152107916178,0.697500165606545,0.6349111200612161,0.702336693357971,0.6510596344769184,0.6008477543651936,0.8068775960574358,0.7933609314845639,0.6821648383016915,0.7018138055088928,0.8554590591907943,0.860491368434401,0.7266203431213253,0.8012826150679504,0.6754919233637647,0.8242089524559985,0.7442451292656103,0.6655609565617051,0.6170290681084658,0.6462654651067598,0.8103074456202648,0.6531923847089289,0.5329470303315585,0.6565111241513418,0.6876011607674082,0.5849680895690126,0.6712910986678239,0.8540451818391381,0.9284447263521083,0.7522134463141182
A35,0.7399948014801511,0.0,0.5654666005061969,0.7548411998534598,0.5294746207816728,0.6843506356818602,0.5690056681381909,0.6579279881399966,0.6097178055407084,0.6507729948001999,0.5514720137348037,0.6245697561295087,0.7215592074901673,0.7541397646721418,0.5829158792778766,0.6312922596388566,0.6680640696190306,0.6449724429155468,0.5775295340240563,0.5762449797168132,0.7065536063543971,0.6747334766516996,0.6032643248678567,0.6362961545839652,0.763109646584227,0.6344754479657726,0.6136919037891271,0.6561378587334347,0.5764049606084662,0.5704298511998251,0.5690141277882141,0.6642766851468187,0.7144049789922703,0.6630967138441675,0.604393602846701,0.6982067307574488,0.6637888468068606,0.6909981385167459,0.7879452917079476,0.7813031684076528,0.7160163110757957,0.7780681049903473,0.6720247716458387,0.7199816134891835,0.5653449497418804,0.6077907963042345,0.6828476756289498,0.5942469260989596,0.6232477695868828,0.5849562238882589,0.7018515265731932,0.6267777399870943,0.6925478804201491,0.7088321632061192,0.7212730097179791,0.6842637062678756,0.7039556665389084,0.7080370078386061
A58,0.6490375277388113,0.5654666005061969,0.0,0.6963625182567811,0.6132299810455528,0.7905641295979919,0.6091646456966967,0.7089925582794436,0.6382130049702603,0.7059788616763317,0.707214741716522,0.675810371946955,0.6465797866275457,0.72665153031464,0.6089622629068562,0.6810020575258419,0.6768474319648582,0.661160109304994,0.5782955667400593,0.6497441958811894,0.746257547368979,0.6421274086315325,0.7182824441107151,0.6979551717592205,0.742278724801696,0.6063842894976809,0.6548963584440423,0.695510443564103,0.6854516171673585,0.7007406132366716,0.710080492062468,0.6844241534577828,0.7695553380135907,0.6755551010971645,0.6419464901331838,0.7194989890879755,0.6502182928301296,0.7126753154536795,0.714699124444597,0.8007890108581175,0.6976090980908399,0.7709961127322643,0.690119340906064,0.7502678221111286,0.6642482556132757,0.5987556970020809,0.6337302616766526,0.5699404333948727,0.7745461003182273,0.6327997512806061,0.6568072958991354,0.716402926454767,0.7515456545782656,0.6938806000037328,0.6464815573163826,0.71327006554118,0.7236151728941203,0.7288984260584785
A63,0.5399732280645844,0.7548411998534598,0.6963625182567811,0.0,0.8015355892690768,0.7461900868672815,0.6710167445335042,0.5431895258220742,0.7223419266222343,0.5856234126900908,0.7327460259813182,0.6844304082003134,0.6525246842918878,0.56142916879445,0.6818370188665916,0.6295737956288117,0.7562370151647104,0.5837448722568475,0.6974500485434396,0.646853888835785,0.83827077855142,0.7045523696312168,0.7922347142123816,0.6262204536195312,0.7237494284415529,0.8026318032748447,0.6010332468114484,0.7657537008630684,0.7325698106164862,0.7070891188774897,0.650097579457588,0.6677546126756558,0.6744095581937517,0.6362596240706456,0.8515728171426731,0.7522074859499014,0.6658808737681332,0.7547621260051387,0.8152470699772255,0.8848357072735232,0.6817971572763066,0.7371723313791647,0.6709430103139871,0.8038933002435713,0.7562457495277706,0.6461610559926458,0.5046583595481241,0.6290972875352562,0.8592459971976188,0.6712869921078785,0.5648226216921901,0.6432178191977176,0.5929686589192453,0.4989749202603973,0.5722939411982012,0.8183195635606346,1.0,0.7741698418900915
A89,0.788542914229141,0.5294746207816728,0.6132299810455528,0.8015355892690768,0.0,0.7706575191446713,0.5982413819623745,0.7283678241892719,0.680875304699414,0.6874204704893523,0.6771871007904382,0.6175066075883662,0.6804891825190371,0.7808424048720658,0.6367504300084897,0.7059586888428222,0.6245276511452884,0.7066672752000812,0.5477701701890769,0.5134870351090234,0.6865739132729827,0.6460604509647192,0.6112371209064437,0.687025245432718,0.7242389673584803,0.5459560641228277,0.6389921819935346,0.5729170981436568,0.6664666481485566,0.6859968842517972,0.6578095019674156,0.6677147628121829,0.7390682527882311,0.7023208779581208,0.4917797075966955,0.6117712895469022,0.6477693264958289,0.6568153169625449,0.6773552829304009,0.719415348797113,0.73323855122659,0.7235828816791641,0.6126071636911531,0.6537459114893884,0.6033678549865014,0.5711050802453017,0.6285517903922988,0.6256257892746556,0.6253115774461844,0.6271175948566093,0.7295360709004365,0.6838846879550154,0.7522341833317304,0.6792624343737579,0.7224397828117771,0.598533283613447,0.6538126658814213,0.753013025427812
A94,0.8023407540520229,0.6843506356818602,0.7905641295979919,0.7461900868672815,0.7706575191446713,0.0,0.6477933177210577,0.5843718090710865,0.6536346473792566,0.72275187116665,0.5170661582639742,0.7916704648135682,0.7874224367497873,0.75582799775172,0.7366433050774622,0.8368725832909546,0.8037703838168463,0.6868629442387099,0.8152603282200348,0.7202735921712466,0.8981141404195824,0.8169398417528226,0.6264235229866929,0.7037886954439504,0.9299745261901812,0.8260420376124432,0.5983742533903843,0.8181866139818708,0.6277023219450979,0.5628192693503824,0.716964460544362,0.7264706900318927,0.8096706090260427,0.7939771949980063,0.7454508433349637,0.8377293893287456,0.8470845025719204,0.8167485198733727,0.8984353146094658,0.9521571925389661,0.8261610704354021,0.8625225249445917,0.7797028512962545,0.9211634564035711,0.666625026422701,0.7313730083495528,0.6953424931680053,0.6954155196766649,0.7944668033867842,0.6825076997184518,0.8182588521981579,0.6578557505217337,0.6646978698874655,0.6990200634310907,0.7007762097351646,0.9175838167680059,0.8744206158412783,0.8364929904126999
A36,0.7221092257347067,0.5690056681381909,0.6091646456966967,0.6710167445335042,0.5982413819623745,0.6477933177210577,0.0,0.554914602843026,0.5593320924218025,0.6764688817361654,0.5803087710035904,0.6299508965146238,0.7074447460922753,0.7149159376559511,0.6704780914308027,0.7146734478856112,0.6777397650586583,0.6105337716474136,0.596804493201381,0.6086041626092031,0.8134636195007774,0.687425707927599,0.6661755817000566,0.5891648868116623,0.7464723413072273,0.5736995286379994,0.53248538768029,0.6565359647353931,0.6296638515513925,0.5736475294924986,0.6003492536722338,0.6233162605439825,0.7029636868098049,0.6992388168884633,0.6165500471122284,0.7439562526873609,0.6811623502735387,0.7997136558458939,0.8250053084559618,0.8187624889286064,0.6940144191015832,0.7774698832039143,0.5900269712209553,0.7546969719574991,0.6437510161360657,0.6333922437446058,0.6717087710391673,0.6355818002482854,0.6472065902459864,0.6177324415897257,0.6931256511956224,0.696029218495653,0.6279333496959134,0.6441752609178845,0.5975567332376707,0.7329294606630349,0.821156755899163,0.7536650376637513
A42,0.6341370935414454,0.6579279881399966,0.7089925582794436,0.5431895258220742,0.7283678241892719,0.5843718090710865,0.554914602843026,0.0,0.7044348787665276,0.6598519408460257,0.5362733341049809,0.6686344596993423,0.6675432416026719,0.6394396664872747,0.6963905764460608,0.7047227818207045,0.7241145757071861,0.5507937515422975,0.6834371800659728,0.6670321349688519,0.8129880375694879,0.7443390974914142,0.7212375224179094,0.649618083930336,0.8062123100989983,0.7534585230466958,0.552423066591578,0.7288037347787957,0.599986160427347,0.628614128218293,0.5625582063628547,0.6545566033835106,0.7591048026117445,0.6053710975429639,0.7372130616068666,0.7483330897358812,0.724557901984506,0.7832798204748272,0.8408190922160421,0.8743646200016877,0.7619099880484482,0.7888794246452506,0.6637778681729007,0.8478983555279901,0.7019319717754994,0.628745713009796,0.615918123434171,0.636768155701087,0.7308310845398328,0.6404230721559965,0.6724471591483483,0.6848311057784747,0.5705191227205322,0.6384875627963471,0.5977049516703227,0.7774105944757802,0.9393490807481237,0.7474482800012222
A47,0.7181580098901476,0.6097178055407084,0.6382130049702603,0.7223419266222343,0.680875304699414,0.6536346473792566,0.5593320924218025,0.7044348787665276,0.0,0.6455813826499971,0.6659566281069683,0.6614552082448574,0.6648640732198323,0.7821314171078602,0.6657231055598699,0.646301124406131,0.5913458139565093,0.5556143367602686,0.6522090276662021,0.6193518170539646,0.6616218913844455,0.6000961155826412,0.5989205015180307,0.5243360256497401,0.7007952510656503,0.6372857425367547,0.5719343371969482,0.6508162385899556,0.6388917948071781,0.5270378339293288,0.59927980406065,0.578458334325928,0.7335968757782789,0.6975183529636956,0.6515303990269369,0.7120207892696515,0.59849614566332,0.6664827681529185,0.7264386959204977,0.6684199394275754,0.6153777365860301,0.6178633436206381,0.5887076971053391,0.6932317214189118,0.5477941794223152,0.6659005412378357,0.674504333618316,0.581127803000622,0.6240473048628661,0.5955126963451726,0.764450626506068,0.6995370797368811,0.761528870796958,0.6897568368153779,0.6883521247088152,0.6760265905482437,0.6581435026187007,0.7056504725667491
A59,0.6929751726156796,0.6507729948001999,0.7059788616763317,0.5856234126900908,0.6874204704893523,0.72275187116665,0.6764688817361654,0.6598519408460257,0.6455813826499971,0.0,0.6986198007919618,0.5804047312676306,0.5980682698249753,0.6723068646182296,0.5991243314433206,0.6426447071579445,0.6184406730411772,0.6049006904688868,0.684454830325505,0.545900300658177,0.7002590042662366,0.6665095089843657,0.7021909125194195,0.6911584251784088,0.7794539199432083,0.7426362388006514,0.5676925918993865,0.6732217291162617,0.6048250594633331,0.5746797096338465,0.6787332631934584,0.669681458718562,0.6884407332493997,0.7172656791855062,0.7371890104065234,0.6831387837628837,0.6367268277072916,0.6969731189738305,0.7220516203947932,0.8027671072371155,0.6923920910590775,0.6719882326249709,0.6196561452888664,0.7259123630557942,0.6754330710665256,0.6293260036530105,0.5328949421469406,0.5736404192853202,0.7319690763310952,0.6657843401383121,0.6715089357070644,0.7303050631418952,0.5694724134413242,0.5489194387052766,0.6895337303023382,0.7651810014943856,0.8676388950382826,0.7020798760383201
