,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.8313110113228362,0.7236553640658853,0.6096155868716074,0.8109512989168658,0.8268891340818146,0.8091722291748003,0.7100072313305257,0.736342456844314,0.7236912246968851,0.7778875904435981,0.6721876187436332,0.7021451922664682,0.5285840916297773,0.7756646441696315,0.7389385510775778,0.8074654266370151,0.6837289301596181,0.8020447353089868,0.7322135518191288,0.7584179011296147,0.7382917364153773,0.7614549142095662,0.7602305157108228,0.7245779400109587,0.820020626348046,0.7395633994931529,0.7972094447416525,0.8413104062156734,0.7426505000584611,0.7377552892489152,0.6544264069276362,0.7978159051336372,0.6115051591480335,0.8963231355537017,0.7715779976242719,0.722383554715825,0.7359462061741894,0.757135117315547,0.7387411727411176,0.8236866210087266,0.7958394641805174,0.6976573099810487,0.7513831716869548,0.7325898325830579,0.7529524754605883,0.6637014204749203,0.6832906021902811,0.8954061144358685,0.6854247973454111,0.5701875540975396,0.7258252243630074,0.7485393164898495,0.6293329685976556,0.8126811378281509,0.8284714382553485,0.8437141104967135,0.7816904084403083
A35,0.8313110113228362,0.0,0.6877058933852002,0.8464303957048211,0.6359886550869729,0.7590392473721774,0.6631445498777883,0.7154235847866177,0.7140079577176107,0.7253889096342813,0.6000247541352055,0.7147306302602344,0.7547483552099256,0.8384727931333025,0.6789024410719291,0.7154906663618603,0.7025536457524453,0.7442300330233397,0.7033817574080079,0.7047525354805981,0.8110030149557245,0.7801007145735813,0.7096020582537487,0.7640008374031043,0.8745664184268954,0.7447992573770189,0.7316633703122662,0.6910802361507373,0.7424315022935274,0.642662448270381,0.8172777093357124,0.7129373265616946,0.8985880769642253,0.7327906297860672,0.7619603854631851,0.7803147704844487,0.7871203164595897,0.7467853534082479,0.7731649773665787,0.7882890054568107,0.7690007647232134,0.8449464723948903,0.7679383566228896,0.7194313293892334,0.659860587162465,0.6910035673074104,0.7301209669201878,0.7043896692515612,0.7539710149747966,0.7222288469808055,0.7768686042249923,0.7170745768369088,0.7519852737450009,0.8026819115369503,0.8554153721870386,0.7322135456314385,0.706123424078984,0.7469967627750234
A58,0.7236553640658853,0.6877058933852002,0.0,0.734467751183301,0.6899321766197718,0.7689186300855778,0.6691737947731157,0.7654950253967997,0.6799711060636163,0.8183019498690582,0.7386824657121168,0.7336670485716529,0.6995098488364925,0.760144282907432,0.6765424799256156,0.7778858042226794,0.8019969903714913,0.7937631344625515,0.700792008872135,0.7247137136247729,0.8546011313644499,0.7134066995718414,0.7028505983112832,0.7630036977131291,0.8360415353023865,0.6895320518498762,0.7902981252057916,0.7702179019233998,0.8414522378355311,0.7451202594371495,0.847686403503011,0.7182789283794407,0.9281082250022917,0.7589726687235102,0.7882299398312776,0.8500781341656605,0.7847740573937833,0.8486025552951674,0.7851387750543317,0.8355898831231703,0.7995237079538323,0.8324399411106012,0.771951437030297,0.7697255743470413,0.7067024754520882,0.6530181533379084,0.689352476209142,0.7089933930335242,0.9337398752296512,0.6590159692215001,0.7315975049315449,0.7644357696039754,0.7368430038408873,0.7795307902503568,0.723131262770223,0.7630382623574616,0.7409116743539015,0.7526818907937655
A63,0.6096155868716074,0.8464303957048211,0.734467751183301,0.0,0.796181379194887,0.8096951244634635,0.7298450778479109,0.633621568187147,0.7547196825158528,0.6870973018223142,0.7979051879607003,0.7130814863372908,0.6532570645078426,0.6168050069989418,0.6693032216452424,0.7640798590750321,0.8259873225442913,0.6736500346803679,0.7097296905111252,0.6389867280772901,0.8426359865541514,0.7077454350578987,0.7153468841191793,0.7312557420026645,0.7382671585337109,0.8589396611926383,0.6642211771633977,0.7385318145474513,0.8840843657953676,0.7265064043284561,0.729558221923397,0.7299786880306302,0.7915751777241272,0.714209868141431,0.9157127662423422,0.7456498775627357,0.6661373383281204,0.8090695042995296,0.8003267979661033,0.7764761027354906,0.8194496785079843,0.7877702836550411,0.7304202666981087,0.7612546216765166,0.7434324435486434,0.754486862871949,0.6239671341784283,0.6794937830633095,0.911617378417307,0.6509179885976337,0.5816609214753032,0.7359191820080708,0.6569502429027214,0.5754934075520004,0.6851501417049501,0.7584811905320443,0.9305649566251953,0.8094520685161153
A89,0.8109512989168658,0.6359886550869729,0.6899321766197718,0.796181379194887,0.0,0.843034757932488,0.6744912851672915,0.7740912317119009,0.7014097398075888,0.7460877353820241,0.7095260940342876,0.6502922072801113,0.7482106328829828,0.8334938303625036,0.7164344306013584,0.6977500182009232,0.5965008418425021,0.7363969502948952,0.6145873695459383,0.5736630574482745,0.7078445994776709,0.6513833081284773,0.7373335072235517,0.6544228199318559,0.7682099833537914,0.5945517920134071,0.7007622908340504,0.6655158947892713,0.7661306518457739,0.7039715097719015,0.7986021550529029,0.6609288080590657,0.7988778220332167,0.7448900932488752,0.5627286396683293,0.7095858997995231,0.7057245907417028,0.6806645884741114,0.6863925190046479,0.7521890556170866,0.6965842220730807,0.7183364660160423,0.6763596257007713,0.6534836737233214,0.7197825537659299,0.6251312693099011,0.7007019498760624,0.7596219272873599,0.693279147460571,0.7395335455045968,0.7718008628951384,0.7743292671080954,0.8197329164665313,0.7957132285228878,0.8785163307501667,0.6653720689471518,0.7674304839659387,0.7976437438376481
A94,0.8268891340818146,0.7590392473721774,0.7689186300855778,0.8096951244634635,0.843034757932488,0.0,0.7338445364205693,0.6836168605546388,0.7032136429456083,0.7264191992198253,0.5844627674179887,0.8205237856776009,0.7248738821476077,0.8091503263094768,0.711263382865154,0.8433349271058127,0.852664354376198,0.7548647429336364,0.8513249892290837,0.736151914815396,0.9679686574609647,0.8651626974017509,0.62461825730547,0.865647344364532,0.98106555537638,0.8780370859656993,0.6603104142822,0.7983452852831002,0.7763946562701546,0.6416517605421403,0.8258817059703556,0.8162849746489055,0.9561144508756959,0.8352320747590585,0.8220889755637317,0.8572793720565278,0.8996318179574838,0.9196879170304572,0.8602075940760888,0.8748606806741783,0.9162412554532993,0.9158063855456732,0.8123112656539616,0.9326048369539693,0.660841005742445,0.7757350345166871,0.7257050589951848,0.6625998017356366,0.8762133522680337,0.689810066618369,0.8474592713647696,0.6880442151363991,0.678857516170519,0.7071719998715995,0.7940196641588512,0.8816242523877984,0.7174422357771282,0.7835010792246785
A36,0.8091722291748003,0.6631445498777883,0.6691737947731157,0.7298450778479109,0.6744912851672915,0.7338445364205693,0.0,0.6357595250397036,0.6319719317110051,0.7724214912993194,0.6481484747402763,0.7503626388900572,0.7099978997629531,0.7843981989859277,0.7469595329726204,0.8088976478570599,0.7430150734655028,0.7171635196212108,0.7080212845953057,0.6435107062869679,0.9275656739805667,0.7478620346925533,0.7001475325499038,0.6999407087160578,0.839898661179512,0.713054414639646,0.6282766211299353,0.6834580632772135,0.8173724621364457,0.7050249501082223,0.8208352362410878,0.7177943348464876,0.9027537516781137,0.8175941156015489,0.7773768988068439,0.8187486699893823,0.7431113409280148,0.9187405200003701,0.8598262779104225,0.7997852414197176,0.8000067443881005,0.8131465804970027,0.7363134935214027,0.7774580732258878,0.6689325286874547,0.6892859979726538,0.7464242007345389,0.7334648671942416,0.8140493410562771,0.637963345677041,0.7467796225020543,0.7485004754531066,0.6222039362221732,0.7528642046768296,0.6831284543929771,0.7992558166738687,0.8115634627423897,0.7755048331584655
A42,0.7100072313305257,0.7154235847866177,0.7654950253967997,0.633621568187147,0.7740912317119009,0.6836168605546388,0.6357595250397036,0.0,0.7853015412432648,0.7071404714622103,0.6213073553827368,0.7482445506213394,0.6578948696294686,0.6987784163111761,0.7325186801960643,0.8030275519258661,0.7467954598220882,0.6245924172575635,0.7495625560793971,0.7058780071513892,0.8595795822781764,0.7674871901207829,0.7201507643714928,0.7915656372669323,0.8667495400810455,0.8598453141078725,0.5992081507801484,0.7209255402618744,0.7673813301581842,0.7061741359639624,0.7049359092846582,0.6847369247250634,0.9357251507350499,0.628098959536494,0.846611213395255,0.7386591587813681,0.7307409975928245,0.8142934623072797,0.8006462969700902,0.7583150440937713,0.8884667696337178,0.8311906751770517,0.7591856886104932,0.8234204579685501,0.718751175910287,0.6905527423470229,0.6772508062438645,0.6590521821380506,0.8207732953358813,0.6572891795536837,0.7244361073820811,0.7368722746366835,0.6241378362588594,0.6876187735503048,0.7000307825491455,0.7575054778265267,0.8226500141373997,0.7268135188972351
A47,0.736342456844314,0.7140079577176107,0.6799711060636163,0.7547196825158528,0.7014097398075888,0.7032136429456083,0.6319719317110051,0.7853015412432648,0.0,0.6927366912811359,0.7577727764934162,0.6989135210442203,0.6776032532404969,0.8113045560798297,0.7026727412807829,0.6644004184352607,0.6368301340527291,0.6809428434187741,0.744146828802646,0.6884281057616097,0.7568049777452391,0.6769754010610111,0.6761953622709919,0.5768774676960616,0.7752001819981705,0.7406780834666732,0.664502888457434,0.7128707660992205,0.8004354533080692,0.6235378620299002,0.8201468625895041,0.6326617281633431,0.8500994295267372,0.7641946853992743,0.7992068570055174,0.7875835788245179,0.6403501495597697,0.7893744521940114,0.7557186821606171,0.7212307964345537,0.6543053066314516,0.6526804172600267,0.6869908583651375,0.6930591842197088,0.6223857717253399,0.7204072526332195,0.7219437737777992,0.6965784646728238,0.7857026121378635,0.6608130735456084,0.8195266381963946,0.7774860536839246,0.7563415801442551,0.7261047067556411,0.8525716698530591,0.7609579805649452,0.7675216095024873,0.7657012621691486
A59,0.7236912246968851,0.7253889096342813,0.8183019498690582,0.6870973018223142,0.7460877353820241,0.7264191992198253,0.7724214912993194,0.7071404714622103,0.6927366912811359,0.0,0.7372038079307482,0.6471596291746899,0.6092489692046354,0.7322703715748082,0.6390903042519929,0.730606550431514,0.6620813610702004,0.6509486345890174,0.7584888648559991,0.6052118496757901,0.7698448364117914,0.7469347107995943,0.6744753482767064,0.7982137521839907,0.8238717090292039,0.8389422298403054,0.6313934958186422,0.715802502093955,0.7255903571133046,0.5987010919172637,0.7990791736413793,0.7299809827890086,0.8101136921208661,0.7650444958240136,0.8252758880222684,0.6806012304051333,0.7500629402860445,0.7714295223743689,0.6848997753725661,0.755659656504226,0.7961340986798556,0.7614282481710473,0.7193242550167084,0.7723134117621377,0.6854838394814754,0.7346191049487932,0.6638671597437357,0.6148192160572031,0.8182877130910654,0.7357128412124472,0.7322941983371775,0.7882666911682723,0.658387104606198,0.6142630010145573,0.846249387783492,0.8141653172477022,0.8301510265307868,0.7463527879941835
